run,model,category,label,measure,n_subjects,observed,mean,median,ci_low,ci_high
H2_full_age,H2,partner,friend,high_probability,111,0.7787168939641232,0.4609733262425931,0.4605104708195076,0.44170262319292586,0.4819269364358878
H2_full_age,H2,partner,friend,investment,111,4.963929540869012,3.5158919167149056,3.515099024058955,3.417716486555788,3.617427635726656
H2_full_age,H2,offer,friend:0-2,high_probability,111,0.882132132132132,0.4804754754754755,0.4797297297297297,0.43018018018018017,0.5323198198198198
H2_full_age,H2,offer,friend:0-2,investment,111,1.764264264264264,0.960950950950951,0.9594594594594594,0.8603603603603603,1.0646396396396396
H2_full_age,H2,offer,friend:0-4,high_probability,111,0.8746246246246245,0.46312312312312315,0.46283783783783783,0.41627252252252256,0.5139076576576577
H2_full_age,H2,offer,friend:0-4,investment,111,3.498498498498498,1.8524924924924926,1.8513513513513513,1.6650900900900902,2.0556306306306307
H2_full_age,H2,offer,friend:0-8,high_probability,111,0.8603603603603603,0.4456531531531531,0.4436936936936937,0.40011261261261266,0.49707207207207205
H2_full_age,H2,offer,friend:0-8,investment,111,6.882882882882883,3.565225225225225,3.5495495495495497,3.2009009009009013,3.9765765765765764
H2_full_age,H2,offer,friend:2-4,high_probability,111,0.7897897897897899,0.47993243243243244,0.4797297297297297,0.4327890390390391,0.5327139639639639
H2_full_age,H2,offer,friend:2-4,investment,111,3.5795795795795793,2.9598648648648647,2.9594594594594597,2.865578078078078,3.0654279279279275
H2_full_age,H2,offer,friend:2-8,high_probability,111,0.7037859287859289,0.44903921778921774,0.449490561990562,0.4094428356928357,0.48287752037752035
H2_full_age,H2,offer,friend:2-8,investment,111,6.222715572715573,4.694235306735306,4.696943371943372,4.456657014157014,4.897265122265122
H2_full_age,H2,offer,friend:4-8,high_probability,111,0.6373873873873874,0.46008508508508517,0.460960960960961,0.40686936936936935,0.5120495495495495
H2_full_age,H2,offer,friend:4-8,investment,111,6.54954954954955,5.84034034034034,5.843843843843844,5.627477477477477,6.048198198198198
H2_full_age,H2,time,friend:1,high_probability,111,0.852230802230802,0.4535498355498355,0.4548637923637924,0.40950879450879446,0.4966913341913341
H2_full_age,H2,time,friend:1,investment,111,5.74075504075504,3.75026404976405,3.7507293007293,3.4995516945516942,3.9754536679536674
H2_full_age,H2,time,friend:2,high_probability,111,0.795145145145145,0.4588851708851709,0.45955062205062214,0.4114597633347634,0.5008886565136564
H2_full_age,H2,time,friend:2,investment,111,4.826576576576578,3.3697644787644783,3.371424996424996,3.1471621621621617,3.5867101029601027
H2_full_age,H2,time,friend:3,high_probability,111,0.7673673673673673,0.46198948948948954,0.46186901186901186,0.41996532246532253,0.5075370012870012
H2_full_age,H2,time,friend:3,investment,111,4.724052624052623,3.3949314552647882,3.395974545974546,3.1826480051480037,3.6076294151294155
H2_full_age,H2,recent,friend:0,high_probability,111,0.7549592049592049,0.454228433679543,0.45348579576520737,0.42853515208294624,0.48388995962525366
H2_full_age,H2,recent,friend:0,investment,111,5.002802102802104,3.644722191639374,3.641874966874968,3.509989638886698,3.7971494264876613
H2_full_age,H2,recent,friend:1,high_probability,111,0.7922443047443047,0.4783800872061966,0.4787933126168421,0.4487149464171522,0.5083982523136934
H2_full_age,H2,recent,friend:1,investment,111,4.829201454201454,3.443722240021775,3.4466448694389866,3.281787337890279,3.592767001737591
H2_full_age,H2,partner,stranger,high_probability,111,0.5190448454674236,0.4619707014128068,0.46157248979140664,0.44291576606279126,0.48324116633041114
H2_full_age,H2,partner,stranger,investment,111,3.7121821802523556,3.517137833577396,3.5164661633158962,3.4193981549969337,3.6148058592997567
H2_full_age,H2,offer,stranger:0-2,high_probability,111,0.7575075075075076,0.4800675675675675,0.48085585585585583,0.43389639639639643,0.5244181681681682
H2_full_age,H2,offer,stranger:0-2,investment,111,1.5150150150150152,0.960135135135135,0.9617117117117117,0.8677927927927929,1.0488363363363364
H2_full_age,H2,offer,stranger:0-4,high_probability,111,0.7064564564564564,0.46323073073073073,0.4643393393393394,0.41552177177177174,0.5150525525525526
H2_full_age,H2,offer,stranger:0-4,investment,111,2.8258258258258255,1.852922922922923,1.8573573573573576,1.662087087087087,2.0602102102102102
H2_full_age,H2,offer,stranger:0-8,high_probability,111,0.5893393393393394,0.4455780780780781,0.4444444444444444,0.3933183183183183,0.49292417417417417
H2_full_age,H2,offer,stranger:0-8,investment,111,4.714714714714715,3.5646246246246247,3.5555555555555554,3.1465465465465465,3.9433933933933933
H2_full_age,H2,offer,stranger:2-4,high_probability,111,0.47822822822822825,0.47849099099099096,0.47785285285285284,0.42528153153153153,0.5281719219219219
H2_full_age,H2,offer,stranger:2-4,investment,111,2.956456456456456,2.9569819819819823,2.9557057057057055,2.8505630630630625,3.0563438438438437
H2_full_age,H2,offer,stranger:2-8,high_probability,111,0.39299656799656807,0.45137587587587596,0.45146932646932647,0.41623149935649933,0.48584271771771764
H2_full_age,H2,offer,stranger:2-8,investment,111,4.357979407979408,4.7082552552552555,4.7088159588159595,4.497388996138996,4.915056306306307
H2_full_age,H2,offer,stranger:4-8,high_probability,111,0.32882882882882886,0.46408658658658664,0.46358858858858853,0.41888138138138137,0.5154091591591591
H2_full_age,H2,offer,stranger:4-8,investment,111,5.315315315315315,5.8563463463463465,5.854354354354355,5.675525525525526,6.061636636636637
H2_full_age,H2,time,stranger:1,high_probability,111,0.5122694122694122,0.46367138567138566,0.46135242385242387,0.4183869583869584,0.5152616902616903
H2_full_age,H2,time,stranger:1,investment,111,3.886894036894037,3.6968157443157446,3.6835156585156588,3.4745908408408415,3.9117004504504505
H2_full_age,H2,time,stranger:2,high_probability,111,0.48277563277563273,0.4532232232232231,0.4541184041184042,0.4013454525954526,0.5004965679965677
H2_full_age,H2,time,stranger:2,investment,111,3.5539682539682538,3.47560674960675,3.4780566280566285,3.230260617760618,3.7128324753324753
H2_full_age,H2,time,stranger:3,high_probability,111,0.5566816816816816,0.46239528814528813,0.4612451737451737,0.41570972758472763,0.5121302552552551
