condition,replicate,method,participant_id,parameter,true,recovered
positive,0,hierarchical,sub-10317,alpha,0.13683874383573527,0.32111386850490126
positive,0,hierarchical,sub-10369,alpha,0.13286513388387164,0.3447834493335738
positive,0,hierarchical,sub-10402,alpha,0.08164864037236795,0.33955239698362005
positive,0,hierarchical,sub-10418,alpha,0.10428352305075202,0.28002783616509497
positive,0,hierarchical,sub-10462,alpha,0.30179054850853804,0.30655481389501504
positive,0,hierarchical,sub-10478,alpha,0.13134378779420536,0.3337278847226512
positive,0,hierarchical,sub-10486,alpha,0.15594524464127751,0.314880842271925
positive,0,hierarchical,sub-10529,alpha,0.20209827845206102,0.2615100151701213
positive,0,hierarchical,sub-10541,alpha,0.4760495171597639,0.3246397241023237
positive,0,hierarchical,sub-10555,alpha,0.32802672053832915,0.3311224929513363
positive,0,hierarchical,sub-10559,alpha,0.224464798676081,0.3744665570813975
positive,0,hierarchical,sub-10572,alpha,0.2902784823451186,0.32545857645933746
positive,0,hierarchical,sub-10581,alpha,0.1739527865942396,0.30808181043700245
positive,0,hierarchical,sub-10584,alpha,0.31712887133501616,0.3379284959471476
positive,0,hierarchical,sub-10585,alpha,0.25084713328876296,0.24491399012196002
positive,0,hierarchical,sub-10589,alpha,0.1626959977982514,0.32386331590944
positive,0,hierarchical,sub-10590,alpha,0.4310709443971991,0.42538342169803
positive,0,hierarchical,sub-10596,alpha,0.4888155711076714,0.3575996175406025
positive,0,hierarchical,sub-10603,alpha,0.07168937746282562,0.26222794632964497
positive,0,hierarchical,sub-10606,alpha,0.4092249628088104,0.5243396172706626
positive,0,hierarchical,sub-10608,alpha,0.21457488546159248,0.35138635663371126
positive,0,hierarchical,sub-10617,alpha,0.20469884631876978,0.25877636221002376
positive,0,hierarchical,sub-10636,alpha,0.15129238500287853,0.3613681305990175
positive,0,hierarchical,sub-10638,alpha,0.14102737054405656,0.28091386063969753
positive,0,hierarchical,sub-10640,alpha,0.08472030206731578,0.3433697652809425
positive,0,hierarchical,sub-10641,alpha,0.3211984751927764,0.3668020772656575
positive,0,hierarchical,sub-10642,alpha,0.45304451383369504,0.4030210949878475
positive,0,hierarchical,sub-10644,alpha,0.5556541853966136,0.4072559342368625
positive,0,hierarchical,sub-10647,alpha,0.2865330479085582,0.3691863369471362
positive,0,hierarchical,sub-10649,alpha,0.11777992037369968,0.32360565980649625
positive,0,hierarchical,sub-10652,alpha,0.31825635299131694,0.29432778345113375
