model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,alpha,kappa,participant_id,theta,theta_stranger,lapse,side_bias,rho,preference_stranger
M2_reset,42,2,-28.055403588047493,60.11080717609499,60.41849948378729,63.586146412661726,-0.03239956448553514,0.03630019936632023,True,100,100,57,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.11360950066686092,sub-10317,,,,,,
M5_reset,42,3,-15.490213213491394,36.98042642698279,37.612005374351206,42.19343528183289,0.3648633593313424,0.4679130051091255,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.2264304280152528,0.8687603417324491,sub-10317,5.0,,,,,
M5_signed,42,3,-15.49021321349139,36.98042642698278,37.6120053743512,42.19343528183289,0.36486335933134256,0.4679130051091256,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.2264304288914538,0.8687603445499635,sub-10317,5.0,,,,,
M7_signed,42,4,-15.242376594845583,38.48475318969116,39.56583427077224,45.43543166282464,0.33902663599281957,0.47642616369653035,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.19005090243309034,1.0180380195500924,sub-10317,5.0,0.21534873010757774,,,,
M4_signed,42,3,-15.016604100035119,36.033208200070234,36.66478714743865,41.24621705492034,0.3811317764576088,0.48418142223539185,True,100,100,41,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.010830399840774073,17.453556071043117,sub-10317,0.970953374137826,,,,,
M2_lapse,42,3,-28.021866768875693,62.043733537751386,62.675312485119804,67.2567423926015,-0.0655974606327403,0.03745218514504278,True,100,100,81,alpha;lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.15402216480995198,sub-10317,,,0.2,,,
M5_lapse,42,4,-15.490213213491392,38.98042642698279,40.06150750806387,45.93110490011626,0.3305134774054147,0.4679130051091256,True,100,100,86,theta;lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.22643042826034943,0.8687603425773206,sub-10317,5.0,,0.0,,,
M2_side,42,3,-25.471002958340367,56.942005916680735,57.57358486404915,62.155014771530844,0.022024410068270134,0.12507405584605324,True,100,100,60,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.13077681512565775,sub-10317,,,,-0.7491906347905826,,
M5_side,42,4,-13.45808698979644,34.916173979592884,35.997255060673965,41.866852452726356,0.40031677324791765,0.5377163009516286,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.18056259476814043,1.0013428560008746,sub-10317,5.0,,,-0.9969895702923536,,
M2_power,42,3,-27.851096493049788,61.702192986099575,62.33377193346799,66.91520184094968,-0.05973152182166235,0.04331812395612078,True,100,100,24,alpha,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0,0.018244322717770958,sub-10317,,,,,1.8274362362942598,
M5_power,42,4,-14.159673884299382,36.31934776859876,37.40042884967984,43.27002624173224,0.3762173462609634,0.5136168739646743,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.4930778099113466,2.6195751081734007,sub-10317,5.0,,,,0.2908402049293813,
M5_kappa100,42,3,-15.49021321349139,36.98042642698278,37.6120053743512,42.19343528183289,0.36486335933134256,0.4679130051091256,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.22643042997170337,0.8687603454973647,sub-10317,5.0,,,,,
