model,parameter,form,term,n,estimate,se,p,ci_low,ci_high,r_squared,p_holm
M5,theta,linear,age_z,111,0.26155544376318246,0.19751708708732046,0.18543105499410462,-0.12557093325922702,0.648681820785592,0.016095787307871645,1.0
M5,theta,quadratic,age_z,111,0.16808781042830534,0.25035537786595313,0.5019677552915831,-0.32259971352487904,0.6587753343814897,0.021072909875517798,1.0
M5,theta,quadratic,age_z_squared,111,0.18276946540579023,0.2300096759595058,0.4268366635648513,-0.2680412155705695,0.6335801463821499,0.021072909875517798,1.0
M5,alpha,linear,age_z,111,-0.025244716735191637,0.01806054869204759,0.16217842709875885,-0.06064274171263689,0.010153308242253613,0.01609213959825473,1.0
M5,alpha,quadratic,age_z,111,-0.037549752170648015,0.027092936111133212,0.16575881992968866,-0.09065093118391379,0.015551426842617753,0.025349979597680372,1.0
M5,alpha,quadratic,age_z_squared,111,0.024061642175960248,0.024610352403541504,0.3282206988420605,-0.024173762181819852,0.07229704653374035,0.025349979597680372,1.0
M5,kappa,linear,age_z,111,-0.058869237840397826,0.09583062321612755,0.5390137519195785,-0.2466938079600358,0.12895533227924014,0.002694037228059165,1.0
M5,kappa,quadratic,age_z,111,-0.034728238825973264,0.1477812147463759,0.8142105537889164,-0.3243740973204496,0.25491761966850307,0.0037910416770322586,1.0
M5,kappa,quadratic,age_z_squared,111,-0.04720604691486997,0.12992778022367432,0.7163619122915967,-0.3018598167445071,0.2074477229147672,0.0037910416770322586,1.0
