parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-0.920775,0.00440183,0.143468,0.143689,-1.15866,-0.920818,-0.686792,1064.05,2465.83,5.8679,1.00271,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
mu[2],-1.26287,0.00260097,0.107165,0.107865,-1.44763,-1.25833,-1.0946,1741.82,3450.47,9.6056,1.00245,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
mu[3],1.0535,0.0041813,0.192227,0.184157,0.747542,1.04403,1.3895,2180.76,3478.19,12.0262,1.00149,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
tau[1],0.613985,0.00210039,0.117828,0.1166,0.433956,0.607948,0.815817,3118.06,4982.58,17.1951,1.00129,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
tau[2],0.714176,0.00235438,0.0921447,0.0904333,0.569728,0.710264,0.874015,1538.5,3269.94,8.48437,1.00266,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
tau[3],1.10762,0.00351028,0.184163,0.18105,0.825172,1.09843,1.42518,2752.42,4616.88,15.1787,1.00103,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
"beta[1,1]",-0.0433608,0.00212323,0.116,0.114761,-0.23477,-0.0440854,0.145838,3013.48,4832.7,16.6184,1.00061,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
"beta[2,1]",-0.0587892,0.0017892,0.0949678,0.0930763,-0.218205,-0.0570509,0.0978203,2834.04,3945.67,15.6288,1.0004,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
"beta[3,1]",-0.00916621,0.00275006,0.161663,0.159259,-0.275119,-0.00935345,0.259723,3470.1,4221.65,19.1365,1.00053,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
"natural[1,1]",0.252567,0.00149358,0.105207,0.101763,0.103347,0.241174,0.446969,5264.47,5601.0,29.0319,1.00079,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
"natural[1,2]",0.304554,0.00201456,0.177074,0.159985,0.0854463,0.268889,0.647549,7039.17,5258.44,38.8188,1.00034,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
"natural[1,3]",1.34465,0.00899975,0.732568,0.64607,0.427428,1.20555,2.7619,7877.29,5866.68,43.4408,1.00061,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
"natural[2,1]",0.240412,0.00105088,0.0868926,0.0830263,0.113579,0.231561,0.395002,6774.69,6017.68,37.3603,1.00041,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
"natural[2,2]",0.432428,0.00281494,0.2184,0.197645,0.143544,0.395687,0.847154,5590.6,4996.34,30.8304,1.00003,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
"natural[2,3]",1.41058,0.0072717,0.62424,0.563245,0.583805,1.31932,2.57063,8739.04,5469.47,48.1931,0.999746,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
"natural[3,1]",0.258389,0.00127328,0.0962383,0.092101,0.120019,0.248023,0.431457,5884.62,5658.72,32.4518,1.00067,H5_recovery_zero_1,111,0,diag_e,4,2000,2000,0.95,0,0.6793302862265427,True
