parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-2.32824,0.00537042,0.230278,0.221501,-2.7361,-2.30784,-1.98837,1823.04,3298.81,1.49226,1.00068,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
mu[2],-0.960843,0.00239318,0.131449,0.12911,-1.18191,-0.958059,-0.749895,3050.59,4402.33,2.49708,1.00093,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
mu[3],3.50801,0.00763444,0.43598,0.423878,2.82328,3.48642,4.25689,3310.45,4994.38,2.70979,1.00073,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
mu[4],-0.194186,0.00751915,0.462946,0.460362,-0.974402,-0.181367,0.54628,3803.51,5600.93,3.11338,1.00016,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
tau[1],0.712856,0.0105803,0.302748,0.299322,0.193062,0.714661,1.20075,825.447,1029.4,0.675673,1.00488,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
tau[2],1.06125,0.00281545,0.116545,0.114152,0.884804,1.05382,1.26762,1735.08,3006.83,1.42026,1.00062,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
tau[3],2.66731,0.00517908,0.331188,0.336214,2.15524,2.6535,3.23121,4095.48,5825.27,3.35237,1.00035,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
tau[4],3.60341,0.00494187,0.41935,0.414387,2.94713,3.58545,4.33231,7192.26,6462.98,5.88725,0.999759,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[1,1]",0.0904028,0.000791206,0.0582321,0.0432609,0.0219671,0.0794837,0.199172,5216.23,5561.57,4.26977,1.00086,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[1,2]",0.812278,0.00396893,0.412084,0.374523,0.264901,0.748107,1.56662,9140.43,5679.94,7.48194,1.00022,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[1,3]",4.02871,0.0162743,1.48112,1.42823,1.9618,3.8551,6.75115,9187.8,5931.24,7.52071,1.0002,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[1,4]",0.363372,0.00523222,0.425128,0.276789,0.0119914,0.263976,1.00243,8081.26,5764.17,6.61495,0.999981,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[2,1]",0.116031,0.000997484,0.0705711,0.0505359,0.0348314,0.100015,0.24578,5353.44,5500.3,4.38208,1.00041,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[2,2]",0.373724,0.00221109,0.226022,0.20319,0.0863501,0.330789,0.810746,8930.55,6091.5,7.31014,0.999725,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[2,3]",3.55979,0.0194689,1.64402,1.48491,1.4109,3.29756,6.63483,8279.86,5566.31,6.77751,1.00011,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[2,4]",0.613115,0.0133658,0.96389,0.332097,0.00732228,0.260817,2.47331,11543.8,5266.65,9.44926,1.00014,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[3,1]",0.143378,0.00196164,0.0974425,0.0673784,0.0386285,0.118204,0.334709,2271.7,4189.17,1.85951,1.00063,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[3,2]",0.12127,0.00104884,0.0918774,0.0637368,0.0289762,0.0958781,0.300312,7417.67,6533.88,6.07177,1.00003,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[3,3]",4.2008,0.0293957,2.36804,2.36302,0.888461,3.89691,8.61352,7576.98,5038.75,6.20217,1.00176,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[3,4]",3.01931,0.0261961,2.44758,2.3746,0.081587,2.50776,7.79879,10633.4,5680.06,8.70404,0.999963,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[4,1]",0.0679128,0.000777491,0.0391762,0.0370047,0.0163709,0.062275,0.138747,2311.04,4837.62,1.89171,1.00053,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[4,2]",0.398232,0.00224217,0.210604,0.188722,0.132933,0.361445,0.799438,8151.72,4822.74,6.67263,1.00025,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[4,3]",5.42752,0.0196037,1.68383,1.63135,2.9272,5.24386,8.46312,8110.63,6353.73,6.63899,1.00082,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[4,4]",1.50351,0.0136155,1.13913,0.778523,0.25024,1.23753,3.73063,9819.69,5349.63,8.03795,1.00027,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[5,1]",0.124322,0.00139031,0.0815068,0.0557145,0.0329116,0.104425,0.281429,3707.23,5173.34,3.03457,1.00087,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[5,2]",0.474074,0.00416595,0.33391,0.316818,0.0668159,0.411534,1.11714,5077.58,4042.14,4.15627,1.00007,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[5,3]",1.54162,0.023552,1.40836,0.707916,0.282591,1.09985,4.41831,6419.66,3292.3,5.25484,1.00031,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[5,4]",0.380942,0.0159979,0.962775,0.0824909,0.000900188,0.0582389,1.92937,6753.19,4093.84,5.52785,1.00059,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
"natural[6,1]",0.114869,0.000984735,0.0674746,0.0509416,0.0315348,0.101221,0.243597,4590.43,4582.94,3.75752,1.0019,H7_train_noage_attempt99_short,111,0,diag_e,4,2000,2000,0.99,0,0.7181721242527197,True
