run,chain,retained_iteration,parameter,recorded_value,percentile,note
H4_full_age,2,1379,mu.1,-4.190752276,0.26075,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,mu.2,-0.1066579446,0.072625,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,mu.3,0.9242133054,0.346,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,tau.1,2.18657702,0.986875,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,tau.2,1.490028921,0.919,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,tau.3,1.584615997,0.591,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,beta.1.1,0.6301550053,0.98675,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,beta.2.1,-0.3293306298,0.137625,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,beta.3.1,0.03303080608,0.705,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,Omega.1.1,1.0,1.0,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,Omega.2.1,-0.7368504566,0.02925,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,Omega.3.1,0.373488814,0.590625,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,Omega.1.2,-0.7368504566,0.02925,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,Omega.2.2,1.0,1.0,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,Omega.3.2,-0.2858253845,0.906125,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,Omega.1.3,0.373488814,0.590625,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,Omega.2.3,-0.2858253845,0.906125,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
H4_full_age,2,1379,Omega.3.3,1.0,1.0,Recorded state associated with a divergent transition; not the numerical location along the failing trajectory
