sample,metric,model,participant_id,delta
primary,AIC,M0,sub-10317,21.243936740052618
primary,AIC,M0,sub-10369,5.241284657220596
primary,AIC,M0,sub-10402,2.581463769022619
primary,AIC,M0,sub-10418,27.197577035696682
primary,AIC,M0,sub-10462,1.37491023838367
primary,AIC,M0,sub-10478,20.628298980163308
primary,AIC,M0,sub-10486,22.91137504079599
primary,AIC,M0,sub-10529,2.189668848573774
primary,AIC,M0,sub-10541,3.6515852131972224
primary,AIC,M0,sub-10555,16.58110249486925
primary,AIC,M0,sub-10559,60.57298293289341
primary,AIC,M0,sub-10572,5.4686056274424715
primary,AIC,M0,sub-10581,20.270522416324795
primary,AIC,M0,sub-10584,5.5218316440443544
primary,AIC,M0,sub-10585,11.141025418909237
primary,AIC,M0,sub-10589,10.924882189084258
primary,AIC,M0,sub-10590,40.780715069566526
primary,AIC,M0,sub-10596,41.16789595228386
primary,AIC,M0,sub-10603,14.354241930166324
primary,AIC,M0,sub-10606,62.2132681817169
primary,AIC,M0,sub-10608,43.55927358350438
primary,AIC,M0,sub-10617,0.0
primary,AIC,M0,sub-10636,38.27986873719375
primary,AIC,M0,sub-10638,63.46057670468161
primary,AIC,M0,sub-10640,25.76262693879012
primary,AIC,M0,sub-10641,17.046405871993557
primary,AIC,M0,sub-10642,79.0515664875144
primary,AIC,M0,sub-10644,64.4186587148934
primary,AIC,M0,sub-10647,63.86198900154829
primary,AIC,M0,sub-10649,52.14198012806483
primary,AIC,M0,sub-10652,6.7375130514530355
primary,AIC,M0,sub-10656,44.081971550692074
primary,AIC,M0,sub-10661,50.90170587007597
primary,AIC,M0,sub-10663,16.528229999614823
primary,AIC,M0,sub-10668,3.0556275106777235
primary,AIC,M0,sub-10673,0.0
primary,AIC,M0,sub-10674,73.97554967488628
primary,AIC,M0,sub-10677,5.936049628165065
primary,AIC,M0,sub-10685,57.25537048205987
primary,AIC,M0,sub-10690,0.0
primary,AIC,M0,sub-10691,49.9560188726405
primary,AIC,M0,sub-10700,40.96262282648523
primary,AIC,M0,sub-10701,26.32869245582937
primary,AIC,M0,sub-10713,10.62384067997911
primary,AIC,M0,sub-10716,0.0
primary,AIC,M0,sub-10718,56.454912740288904
primary,AIC,M0,sub-10720,10.491397303165598
primary,AIC,M0,sub-10723,0.0
primary,AIC,M0,sub-10741,3.3949093345965196
primary,AIC,M0,sub-10748,22.554571414775523
primary,AIC,M0,sub-10767,70.45701655244571
primary,AIC,M0,sub-10770,0.0
primary,AIC,M0,sub-10781,54.45709684760545
primary,AIC,M0,sub-10783,48.820689968229004
primary,AIC,M0,sub-10785,11.914993857126518
primary,AIC,M0,sub-10794,3.5263031603187613
primary,AIC,M0,sub-10800,20.765934461093337
primary,AIC,M0,sub-10801,39.24531951330121
primary,AIC,M0,sub-10802,3.436228902438799
primary,AIC,M0,sub-10803,0.0
primary,AIC,M0,sub-10804,19.797071746691955
primary,AIC,M0,sub-10806,37.567903093526596
primary,AIC,M0,sub-10807,51.56463643155649
