condition,replicate,method,participant_id,parameter,true,recovered
positive,2,hierarchical,sub-10317,alpha,0.45703613419777694,0.31558373163558245
positive,2,hierarchical,sub-10369,alpha,0.2428364959797734,0.33657131303307625
positive,2,hierarchical,sub-10402,alpha,0.18294264850929992,0.18135707662785752
positive,2,hierarchical,sub-10418,alpha,0.23800322493272633,0.17105970145635252
positive,2,hierarchical,sub-10462,alpha,0.1360416829960642,0.178719272059855
positive,2,hierarchical,sub-10478,alpha,0.22377715729963513,0.3305308691024512
positive,2,hierarchical,sub-10486,alpha,0.37423024911462854,0.2997452744554162
positive,2,hierarchical,sub-10529,alpha,0.24197211414822348,0.225498005747815
positive,2,hierarchical,sub-10541,alpha,0.18649426122875784,0.26341476122112006
positive,2,hierarchical,sub-10555,alpha,0.28568185671075486,0.31362108381303744
positive,2,hierarchical,sub-10559,alpha,0.25659074202225773,0.33001926530468745
positive,2,hierarchical,sub-10572,alpha,0.21372185104451513,0.19488690311209372
positive,2,hierarchical,sub-10581,alpha,0.394374215641585,0.374031379343
positive,2,hierarchical,sub-10584,alpha,0.17502313977035672,0.22069100159113372
positive,2,hierarchical,sub-10585,alpha,0.4965808209781766,0.38524661596385623
positive,2,hierarchical,sub-10589,alpha,0.26717481151875233,0.3538598198501888
positive,2,hierarchical,sub-10590,alpha,0.32375742215711156,0.226943506632645
positive,2,hierarchical,sub-10596,alpha,0.4353976370182647,0.31435605090660124
positive,2,hierarchical,sub-10603,alpha,0.472305449409572,0.38640851306739127
positive,2,hierarchical,sub-10606,alpha,0.20288295233602782,0.249863223750675
positive,2,hierarchical,sub-10608,alpha,0.2788530432512662,0.31255281938023
positive,2,hierarchical,sub-10617,alpha,0.27813000568967394,0.245105712772485
positive,2,hierarchical,sub-10636,alpha,0.4283177258907222,0.3888252064911875
positive,2,hierarchical,sub-10638,alpha,0.2056911433359756,0.14165503116695966
positive,2,hierarchical,sub-10640,alpha,0.18481155334987473,0.34666530826476005
positive,2,hierarchical,sub-10641,alpha,0.3321346254659288,0.27658747216074625
positive,2,hierarchical,sub-10642,alpha,0.405312496517441,0.3216738160160413
positive,2,hierarchical,sub-10644,alpha,0.18646596408409047,0.24341184867156124
positive,2,hierarchical,sub-10647,alpha,0.29593496145613996,0.3815779066219575
positive,2,hierarchical,sub-10649,alpha,0.16858785051297842,0.21131753664673875
positive,2,hierarchical,sub-10652,alpha,0.13096087202694717,0.20305267105205874
positive,2,hierarchical,sub-10656,alpha,0.3801993489083874,0.46232975279079375
positive,2,hierarchical,sub-10661,alpha,0.2545589923122173,0.29207666713096375
positive,2,hierarchical,sub-10663,alpha,0.12007596949727409,0.2574987327259425
positive,2,hierarchical,sub-10668,alpha,0.538811036418734,0.28487066395185745
positive,2,hierarchical,sub-10673,alpha,0.23002310298752277,0.2423620493630525
positive,2,hierarchical,sub-10674,alpha,0.11465308760922581,0.27031527588537874
positive,2,hierarchical,sub-10677,alpha,0.368342786069385,0.4372981584489
positive,2,hierarchical,sub-10685,alpha,0.2683573257943424,0.3891882446471763
positive,2,hierarchical,sub-10690,alpha,0.41761863015264084,0.30415540276167874
positive,2,hierarchical,sub-10691,alpha,0.3112164727461094,0.3133228877095113
positive,2,hierarchical,sub-10700,alpha,0.21754692343946008,0.28887016026642254
positive,2,hierarchical,sub-10701,alpha,0.0893294702731294,0.20478127000194873
positive,2,hierarchical,sub-10713,alpha,0.2154777757517001,0.18483602216165623
positive,2,hierarchical,sub-10716,alpha,0.3626834111959402,0.35642089002235
positive,2,hierarchical,sub-10718,alpha,0.11981712908466369,0.3117550170201013
positive,2,hierarchical,sub-10720,alpha,0.2547256610298083,0.2580800017964075
positive,2,hierarchical,sub-10723,alpha,0.29888984706516597,0.23827635059907998
positive,2,hierarchical,sub-10741,alpha,0.2345147332130926,0.26649137137073253
positive,2,hierarchical,sub-10748,alpha,0.3629863682673013,0.2767479901937875
positive,2,hierarchical,sub-10767,alpha,0.47919599337375496,0.3559810870645
positive,2,hierarchical,sub-10770,alpha,0.36541813104694143,0.24169427293784249
positive,2,hierarchical,sub-10781,alpha,0.19722559741612353,0.18489472388421002
positive,2,hierarchical,sub-10783,alpha,0.2053368746288509,0.23029587810586874
positive,2,hierarchical,sub-10785,alpha,0.5658132460229106,0.4659018288555751
positive,2,hierarchical,sub-10794,alpha,0.2130316633895227,0.1633784157473
