participant_id,run,trial_in_run,partner,c_left,c_right,c_low,c_high,high_is_right,chosen_amount,chose_high,response_time,scheduled_reciprocation,feedback_observed,observed_reciprocation,amount_gap,zero_option_present,valid_choice,bids_outcome,ambiguous_session,source_run,age,sex,global_trial,offer_pair,trial_scaled,trial_bin,last_observed_reciprocation
sub-10317,1.0,1,friend,8,4,4,8,False,8.0,True,1.6599138,0,True,0.0,4,False,True,outcome_friend_defect,False,1,63,F,1,4-8,0.0,1,
sub-10317,1.0,2,friend,0,8,0,8,True,8.0,True,1.9556679,0,True,0.0,8,True,True,outcome_friend_defect,False,1,63,F,2,0-8,0.012048192771084338,1,0.0
sub-10317,1.0,3,stranger,2,8,2,8,True,2.0,False,2.9505837,1,True,1.0,6,False,True,outcome_stranger_recip,False,1,63,F,3,2-8,0.024096385542168676,1,
sub-10317,1.0,4,stranger,2,0,0,2,False,2.0,True,2.2634294,0,True,0.0,2,True,True,outcome_stranger_defect,False,1,63,F,4,0-2,0.03614457831325301,1,1.0
sub-10317,1.0,5,stranger,2,8,2,8,True,2.0,False,2.2168794,1,True,1.0,6,False,True,outcome_stranger_recip,False,1,63,F,5,2-8,0.04819277108433735,1,0.0
sub-10317,1.0,6,stranger,8,2,2,8,False,8.0,True,2.0119278,0,True,0.0,6,False,True,outcome_stranger_defect,False,1,63,F,6,2-8,0.060240963855421686,1,1.0
sub-10317,1.0,7,stranger,8,0,0,8,False,0.0,False,2.3962598,1,False,,8,True,True,not_shown,False,1,63,F,7,0-8,0.07228915662650602,1,0.0
sub-10317,1.0,8,friend,8,0,0,8,False,8.0,True,1.9478317,1,True,1.0,8,True,True,outcome_friend_recip,False,1,63,F,8,0-8,0.08433734939759036,1,0.0
sub-10317,1.0,9,stranger,8,4,4,8,False,4.0,False,1.7447526,0,True,0.0,4,False,True,outcome_stranger_defect,False,1,63,F,9,4-8,0.0963855421686747,1,0.0
sub-10317,1.0,10,stranger,2,4,2,4,True,2.0,False,1.6441203,0,True,0.0,2,False,True,outcome_stranger_defect,False,1,63,F,10,2-4,0.10843373493975904,1,0.0
sub-10317,1.0,11,computer,2,8,2,8,True,2.0,False,1.7834469,1,True,1.0,6,False,True,outcome_computer_recip,False,1,63,F,11,2-8,0.12048192771084337,1,
sub-10317,1.0,12,computer,8,2,2,8,False,8.0,True,2.1708038,1,True,1.0,6,False,True,outcome_computer_recip,False,1,63,F,12,2-8,0.13253012048192772,1,1.0
sub-10317,1.0,13,friend,8,2,2,8,False,8.0,True,1.9608452,0,True,0.0,6,False,True,outcome_friend_defect,False,1,63,F,13,2-8,0.14457831325301204,1,1.0
sub-10317,1.0,14,stranger,4,0,0,4,False,4.0,True,1.683033,1,True,1.0,4,True,True,outcome_stranger_recip,False,1,63,F,14,0-4,0.1566265060240964,1,0.0
sub-10317,1.0,15,stranger,8,2,2,8,False,8.0,True,2.0116816,0,True,0.0,6,False,True,outcome_stranger_defect,False,1,63,F,15,2-8,0.1686746987951807,2,1.0
sub-10317,1.0,16,computer,2,0,0,2,False,2.0,True,2.049399,0,True,0.0,2,True,True,outcome_computer_defect,False,1,63,F,16,0-2,0.18072289156626506,2,1.0
sub-10317,1.0,17,friend,8,2,2,8,False,8.0,True,1.5611506,0,True,0.0,6,False,True,outcome_friend_defect,False,1,63,F,17,2-8,0.1927710843373494,2,0.0
sub-10317,1.0,18,friend,2,4,2,4,True,4.0,True,1.9915375,0,True,0.0,2,False,True,outcome_friend_defect,False,1,63,F,18,2-4,0.20481927710843373,2,0.0
sub-10317,1.0,19,computer,4,2,2,4,False,2.0,False,2.014376,0,True,0.0,2,False,True,outcome_computer_defect,False,1,63,F,19,2-4,0.21686746987951808,2,0.0
sub-10317,1.0,20,friend,8,2,2,8,False,8.0,True,1.5289909,1,True,1.0,6,False,True,outcome_friend_recip,False,1,63,F,20,2-8,0.2289156626506024,2,0.0
sub-10317,1.0,21,friend,0,2,0,2,True,2.0,True,1.828542,1,True,1.0,2,True,True,outcome_friend_recip,False,1,63,F,21,0-2,0.24096385542168675,2,1.0
sub-10317,1.0,22,stranger,4,2,2,4,False,2.0,False,1.7459888,1,True,1.0,2,False,True,outcome_stranger_recip,False,1,63,F,22,2-4,0.25301204819277107,2,0.0
sub-10317,1.0,23,friend,4,0,0,4,False,4.0,True,1.6782247,1,True,1.0,4,True,True,outcome_friend_recip,False,1,63,F,23,0-4,0.26506024096385544,2,1.0
sub-10317,1.0,24,computer,4,8,4,8,True,4.0,False,2.1325004,0,True,0.0,4,False,True,outcome_computer_defect,False,1,63,F,24,4-8,0.27710843373493976,2,0.0
sub-10317,1.0,25,computer,8,2,2,8,False,2.0,False,2.2869296,0,True,0.0,6,False,True,outcome_computer_defect,False,1,63,F,25,2-8,0.2891566265060241,2,0.0
sub-10317,1.0,26,computer,0,4,0,4,True,0.0,False,1.7422194,1,False,,4,True,True,not_shown,False,1,63,F,26,0-4,0.30120481927710846,2,0.0
sub-10317,1.0,27,computer,4,8,4,8,True,4.0,False,1.900642,1,True,1.0,4,False,True,outcome_computer_recip,False,1,63,F,27,4-8,0.3132530120481928,2,0.0
sub-10317,1.0,28,computer,0,4,0,4,True,4.0,True,2.7540545,0,True,0.0,4,True,True,outcome_computer_defect,False,1,63,F,28,0-4,0.3253012048192771,2,1.0
sub-10317,1.0,29,stranger,4,8,4,8,True,4.0,False,1.8520579,1,True,1.0,4,False,True,outcome_stranger_recip,False,1,63,F,29,4-8,0.3373493975903614,3,1.0
sub-10317,1.0,30,stranger,0,8,0,8,True,0.0,False,2.0534596,0,False,,8,True,True,not_shown,False,1,63,F,30,0-8,0.3493975903614458,3,1.0
sub-10317,1.0,31,stranger,2,0,0,2,False,0.0,False,2.6829934,1,False,,2,True,True,not_shown,False,1,63,F,31,0-2,0.3614457831325301,3,1.0
sub-10317,1.0,32,friend,2,4,2,4,True,4.0,True,2.0628736,1,True,1.0,2,False,True,outcome_friend_recip,False,1,63,F,32,2-4,0.37349397590361444,3,1.0
sub-10317,1.0,33,computer,0,2,0,2,True,0.0,False,2.1518242,1,False,,2,True,True,not_shown,False,1,63,F,33,0-2,0.3855421686746988,3,0.0
sub-10317,1.0,34,friend,0,2,0,2,True,2.0,True,2.1333952,0,True,0.0,2,True,True,outcome_friend_defect,False,1,63,F,34,0-2,0.39759036144578314,3,1.0
sub-10317,1.0,35,friend,4,0,0,4,False,4.0,True,2.2306972,0,True,0.0,4,True,True,outcome_friend_defect,False,1,63,F,35,0-4,0.40963855421686746,3,0.0
sub-10317,1.0,36,computer,0,8,0,8,True,0.0,False,1.8023126,0,False,,8,True,True,not_shown,False,1,63,F,36,0-8,0.42168674698795183,3,0.0
sub-10317,1.0,37,friend,8,4,4,8,False,8.0,True,1.7987244,1,True,1.0,4,False,True,outcome_friend_recip,False,1,63,F,37,4-8,0.43373493975903615,3,0.0
