condition,replicate,method,level,parameter,n,rmse,bias,pearson,spearman,ceiling_rate,interval_coverage,true,probability_positive,mean,median,ci_low,ci_high
positive,3,hierarchical,participant,alpha,111.0,0.11513160856383226,0.028853861761951313,0.5683586695475211,0.5553790803790805,,0.9099099099099099,,,,,,
positive,3,MLE_theta10,participant,alpha,111.0,0.29882180698070304,0.0951435901689325,0.3817189669817149,0.44768780093643346,,,,,,,,
positive,3,hierarchical,participant,kappa,111.0,0.13462427182212294,-0.007814594419510275,0.8700262865646805,0.7436644436644436,,0.9369369369369369,,,,,,
positive,3,MLE_theta10,participant,kappa,111.0,0.21865509773723155,0.05902611302169312,0.79842781297834,0.6710336960336959,,,,,,,,
positive,3,hierarchical,participant,theta,111.0,0.621649758544697,-0.20578501298427285,0.6074745380336952,0.5857757107757108,0.0,0.9279279279279279,,,,,,
positive,3,MLE_theta10,participant,theta,111.0,2.9382685728103017,0.9007603382730135,0.38195950270078977,0.52356089191667,0.11711711711711711,,,,,,,
positive,3,hierarchical,participant,friend_value_probability_effect,111.0,0.08312155124140916,-0.020529281634590193,0.7586112326783057,0.7017550017550017,,0.954954954954955,,,,,,
positive,3,MLE_theta10,participant,friend_value_probability_effect,111.0,0.11700598855654945,0.012595751650256549,0.7412941124366305,0.6804188000034983,,,,,,,,
positive,3,hierarchical,population,mu_alpha,,,0.21236098717982843,,,,1.0,-1.0,0.000125,-0.7876390128201716,-0.78857307565,-1.057204614675,-0.5138272788525
positive,3,hierarchical,population,mu_kappa,,,-0.10167531602487512,,,,1.0,-1.2,0.0,-1.301675316024875,-1.2984399915,-1.516025959125,-1.108970634025
positive,3,hierarchical,population,mu_theta,,,-0.15817673795627507,,,,1.0,1.0,1.0,0.8418232620437249,0.8363397337,0.5312632401774999,1.1813515043999998
positive,3,hierarchical,population,tau_alpha,,,-0.12685621002799252,,,,1.0,0.65,1.0,0.5231437899720075,0.5248173639,0.19333384275499998,0.8313358866524999
positive,3,hierarchical,population,tau_kappa,,,0.014100733269387544,,,,1.0,0.65,1.0,0.6641007332693876,0.6594996537,0.49418013971749997,0.8540306207725
positive,3,hierarchical,population,tau_theta,,,-0.24792557066469367,,,,1.0,1.0,1.0,0.7520744293353063,0.7454510515,0.43230981359000004,1.10492674825
positive,3,hierarchical,population,beta_alpha,,,0.11811591125226642,,,,1.0,0.0,0.86775,0.11811591125226642,0.11854652130000001,-0.09143196702825,0.32971220292499986
positive,3,hierarchical,population,beta_kappa,,,0.03744706361334821,,,,1.0,0.0,0.671,0.03744706361334821,0.037150650905,-0.13263358540499998,0.2076990131024999
positive,3,hierarchical,population,beta_theta,,,0.013340696947101494,,,,1.0,0.35,0.995875,0.36334069694710147,0.36258988315,0.0983914696015,0.6269917064749998
positive,3,hierarchical,population,friend_probability_change_25_to_75,,,0.016644887589465057,,,,1.0,0.11285486504425624,,0.1294997526337213,0.1294975427406129,0.03376467810361471,0.23025596957409908
