term,estimate,se,p,ci_low,ci_high,odds_ratio
Intercept,0.5515519692115474,0.14496682341389772,0.00014198923003792748,0.26742221636713,0.8356817220559647,1.7359450616311258
C(partner)[T.stranger],0.37135590227240134,0.12188966010400482,0.0023140212837785344,0.1324565583807232,0.6102552461640794,1.449698932727899
C(partner)[T.friend],1.9059241372909095,0.18201847506878227,1.1733705425320658e-25,1.5491744816351944,2.2626737929466243,6.725620152967492
C(offer_pair)[T.0-4],-0.1873075730569763,0.08245772977304142,0.023113178045409032,-0.34892175365907363,-0.025693392454878977,0.8291886610689723
C(offer_pair)[T.0-8],-0.5476139595174475,0.11053441020911821,7.261366210015476e-07,-0.7642574225796956,-0.3309704964551994,0.5783280796336769
C(offer_pair)[T.2-4],-0.8956297413244949,0.12411407359957406,5.34674956995946e-13,-1.1388888555542136,-0.6523706270947762,0.40835036255507945
C(offer_pair)[T.2-8],-1.3065680712405285,0.14083842604229763,1.742014640783875e-20,-1.58260631392274,-1.030529828558317,0.27074765040392773
C(offer_pair)[T.4-8],-1.531498080316202,0.14283797202300993,8.031377730604834e-27,-1.8114553611060413,-1.2515407995263625,0.21621152235326116
trial_scaled,0.3147219972010927,0.1608155359665158,0.050343086862613,-0.0004706614477840154,0.6299146558499693,1.3698784279790417
C(partner)[T.stranger]:trial_scaled,-0.383021171450326,0.16826312975735916,0.02282670613740134,-0.7128108457007398,-0.053231497199912214,0.6817984644708652
C(partner)[T.friend]:trial_scaled,-1.0326516944245974,0.21765101957557093,2.0899146852728855e-06,-1.4592398539911386,-0.6060635348580561,0.3560615412378236
