partner,offer_pair,n,programmed_reciprocation,experienced_reciprocation,n_feedback
computer,0-2,408,0.5,0.4942528735632184,261
computer,0-4,408,0.5,0.4560669456066946,239
computer,0-8,409,0.5012224938875306,0.5095238095238095,210
computer,2-4,409,0.49877750611246946,0.5012406947890818,403
computer,2-8,816,0.5,0.5006289308176101,795
computer,4-8,408,0.5,0.49625935162094764,401
friend,0-2,408,0.5,0.49712643678160917,348
friend,0-4,408,0.5,0.5126760563380282,355
friend,0-8,408,0.5,0.5088235294117647,340
friend,2-4,408,0.5,0.4962025316455696,395
friend,2-8,816,0.5,0.49875,800
friend,4-8,408,0.5,0.49627791563275436,403
stranger,0-2,408,0.5,0.49019607843137253,306
stranger,0-4,408,0.5,0.5105633802816901,284
stranger,0-8,408,0.5,0.47413793103448276,232
stranger,2-4,408,0.5,0.5,404
stranger,2-8,816,0.5,0.5031133250311333,803
stranger,4-8,408,0.5,0.5025125628140703,398
