parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-0.901568,0.00359068,0.137057,0.135281,-1.12608,-0.901008,-0.675391,1481.96,2251.96,9.70133,1.00509,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
mu[2],-1.27201,0.0019415,0.0998178,0.0986648,-1.44204,-1.26705,-1.11196,2695.39,3902.16,17.6448,1.00319,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
mu[3],0.924658,0.00304619,0.178201,0.177419,0.642423,0.920131,1.22749,3448.66,4068.31,22.576,1.00095,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
tau[1],0.669887,0.00222255,0.123603,0.124065,0.479496,0.663127,0.883458,3046.94,4699.69,19.9462,1.00021,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
tau[2],0.663135,0.00232192,0.0871258,0.0847626,0.530055,0.658356,0.812122,1450.35,2563.03,9.49445,1.00492,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
tau[3],0.998438,0.0033455,0.17442,0.168914,0.729909,0.988029,1.30221,2723.38,4622.05,17.8281,1.00043,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"beta[1,1]",0.0527503,0.00193738,0.11715,0.114904,-0.142886,0.053241,0.244397,3746.28,5240.58,24.5243,1.00056,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"beta[2,1]",-0.103706,0.00162773,0.0892798,0.0891673,-0.253226,-0.101765,0.0383219,3039.38,4543.01,19.8967,1.00147,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"beta[3,1]",-0.343289,0.00247831,0.152952,0.15431,-0.596201,-0.341477,-0.0971989,3837.92,5747.15,25.1242,1.00019,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[1,1]",0.362214,0.00145925,0.137201,0.135602,0.160903,0.34698,0.612832,8818.57,5567.11,57.729,1.00096,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[1,2]",0.327093,0.00139396,0.141201,0.136105,0.127505,0.312405,0.585226,8934.61,4978.4,58.4887,1.00044,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[1,3]",0.850982,0.00529273,0.481051,0.430383,0.245866,0.766352,1.75528,9471.92,5934.47,62.006,1.00002,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[2,1]",0.24916,0.00206511,0.126517,0.114877,0.0906896,0.224648,0.493541,4219.32,4927.06,27.621,1.00119,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[2,2]",0.19178,0.00130045,0.104066,0.091356,0.0640287,0.170734,0.386957,6319.34,5762.56,41.3683,1.00045,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[2,3]",1.48252,0.00892271,0.735594,0.694353,0.504379,1.37541,2.86234,7167.59,5839.06,46.9212,1.00022,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[3,1]",0.258352,0.00136952,0.094817,0.0848332,0.124078,0.246683,0.431022,5280.61,4380.42,34.5684,1.0008,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[3,2]",0.289509,0.00213757,0.159934,0.153755,0.0821894,0.261786,0.593267,5046.5,5296.71,33.0359,1.00057,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[3,3]",0.930863,0.00859897,0.581389,0.458887,0.28244,0.786738,2.08325,5272.38,5033.15,34.5146,0.99996,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[4,1]",0.511958,0.00170163,0.135534,0.138958,0.292195,0.509148,0.742336,6331.89,5679.4,41.4505,1.0014,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[4,2]",0.351452,0.00123649,0.112355,0.110274,0.181235,0.344637,0.545225,7634.15,4859.29,49.9754,1.00117,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[4,3]",0.816609,0.00480553,0.415462,0.378212,0.271028,0.751367,1.58496,8268.53,5823.2,54.1283,1.00067,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[5,1]",0.326276,0.00172304,0.133913,0.132347,0.13202,0.310978,0.569046,6009.58,6127.05,39.3405,1.00065,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[5,2]",0.196051,0.00104115,0.0959115,0.089029,0.0690769,0.181558,0.378451,8335.48,5358.27,54.5665,1.00058,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[5,3]",1.23025,0.00687081,0.617144,0.56838,0.404479,1.13286,2.36271,8744.22,6141.77,57.2423,1.00009,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[6,1]",0.315558,0.00106181,0.0957341,0.092085,0.17525,0.306934,0.484211,8256.08,5834.65,54.0468,1.00063,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[6,2]",0.462782,0.00164989,0.160626,0.15664,0.228572,0.446216,0.755696,9190.25,5806.34,60.1621,1.00012,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[6,3]",1.61166,0.00584765,0.509001,0.465179,0.914306,1.54582,2.55627,8763.66,5773.17,57.3696,1.00006,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[7,1]",0.304283,0.00141292,0.121452,0.116797,0.128994,0.291266,0.529879,7569.19,5645.66,49.5502,1.00133,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[7,2]",0.253873,0.00125577,0.12422,0.116574,0.09228,0.233344,0.488115,9005.89,5893.51,58.9553,1.00024,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[7,3]",1.37622,0.00730281,0.623549,0.565695,0.531383,1.28324,2.53125,8113.87,5474.52,53.1158,1.00038,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[8,1]",0.344509,0.00167207,0.129257,0.126516,0.153542,0.331332,0.57917,6165.85,5328.94,40.3635,1.00034,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[8,2]",0.17923,0.000994485,0.0874708,0.0845415,0.0622529,0.165047,0.344646,7480.02,5847.43,48.9665,1.00083,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[8,3]",0.935217,0.00726576,0.562199,0.469244,0.261137,0.810484,2.03272,6524.36,5652.08,42.7104,1.00059,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[9,1]",0.426817,0.00130702,0.114731,0.113377,0.244471,0.423573,0.625254,7910.87,5729.64,51.7869,1.00035,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
"natural[9,2]",0.304085,0.00110079,0.10966,0.109245,0.139632,0.293828,0.498857,9190.03,5710.35,60.1607,1.00046,H5_recovery_negative_2,111,0,diag_e,4,2000,2000,0.95,0,0.6913199891609404,True
