parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-0.865049,0.00288963,0.121364,0.118249,-1.07476,-0.862304,-0.669921,1811.27,4310.68,9.57539,1.00224,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
mu[2],-1.33452,0.0018508,0.100571,0.0978632,-1.51044,-1.3299,-1.1778,2987.19,4440.75,15.792,1.00238,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
mu[3],1.19578,0.00323361,0.2035,0.19617,0.878331,1.18801,1.55118,3988.38,5215.67,21.0848,1.00076,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
tau[1],0.371015,0.00540144,0.188898,0.200798,0.0542361,0.376805,0.674709,1240.32,2104.23,6.55704,1.00395,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
tau[2],0.588352,0.00183741,0.0866133,0.0849118,0.452457,0.584868,0.737536,2227.82,4045.15,11.7775,1.00075,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
tau[3],1.13839,0.00328423,0.188527,0.183897,0.852713,1.12243,1.4712,3285.27,4918.53,17.3678,1.00013,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"beta[1,1]",-0.0187514,0.00123681,0.0952964,0.0923874,-0.178709,-0.0173503,0.137835,5969.89,5459.21,31.5602,1.00031,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"beta[2,1]",0.0431739,0.00129216,0.0814118,0.0809256,-0.0943507,0.0434668,0.177388,3971.09,5512.16,20.9934,1.0011,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"beta[3,1]",-0.323932,0.00244173,0.166327,0.165503,-0.596049,-0.322524,-0.0558505,4662.54,4615.24,24.6488,1.00062,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"natural[1,1]",0.336106,0.00102656,0.083785,0.0715227,0.216911,0.325301,0.49008,7179.55,5480.05,37.9551,1.00134,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"natural[1,2]",0.354796,0.00138711,0.145229,0.142372,0.147957,0.336848,0.614556,10134.2,5372.5,53.5752,1.00046,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"natural[1,3]",1.02769,0.00644005,0.582515,0.535534,0.273963,0.935481,2.12475,9533.65,5290.97,50.4002,1.00027,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"natural[2,1]",0.300595,0.000859795,0.0758844,0.0642319,0.178443,0.299037,0.430579,7879.78,5083.41,41.6569,1.00094,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"natural[2,2]",0.337451,0.00158834,0.152762,0.147356,0.126988,0.316636,0.623228,8402.67,5600.9,44.4212,1.00024,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"natural[2,3]",1.34059,0.00739537,0.682102,0.607122,0.436727,1.22728,2.63941,9486.74,5945.6,50.1522,1.0007,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"natural[3,1]",0.348947,0.00122169,0.0843079,0.0692041,0.233906,0.333102,0.509879,5015.65,5675.37,26.5155,1.00047,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"natural[3,2]",0.24837,0.000912667,0.0933387,0.090538,0.11604,0.236572,0.415403,10214.6,5576.09,54.0003,1.00025,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"natural[3,3]",1.92961,0.00822643,0.732986,0.696667,0.889128,1.83705,3.26807,9342.33,6081.13,49.3888,1.00021,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"natural[4,1]",0.302272,0.00101192,0.0744367,0.0664362,0.188109,0.297974,0.430735,5183.12,5155.6,27.4009,1.00011,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"natural[4,2]",0.583293,0.00222789,0.197403,0.193866,0.294186,0.561084,0.942026,7673.72,6091.77,40.5675,1.00023,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"natural[4,3]",1.31759,0.00480586,0.446722,0.399348,0.720011,1.25204,2.15518,10051.7,5692.28,53.1388,0.999887,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
"natural[5,1]",0.311209,0.00101316,0.0898398,0.0715666,0.178576,0.302733,0.476708,8509.52,5335.5,44.9861,1.0003,H5_recovery_negative_0,111,0,diag_e,4,2000,2000,0.95,0,0.6560949215679603,True
