run,model,parameter,quantity,term,probability_positive,mean,median,ci_low,ci_high
H2_full_age,H2,alpha,latent_slope,age_z,0.58465625,0.0586574986473939,0.060051423085,-0.5224868475675,0.6338497627699999
H2_full_age,H2,kappa,latent_slope,age_z,0.17771875,-0.2486050203619849,-0.2482124268,-0.784685547905,0.2878324901724998
H2_full_age,H2,alpha,latent_age_variance_fraction,age,,0.0484312680631326,0.0225818792493266,5.0265101932120826e-05,0.2378790564186286
H2_full_age,H2,kappa,latent_age_variance_fraction,age,,0.0224040371062737,0.0121523495836794,3.007086701785521e-05,0.0978413724177191
H2_full_age,H2,alpha,natural_change_25_to_75,age,0.58465625,0.0390405262985117,0.0233020440031143,-0.213913103264348,0.3613687537450233
H2_full_age,H2,kappa,natural_change_25_to_75,age,0.17771875,-0.0126911313562865,-0.0123691283272384,-0.0454087208802041,0.0193545696871796
H4_full_age,H4,alpha,latent_slope,age_z,0.76575,0.1522459911718375,0.1547626885,-0.2697022967749999,0.56278396571
H4_full_age,H4,kappa,latent_slope,age_z,0.09975,-0.1766490898276962,-0.17550649145,-0.4524039638375,0.0975282508894997
H4_full_age,H4,theta,latent_slope,age_z,0.37725,-0.0473987768084282,-0.04988988575,-0.362508390235,0.2815813669099996
H4_full_age,H4,alpha,latent_age_variance_fraction,age,,0.0254924204299344,0.0134790778158564,3.19334755635066e-05,0.1136048309769731
H4_full_age,H4,kappa,latent_age_variance_fraction,age,,0.0283043590576224,0.0186743319287741,5.71400948519153e-05,0.11025073684769
H4_full_age,H4,theta,latent_age_variance_fraction,age,,0.0121217539455894,0.005730285630593,1.561635943470221e-05,0.0585409485004043
H4_full_age,H4,alpha,natural_change_25_to_75,age,0.76575,0.0102546066364451,0.0084548227144414,-0.0124176929483615,0.0438613159442688
H4_full_age,H4,kappa,natural_change_25_to_75,age,0.09975,-0.5393361980488469,-0.5463869775228389,-1.388266563442757,0.3413416142165149
H4_full_age,H4,theta,natural_change_25_to_75,age,0.37725,-0.0937418595288026,-0.1051280361107995,-0.7487020901854652,0.6203124543357229
H5_full_age,H5,alpha,latent_slope,age_z,0.3553125,-0.0804257502180802,-0.072381564585,-0.5091847552825001,0.3042042553599999
H5_full_age,H5,kappa,latent_slope,age_z,0.16625,-0.1149305129623067,-0.1150127904999999,-0.346897337015,0.1195070930324998
H5_full_age,H5,theta,latent_slope,age_z,0.75184375,0.2650116170769023,0.2635973414,-0.5053657877175001,1.0319040937999988
H5_full_age,H5,alpha,latent_age_variance_fraction,age,,0.0354463578520227,0.0162746778786899,3.383113890377111e-05,0.1776147448397672
H5_full_age,H5,kappa,latent_age_variance_fraction,age,,0.0161564530330183,0.008960235776516,2.615417083190986e-05,0.0698498025612269
H5_full_age,H5,theta,latent_age_variance_fraction,age,,0.0088520715311322,0.0042815029706033,9.486768410419944e-06,0.0423853385176715
H5_full_age,H5,alpha,natural_change_25_to_75,age,0.3553125,-0.0106133247172538,-0.0123730816227376,-0.07573591998058,0.0648440998854151
H5_full_age,H5,kappa,natural_change_25_to_75,age,0.16625,-0.0751956887019777,-0.0770429099601959,-0.2278683761903086,0.0899079350692792
H5_full_age,H5,theta,natural_change_25_to_75,age,0.75184375,0.7740269979861728,0.7697638152328283,-1.4729904641479026,3.008724642337751
H5_full_age,H5,friend_value_probability_effect,natural_change_25_to_75,age,0.22534375,-0.0504693402165085,-0.0497518670109503,-0.1851771144608094,0.0783275721474446
