run,model,parameter,quantity,term,probability_positive,mean,median,ci_low,ci_high
H5_full_quadratic,H5,alpha,latent_slope,age_z,0.402875,-0.0638377400670727,-0.058844518090000006,-0.53745992856,0.39031208600999995
H5_full_quadratic,H5,alpha,latent_slope,age_z_squared,0.277625,-0.15957999038169504,-0.1500302812,-0.7194873269075,0.3359019196424998
H5_full_quadratic,H5,kappa,latent_slope,age_z,0.24525,-0.09104045145745004,-0.09262788469,-0.3474481347825,0.16938314691249987
H5_full_quadratic,H5,kappa,latent_slope,age_z_squared,0.29775,-0.0750447312445518,-0.07381970037999999,-0.35649885858499997,0.1949082430874999
H5_full_quadratic,H5,theta,latent_slope,age_z,0.70775,0.21904538906851348,0.22068553964999998,-0.550047111425,1.0095740077499997
H5_full_quadratic,H5,theta,latent_slope,age_z_squared,0.719625,0.2398295379660377,0.23935082530000001,-0.56927245588,1.0596923195499999
H5_full_quadratic,H5,alpha,latent_age_variance_fraction,age,,0.08014119216626162,0.05284008713129909,0.0020606932136941316,0.3115542390120242
H5_full_quadratic,H5,kappa,latent_age_variance_fraction,age,,0.027059160115182522,0.020020820207370477,0.000757125465417305,0.0921197985289889
H5_full_quadratic,H5,theta,latent_age_variance_fraction,age,,0.016675555092417325,0.010998290459346149,0.00039624640514611,0.06359496295112257
H5_full_quadratic,H5,alpha,natural_change_25_to_75,age,0.239875,-0.01918863082541953,-0.02321263126414788,-0.08124084594977762,0.06694216396819129
H5_full_quadratic,H5,kappa,natural_change_25_to_75,age,0.126875,-0.08946941008683257,-0.09442455531353659,-0.23641700275147,0.08923166458034167
H5_full_quadratic,H5,theta,natural_change_25_to_75,age,0.806125,1.2614593198676223,1.2377009301092055,-1.5117334395775526,4.104224996717062
H5_full_quadratic,H5,friend_value_probability_effect,natural_change_25_to_75,age,0.18675,-0.06620997926033546,-0.06321255219466804,-0.21628201547165535,0.07758651233974531
