participant_id,model,iteration,parameter,true,recovered,boundary,n_near_best,converged
sub-10317,M1,0,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,1,kappa,1e-05,0.03030898640004398,False,50,True
sub-10317,M1,2,kappa,1e-05,0.09107032044850881,False,50,True
sub-10317,M1,3,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,4,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,5,kappa,1e-05,0.24553338980057127,False,50,True
sub-10317,M1,6,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,7,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,8,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,9,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,10,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,11,kappa,1e-05,0.09107031873174402,False,50,True
sub-10317,M1,12,kappa,1e-05,0.5472355809652449,False,50,True
sub-10317,M1,13,kappa,1e-05,0.21419450951607188,False,50,True
sub-10317,M1,14,kappa,1e-05,0.34156092067375815,False,50,True
sub-10317,M1,15,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,16,kappa,1e-05,0.5472355809035191,False,50,True
sub-10317,M1,17,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,18,kappa,1e-05,0.030308985786662006,False,50,True
sub-10317,M1,19,kappa,1e-05,0.37439617482195736,False,50,True
sub-10317,M1,20,kappa,1e-05,0.3091711539316617,False,50,True
sub-10317,M1,21,kappa,1e-05,0.1522652061959642,False,50,True
sub-10317,M1,22,kappa,1e-05,0.21419450718959612,False,50,True
sub-10317,M1,23,kappa,1e-05,0.2141945057868927,False,50,True
sub-10317,M1,24,kappa,1e-05,0.09107032043329355,False,50,True
sub-10317,M1,25,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,26,kappa,1e-05,0.03030898740821157,False,50,True
sub-10317,M1,27,kappa,1e-05,0.4416171008527355,False,50,True
sub-10317,M1,28,kappa,1e-05,0.6216738319635583,False,50,True
sub-10317,M1,29,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,30,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,31,kappa,1e-05,0.09107032045273414,False,50,True
sub-10317,M1,32,kappa,1e-05,0.03030898708139052,False,50,True
sub-10317,M1,33,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,34,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,35,kappa,1e-05,0.6603573223909256,False,50,True
sub-10317,M1,36,kappa,1e-05,0.3091711482492198,False,50,True
sub-10317,M1,37,kappa,1e-05,0.15226521026387416,False,50,True
sub-10317,M1,38,kappa,1e-05,0.06065376026376269,False,50,True
sub-10317,M1,39,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,40,kappa,1e-05,0.37439617458961055,False,50,True
sub-10317,M1,41,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,42,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,43,kappa,1e-05,0.3743961746529007,False,50,True
sub-10317,M1,44,kappa,1e-05,1e-05,True,50,True
sub-10317,M1,45,kappa,1e-05,0.03030898518458943,False,50,True
sub-10317,M1,46,kappa,1e-05,0.09107032046205842,False,50,True
sub-10317,M1,47,kappa,1e-05,0.27717750888705356,False,50,True
