model,probability_bin,mean_prediction,observed_frequency,n
M0,"(0.4, 0.5]",0.5,0.5909882997261638,4017
M1,"(-0.001, 0.1]",0.05476782540027836,0.06666666666666667,30
M1,"(0.1, 0.2]",0.15683970778687317,0.17708333333333334,96
M1,"(0.2, 0.3]",0.25423154019112004,0.21897810218978103,137
M1,"(0.3, 0.4]",0.34983754774985104,0.2922636103151863,349
M1,"(0.4, 0.5]",0.4883739055244824,0.652863436123348,3405
M2,"(-0.001, 0.1]",0.0582492856006761,0.09302325581395349,43
M2,"(0.1, 0.2]",0.15698270060598368,0.19230769230769232,104
M2,"(0.2, 0.3]",0.2557943457107551,0.2233502538071066,197
M2,"(0.3, 0.4]",0.35446074375998227,0.36724565756823824,403
M2,"(0.4, 0.5]",0.48302517445598064,0.6570723684210527,2432
M2,"(0.5, 0.6]",0.5154425029752712,0.6846965699208444,758
M2,"(0.6, 0.7]",0.6331497662824663,0.5,72
M2,"(0.7, 0.8]",0.7265672353112705,0.625,8
M3,"(-0.001, 0.1]",0.03232343839498109,0.23956043956043957,455
M3,"(0.1, 0.2]",0.15247812667786054,0.34552845528455284,246
M3,"(0.2, 0.3]",0.25053973172833555,0.39747634069400634,317
M3,"(0.3, 0.4]",0.3513350128294289,0.4669811320754717,424
M3,"(0.4, 0.5]",0.4487824359123786,0.5459459459459459,555
M3,"(0.5, 0.6]",0.5476575818832402,0.6634429400386848,517
M3,"(0.6, 0.7]",0.6500213563540715,0.7198795180722891,332
M3,"(0.7, 0.8]",0.7522766216903897,0.7682926829268293,246
M3,"(0.8, 0.9]",0.8500832329877083,0.893048128342246,187
M3,"(0.9, 1.0]",0.9827195031357631,0.9424860853432282,539
M4,"(-0.001, 0.1]",0.02966956537213514,0.07446808510638298,282
M4,"(0.1, 0.2]",0.15056057944457873,0.19594594594594594,148
M4,"(0.2, 0.3]",0.2532012043466639,0.3155339805825243,206
M4,"(0.3, 0.4]",0.3531902219331427,0.38869257950530034,283
M4,"(0.4, 0.5]",0.4586526004495036,0.5086705202312138,519
M4,"(0.5, 0.6]",0.5494891631027926,0.5984555984555985,518
M4,"(0.6, 0.7]",0.6495344232685366,0.6353467561521253,447
M4,"(0.7, 0.8]",0.7488660459281122,0.69375,320
M4,"(0.8, 0.9]",0.8522280219912026,0.7813504823151125,311
M4,"(0.9, 1.0]",0.9790062160675347,0.9170918367346939,784
M5,"(-0.001, 0.1]",0.03215132853627047,0.10569105691056911,246
M5,"(0.1, 0.2]",0.15162718662975347,0.2350230414746544,217
M5,"(0.2, 0.3]",0.2513263834435249,0.30927835051546393,291
M5,"(0.3, 0.4]",0.3565646977127482,0.43302752293577984,545
M5,"(0.4, 0.5]",0.4553945789289487,0.6863950807071484,1301
M5,"(0.5, 0.6]",0.5409384274730527,0.6605166051660517,271
M5,"(0.6, 0.7]",0.6534545802048912,0.6303501945525292,257
M5,"(0.7, 0.8]",0.7500364516481637,0.7537688442211056,199
M5,"(0.8, 0.9]",0.8502438632753958,0.8021978021978022,182
M5,"(0.9, 1.0]",0.9726920962989289,0.8681102362204725,508
M6,"(-0.001, 0.1]",0.022988054206893333,0.11462450592885376,253
M6,"(0.1, 0.2]",0.1502392806718686,0.2679738562091503,153
M6,"(0.2, 0.3]",0.25088235648483564,0.35978835978835977,189
M6,"(0.3, 0.4]",0.35356790131689525,0.49230769230769234,390
M6,"(0.4, 0.5]",0.4570650125035831,0.5997638724911453,847
M6,"(0.5, 0.6]",0.5448820065497483,0.5951219512195122,615
M6,"(0.6, 0.7]",0.6486308281646974,0.6577669902912622,412
M6,"(0.7, 0.8]",0.7485834299344727,0.6831955922865014,363
M6,"(0.8, 0.9]",0.8494613833060544,0.7300613496932515,326
M6,"(0.9, 1.0]",0.9688111960092238,0.8805970149253731,469
M7,"(-0.001, 0.1]",0.02403227066639858,0.10619469026548672,339
M7,"(0.1, 0.2]",0.15486657293955758,0.2832369942196532,173
M7,"(0.2, 0.3]",0.25199010571551367,0.3210702341137124,299
M7,"(0.3, 0.4]",0.3577011672823513,0.5150862068965517,464
M7,"(0.4, 0.5]",0.4537501815139383,0.6209677419354839,744
M7,"(0.5, 0.6]",0.5495788022430445,0.6024844720496895,322
M7,"(0.6, 0.7]",0.6492247457040732,0.6370106761565836,281
M7,"(0.7, 0.8]",0.7481180428702735,0.6395759717314488,283
M7,"(0.8, 0.9]",0.8471722507354852,0.7942238267148014,277
M7,"(0.9, 1.0]",0.9763928843834164,0.859880239520958,835
M8,"(-0.001, 0.1]",0.04590956878887036,0.125,80
M8,"(0.1, 0.2]",0.15090095715405089,0.2,80
M8,"(0.2, 0.3]",0.2513593997880294,0.22777777777777777,180
M8,"(0.3, 0.4]",0.3540133811250755,0.3426294820717131,251
M8,"(0.4, 0.5]",0.45932327018202973,0.40725806451612906,496
M8,"(0.5, 0.6]",0.5491693843195515,0.5651282051282052,975
M8,"(0.6, 0.7]",0.6466209989652039,0.6267806267806267,702
M8,"(0.7, 0.8]",0.7429577822505301,0.7470817120622568,514
M8,"(0.8, 0.9]",0.8501773688029445,0.8345864661654135,399
M8,"(0.9, 1.0]",0.9491949139696916,0.9147058823529411,340
