run,model,participant_id,parameter,age,mean,median,ci_low,ci_high
H5_full_age,H5,sub-10317,alpha,63,0.07936989641065177,0.052478493955,0.003211598546875,0.30127333449
H5_full_age,H5,sub-10317,kappa,63,0.6164420925236487,0.5823365175999999,0.1580933971525,1.26689671055
H5_full_age,H5,sub-10317,theta,63,7.042082830804625,6.683375697000001,2.482294865125,13.573709649249997
H5_full_age,H5,sub-10317,friend_value_probability_effect,63,0.636029134669799,0.6410569858075249,0.4520034494400049,0.7850940245887715
H5_full_age,H5,sub-10317,canonical_friend_logit,63,11.984091394874383,10.572095667748806,3.6899645812746207,28.049642398538907
H5_full_age,H5,sub-10369,alpha,32,0.196565701347666,0.15646660829999998,0.015493982418750002,0.5685708359024999
H5_full_age,H5,sub-10369,kappa,32,0.17497531723709547,0.1412512568,0.031721485875749994,0.4967916510224998
H5_full_age,H5,sub-10369,theta,32,7.687843943215141,7.229197716,2.006326393025,15.969320034499992
H5_full_age,H5,sub-10369,friend_value_probability_effect,32,0.38797282348761825,0.3979300043225281,0.16452857110743926,0.565412643603586
H5_full_age,H5,sub-10369,canonical_friend_logit,32,3.1488508128228694,2.9217544948442375,0.9106405342440794,6.833248867234714
H5_full_age,H5,sub-10402,alpha,36,0.1491080463923356,0.115313602,0.012676041796750002,0.49621997860749995
H5_full_age,H5,sub-10402,kappa,36,0.07929509985693013,0.058558448035,0.01322769308675,0.2668918025449997
H5_full_age,H5,sub-10402,theta,36,7.7884276584865075,7.3212042749999995,1.3607076423500002,17.25358430924999
H5_full_age,H5,sub-10402,friend_value_probability_effect,36,0.21351410155772982,0.21385428850271282,0.06897675630837169,0.35584640537092677
H5_full_age,H5,sub-10402,canonical_friend_logit,36,1.262305803675079,1.2192359240248547,0.3656858911992819,2.393296703792244
H5_full_age,H5,sub-10418,alpha,68,0.039938512802695475,0.029586451685,0.0026802742100500002,0.1360348530525
H5_full_age,H5,sub-10418,kappa,68,0.24967591958486876,0.23210375379999998,0.08934821668275,0.5092690783575
H5_full_age,H5,sub-10418,theta,68,10.444255320018376,10.21134162,4.997922554025,17.381691980249997
H5_full_age,H5,sub-10418,friend_value_probability_effect,68,0.5269409832034427,0.5313956791540073,0.4020231706246576,0.6286014565962875
H5_full_age,H5,sub-10418,canonical_friend_logit,68,7.323035739567643,6.784600513406237,3.1126668472481716,14.622831368030415
H5_full_age,H5,sub-10462,alpha,62,0.09807427822093592,0.061490714875000005,0.00555636623985,0.4284055763599999
H5_full_age,H5,sub-10462,kappa,62,0.43957602167783616,0.3748355996,0.017106683473,1.2671705833749993
H5_full_age,H5,sub-10462,theta,62,2.662530879619507,1.1023402955,0.03630778910200001,13.216207531499984
H5_full_age,H5,sub-10462,friend_value_probability_effect,62,0.23003167601576832,0.21993195439754143,0.006780561972472339,0.5164113614487783
H5_full_age,H5,sub-10462,canonical_friend_logit,62,1.3632722900469298,1.2436610963458063,0.04034009157514815,3.3960931434896575
H5_full_age,H5,sub-10478,alpha,28,0.09290069328385867,0.07292248373999999,0.006965011287350001,0.29122838654
H5_full_age,H5,sub-10478,kappa,28,0.19568547289134,0.17627047750000002,0.06565797737875001,0.43207846406499983
H5_full_age,H5,sub-10478,theta,28,9.177586144882875,8.8558378275,3.6950197019,16.683768426499988
H5_full_age,H5,sub-10478,friend_value_probability_effect,28,0.4705235063989007,0.47540872997708583,0.3318876876149121,0.5813973191175118
H5_full_age,H5,sub-10478,canonical_friend_logit,28,4.740179850734418,4.536665941898896,2.20342082464957,8.474916485587832
H5_full_age,H5,sub-10486,alpha,42,0.08485012543269344,0.059933735769999996,0.00531863542615,0.3108130975824999
H5_full_age,H5,sub-10486,kappa,42,0.13052642467727124,0.11817587635,0.03691773349525,0.28701014547500003
H5_full_age,H5,sub-10486,theta,42,11.408853432029126,11.15071571,5.297425935200001,18.700629617249998
H5_full_age,H5,sub-10486,friend_value_probability_effect,42,0.42600952005947634,0.43822124527262074,0.2289970563130194,0.5555325591607483
H5_full_age,H5,sub-10486,canonical_friend_logit,42,4.182897739351866,3.8583417197748435,1.3312448021496077,8.972215983245965
H5_full_age,H5,sub-10529,alpha,68,0.09278000355324977,0.069630294395,0.0063389073025,0.31361565974499955
H5_full_age,H5,sub-10529,kappa,68,0.07912616224982713,0.06497146112499999,0.018001560827500002,0.22484232603249996
H5_full_age,H5,sub-10529,theta,68,8.937455222454325,8.571820133,2.517147380925,17.486083050999998
H5_full_age,H5,sub-10529,friend_value_probability_effect,68,0.2660773670343799,0.27032992182223264,0.10745401479104019,0.40425915429102666
H5_full_age,H5,sub-10529,canonical_friend_logit,68,1.6826749058821207,1.6435209760417264,0.577018509252504,3.0606516679235303
H5_full_age,H5,sub-10541,alpha,69,0.11869787010331179,0.089720523405,0.0080618111889,0.40004971959249985
H5_full_age,H5,sub-10541,kappa,69,0.05067336545338087,0.041058288175,0.009896888865625,0.14839500125749996
H5_full_age,H5,sub-10541,theta,69,9.346589199738762,9.0176498295,2.25633478975,18.430285671
H5_full_age,H5,sub-10541,friend_value_probability_effect,69,0.19096475216302758,0.191158101275334,0.0627003890162672,0.3238627377842494
H5_full_age,H5,sub-10541,canonical_friend_logit,69,1.1104413941833697,1.07562464648813,0.33210688707062824,2.133886801609557
H5_full_age,H5,sub-10555,alpha,28,0.3897896940039043,0.38992276584999996,0.04304426792200001,0.7930348856599998
H5_full_age,H5,sub-10555,kappa,28,0.23589648437619712,0.1838923645,0.017926644227000004,0.7216361927474999
H5_full_age,H5,sub-10555,theta,28,5.38233030262703,4.360762244,0.6391785189475001,15.068367231249994
H5_full_age,H5,sub-10555,friend_value_probability_effect,28,0.32906668230512387,0.3265108483631288,0.05571112181571981,0.6044889587229642
H5_full_age,H5,sub-10555,canonical_friend_logit,28,2.4835807427025363,2.0233846412846566,0.2945681315359374,7.3516609738216
H5_full_age,H5,sub-10559,alpha,28,0.05759295773357313,0.05617623638,0.011134779643250001,0.11453648100749994
H5_full_age,H5,sub-10559,kappa,28,2.276991374180775,2.2101934435,1.393115822825,3.5147872418749997
H5_full_age,H5,sub-10559,theta,28,0.2059009217094071,0.19369591195000002,0.000567297550395,0.50641441725
H5_full_age,H5,sub-10559,friend_value_probability_effect,28,0.12106716991921118,0.08548757225879994,0.0001908416876405277,0.4235393766614128
H5_full_age,H5,sub-10559,canonical_friend_logit,28,1.5320690264434746,1.238000340297187,0.003252961332017885,4.680848189300067
H5_full_age,H5,sub-10572,alpha,70,0.06569940935522102,0.045582603220000004,0.0043869645478,0.24727087921999974
H5_full_age,H5,sub-10572,kappa,70,0.43735952996885985,0.4300720926,0.02009718933175,0.9002665962924998
H5_full_age,H5,sub-10572,theta,70,0.746645111231187,0.26537862484999997,0.0021510592210250007,7.6435885991249775
H5_full_age,H5,sub-10572,friend_value_probability_effect,70,0.07310210281157345,0.054715395866296944,0.00044588619323656986,0.23895209924378147
H5_full_age,H5,sub-10572,canonical_friend_logit,70,0.4111531784005797,0.3050037083781649,0.002683053027224223,1.369935055327593
H5_full_age,H5,sub-10581,alpha,48,0.05919967883387142,0.048598484415000004,0.005702570864874999,0.17697836402249997
H5_full_age,H5,sub-10581,kappa,48,0.3942098799919425,0.36286736445,0.06339393504425,0.9207588531825
