model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,alpha,kappa,theta,preference_stranger,participant_id,heldout_n,heldout_log_loss,heldout_accuracy,heldout_brier,split
preference,27,4,-5.146176646152949,18.292353292305897,20.110535110487714,23.475700756323214,0.5112909744259515,0.7250235730761683,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.900516872486256,5.0,0.2612789184101338,sub-10317,15,0.8786283083229904,0.7333333333333333,0.2301708064251115,chronological_65_percent
preference,26,4,-14.932725207202825,37.86545041440565,39.770212319167555,42.89783656649158,-0.050544183344038075,0.17140889986964858,True,100,100,46,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.07645701675646903,5.0,-1.8371565652830777,sub-10369,15,0.6681771578880501,0.6666666666666666,0.239123525615347,chronological_65_percent
preference,41,4,-26.551642839774033,61.103285679548065,62.21439679065918,67.9575739463653,-0.07504155160860505,0.06570918408787918,True,100,100,91,preference_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.21171951936980926,0.04283283958432685,2.3021687185876374,5.0,sub-10402,42,0.6766377596630727,0.6428571428571429,0.24043863933910495,run_1_to_2
preference,42,4,-18.526767023699723,45.053534047399445,46.134615128480526,52.00421252053292,0.22620821256303278,0.3636077402667436,True,100,100,67,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.46690655600955033,5.0,0.5049329555507891,sub-10418,42,0.5648243595540743,0.5714285714285714,0.21455649077731534,run_1_to_2
preference,27,4,-16.623214029132612,41.246428058265224,43.064609876447044,46.42977552228254,-0.10196328174153023,0.11176931690868652,True,100,100,12,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.07022016237235425,0.6834328692329062,0.3588853287031506,-0.09705018881344818,sub-10462,14,0.6304017208446411,0.7857142857142857,0.21401262543252536,chronological_65_percent
preference,41,4,-22.036011949318155,52.07202389863631,53.183135009747424,58.92631216545354,0.08385304088275371,0.2246037765792379,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.24014977229506823,0.4600227006664981,1.5804362853704434,0.04425703298856299,sub-10478,41,0.552049225431602,0.6585365853658537,0.19638903417342676,run_1_to_2
preference,27,4,-7.172392508986498,22.344785017972995,24.162966836154812,27.528132481990312,0.40302387897852504,0.6167564776287419,True,100,100,99,alpha;theta;preference_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.24960496981602376,5.0,5.0,sub-10486,15,0.36593548680040094,0.6,0.13519354089511337,chronological_65_percent
preference,41,4,-25.608141250882852,59.216282501765704,60.32739361287682,66.07057076858294,-0.041841915916796174,0.09890881977968802,True,100,100,29,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.6068491219787631,0.09293765401762752,3.512888255530758,0.4493001081886476,sub-10529,40,0.6428433605294961,0.65,0.22376371770969872,run_1_to_2
preference,40,4,-26.722766247951057,61.445532495902114,62.58838963875926,68.20105031235786,-0.10808956270774538,0.03617994138115099,True,100,100,96,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0918733216931203,0.02903532102379826,5.0,-2.2528220128839145,sub-10541,42,0.6874407856631267,0.4523809523809524,0.2474505452370456,run_1_to_2
preference,27,4,-16.451924777796208,40.903849555592416,42.722031373774236,46.08719701960973,-0.09281075753928529,0.12092184111093152,True,100,100,94,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.7282045396053022,0.3566903822989551,0.5634220445216301,0.24635700881431374,sub-10555,14,0.5255723350562584,0.7857142857142857,0.17057831467963155,chronological_65_percent
preference,38,4,-10.484277021019523,28.968554042039045,30.180675254160256,35.51889868094459,0.45009487818192545,0.6019575140649742,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.146032132083507,3.3853941360421675,0.3728891117508505,0.04787896566661837,sub-10559,40,0.8756207445710681,0.625,0.27900783675570884,run_1_to_2
preference,41,4,-27.178492075736827,62.356984151473654,63.46809526258477,69.21127241829089,-0.09709892439174063,0.043651811304743604,True,100,100,90,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.4761194664721147,0.49252594512969367,0.10446010380971378,sub-10572,42,0.698545404693953,0.5238095238095238,0.2521469066172156,run_1_to_2
