run,model,participant_id,n,posterior_draws,log_loss,brier,accuracy
H2_train_age,H2,sub-10317,15,32000,0.6870441405769705,0.2469514265349602,0.6
H2_train_age,H2,sub-10369,15,32000,0.6934628902817661,0.250157850991942,0.4666666666666667
H2_train_age,H2,sub-10402,42,32000,0.6938361404441106,0.2503441489795404,0.4761904761904761
H2_train_age,H2,sub-10418,42,32000,0.6968498091919682,0.2518510445760338,0.3333333333333333
H2_train_age,H2,sub-10462,14,32000,0.6898515238261943,0.248350274506983,0.5714285714285714
H2_train_age,H2,sub-10478,41,32000,0.7032497394029815,0.2550490282511314,0.3170731707317073
H2_train_age,H2,sub-10486,15,32000,0.6981376742771814,0.2524951286997449,0.0666666666666666
H2_train_age,H2,sub-10529,40,32000,0.69414122951576,0.2504968667917372,0.475
H2_train_age,H2,sub-10541,42,32000,0.694774829979924,0.2508130223321873,0.4761904761904761
H2_train_age,H2,sub-10555,14,32000,0.6863344758015157,0.2465968108040883,0.5
H2_train_age,H2,sub-10559,40,32000,0.3644855142326165,0.1002108532689286,0.95
H2_train_age,H2,sub-10572,42,32000,0.686881432468971,0.2468698420539813,0.4523809523809524
H2_train_age,H2,sub-10581,41,32000,0.700049149856163,0.2534475432257056,0.3902439024390244
H2_train_age,H2,sub-10584,41,32000,0.6707171344514807,0.2388231422222433,0.6585365853658537
H2_train_age,H2,sub-10585,42,32000,0.6956393010621518,0.2512455449811635,0.4761904761904761
H2_train_age,H2,sub-10589,42,32000,0.6934830943266052,0.250167909281831,0.4523809523809524
H2_train_age,H2,sub-10590,42,32000,0.686799976810293,0.2468276839957931,0.6190476190476191
H2_train_age,H2,sub-10596,41,32000,0.7058613266223116,0.2563536994800936,0.2682926829268293
H2_train_age,H2,sub-10603,42,32000,0.6880869347064029,0.2474703596409185,0.5714285714285714
H2_train_age,H2,sub-10606,41,32000,0.6994973670265971,0.2531748362520437,0.1463414634146341
H2_train_age,H2,sub-10608,15,32000,0.6763054573926442,0.241592029178347,0.6
H2_train_age,H2,sub-10617,15,32000,0.6906193208930491,0.2487364386149559,0.7333333333333333
H2_train_age,H2,sub-10636,42,32000,0.6979226376077811,0.2523876011436205,0.2142857142857142
H2_train_age,H2,sub-10638,41,32000,0.6958008012728587,0.2513267088597262,0.3902439024390244
H2_train_age,H2,sub-10640,41,32000,0.61404494637489,0.2111705627628901,0.6585365853658537
H2_train_age,H2,sub-10641,15,32000,0.6993513270811884,0.2530955665292509,0.4666666666666667
H2_train_age,H2,sub-10642,42,32000,0.7034962575266085,0.2549982952581265,0.5476190476190477
H2_train_age,H2,sub-10644,41,32000,0.6825288712600242,0.2447054062128734,0.5609756097560976
H2_train_age,H2,sub-10647,42,32000,0.4843145934858238,0.1600798999082101,0.7380952380952381
H2_train_age,H2,sub-10649,39,32000,0.6968602540713739,0.2518564498709711,0.2564102564102564
H2_train_age,H2,sub-10652,42,32000,0.6940732899188149,0.2504618902356724,0.5476190476190477
H2_train_age,H2,sub-10656,42,32000,0.4859288084724078,0.1545164933316321,0.7857142857142857
H2_train_age,H2,sub-10661,42,32000,0.7034904471569263,0.2551708002640377,0.1666666666666666
H2_train_age,H2,sub-10663,38,32000,0.625757803142193,0.2171415307033333,0.6842105263157895
H2_train_age,H2,sub-10668,13,32000,0.6978553083826122,0.2523556639635975,0.3846153846153846
H2_train_age,H2,sub-10673,42,32000,0.6899850016516312,0.2484191051947778,0.5476190476190477
H2_train_age,H2,sub-10674,42,32000,0.7018790641390547,0.2543655937457394,0.0476190476190476
H2_train_age,H2,sub-10677,42,32000,0.6862718596277073,0.2465647232166783,0.5714285714285714
H2_train_age,H2,sub-10685,42,32000,0.6665609320903781,0.2377695557025301,0.5714285714285714
H2_train_age,H2,sub-10690,15,32000,0.6982007119347734,0.2525317320616555,0.2666666666666666
H2_train_age,H2,sub-10691,42,32000,0.7007239078951064,0.2537879368901345,0.1666666666666666
H2_train_age,H2,sub-10700,42,32000,0.6713573602592398,0.2391523203329746,0.6904761904761905
H2_train_age,H2,sub-10701,42,32000,0.6131412955957989,0.2114240591491208,0.7142857142857143
H2_train_age,H2,sub-10713,42,32000,0.6711348596728767,0.239081349129561,0.6190476190476191
H2_train_age,H2,sub-10716,42,32000,0.6896207922404763,0.2482372892164034,0.5952380952380952
H2_train_age,H2,sub-10718,42,32000,0.6995034598866384,0.2531778958536662,0.1428571428571428
H2_train_age,H2,sub-10720,42,32000,0.6884663412493027,0.2476613273395232,0.5476190476190477
H2_train_age,H2,sub-10723,42,32000,0.6891585187907173,0.2480167681217466,0.5
H2_train_age,H2,sub-10741,41,32000,0.6872979507143376,0.2470760696704851,0.6341463414634146
H2_train_age,H2,sub-10748,42,32000,0.6962158630260087,0.2515342062699768,0.2857142857142857
H2_train_age,H2,sub-10767,42,32000,0.6887529492497738,0.2478058283635712,0.5238095238095238
H2_train_age,H2,sub-10770,42,32000,0.694007026045169,0.2504299092192442,0.4285714285714285
H2_train_age,H2,sub-10781,42,32000,0.6931430075750595,0.2499969980440375,0.5476190476190477
H2_train_age,H2,sub-10783,42,32000,0.6572779824397765,0.2321105057130109,0.7857142857142857
H2_train_age,H2,sub-10785,42,32000,0.7035149843385948,0.2551984826294126,0.3809523809523809
H2_train_age,H2,sub-10794,42,32000,0.6866548826446259,0.2467623621394003,0.5
H2_train_age,H2,sub-10800,38,32000,0.6959992632473159,0.251425896236559,0.2894736842105263
H2_train_age,H2,sub-10801,42,32000,0.7017373234167424,0.2542944699618895,0.1904761904761904
H2_train_age,H2,sub-10802,42,32000,0.6855581825117747,0.2462112800279396,0.5
H2_train_age,H2,sub-10803,15,32000,0.6876271707723137,0.2472410111133626,0.6
H2_train_age,H2,sub-10804,39,32000,0.6998159573798279,0.2533329338974476,0.358974358974359
H2_train_age,H2,sub-10806,41,32000,0.6796573577696956,0.2432647770421607,0.6585365853658537
H2_train_age,H2,sub-10807,41,32000,0.6978056786561629,0.2523288911797777,0.3902439024390244
H2_train_age,H2,sub-10809,42,32000,0.5947173371962021,0.2032247044764295,0.6428571428571429
H2_train_age,H2,sub-10810,42,32000,0.6980062997733938,0.2524291887031168,0.4047619047619047
H2_train_age,H2,sub-10812,42,32000,0.6941486954703203,0.250500734173087,0.4285714285714285
H2_train_age,H2,sub-10817,42,32000,0.6931622354106383,0.2500088044984582,0.4047619047619047
H2_train_age,H2,sub-10827,27,32000,0.6953063870517203,0.2510791102626485,0.4074074074074074
H2_train_age,H2,sub-10831,42,32000,0.7001116507251716,0.253480421840333,0.3571428571428571
H2_train_age,H2,sub-10834,42,32000,0.7019725478792826,0.2544121200020869,0.0952380952380952
H2_train_age,H2,sub-10836,15,32000,0.7040952880514992,0.2554272134709057,0.6666666666666666
H2_train_age,H2,sub-10838,37,32000,0.6897053307958639,0.2482844741087299,0.4864864864864865
