sample,model_a,model_b,n,mean_difference,ci_low,ci_high,p,p_holm
primary,M0,M1,111,0.023920403162414058,0.011498844826578489,0.038251159613154416,0.8760779627301509,1.0
primary,M0,M2,111,0.015292449669192904,-0.0006503569239741387,0.03183492588433398,0.7218293334221129,1.0
primary,M0,M5,111,0.011455625962921878,-0.04909378605526503,0.06201708471498212,0.007224958609561976,0.11559933775299161
primary,M0,M6,111,-0.01937463399978467,-0.08844330428265641,0.04189299019634187,0.06856645918841446,0.9049468140322181
primary,M0,M7,111,-0.2190369053435101,-0.578692839073906,0.0038940705456244787,0.3742364364122158,1.0
primary,M0,M8,111,0.0853203827366187,0.04580037577223769,0.12398799831401534,4.892460672236219e-06,0.00010274167411696059
primary,M1,M2,111,-0.008627953493221157,-0.019458148830995527,0.0011188940120558535,0.6235818212174075,1.0
primary,M1,M5,111,-0.012464777199492178,-0.07246618599727113,0.038771012984682565,0.0699183900367505,0.9049468140322181
primary,M1,M6,111,-0.04329503716219874,-0.11112664734219625,0.01586324517381671,0.364819681503321,1.0
primary,M1,M7,111,-0.24295730850592415,-0.6142022331599224,-0.015868873313460083,0.9039816377452193,1.0
primary,M1,M8,111,0.06139997957420461,0.02106615863684355,0.1028516887047362,0.003799754881457175,0.06459583298477198
primary,M2,M5,111,-0.003836823706271023,-0.062067306033125255,0.04788585584737738,0.021903958232138705,0.3285593734820806
primary,M2,M6,111,-0.034667083668977576,-0.09930099214212669,0.022564372232877203,0.25978906035658134,1.0
primary,M2,M7,111,-0.23432935501270297,-0.6173858797561826,-0.011917590086892563,0.8414223662484597,1.0
primary,M2,M8,111,0.07002793306742579,0.03230561003287027,0.10664494238389,0.00047625638657135277,0.009048871344855703
primary,M5,M6,111,-0.03083025996270655,-0.09558361978385682,0.03108761399291965,0.8506372904866923,1.0
primary,M5,M7,111,-0.23049253130643202,-0.5877574812970742,-0.029880085078307538,0.23225817462691123,1.0
primary,M5,M8,111,0.0738647567736968,0.013639808314284144,0.14003406752241956,0.06463905814515844,0.9049468140322181
primary,M6,M7,111,-0.19966227134372547,-0.54595716424606,-0.00364522179464119,0.19749727285474206,1.0
primary,M6,M8,111,0.10469501673640337,0.04911733821438789,0.1652301079175206,0.000615244048786215,0.01107439287815187
primary,M7,M8,111,0.30435728808012885,0.0888946544524735,0.6569014508721333,0.0003504161450991047,0.007008322901982094
rating_complete_secondary,M0,M1,103,0.025212826305775794,0.012136126709010328,0.04162419820557958,0.8435152117820166,1.0
rating_complete_secondary,M0,M2,103,0.01888629659334129,0.0015950902881264595,0.03627193739850034,0.39052295831018946,1.0
rating_complete_secondary,M0,M3,103,-0.04755739835427176,-0.1931724157100331,0.07115333332819128,0.04582728481668717,0.8707184115170563
rating_complete_secondary,M0,M4,103,0.06322929365616863,-0.02744799366737484,0.1373810284119288,0.00019340552223846835,0.006188976711630987
rating_complete_secondary,M0,M5,103,0.022719474418064177,-0.03885923291153386,0.07220767427923067,0.0017954589913117464,0.0502728517567289
rating_complete_secondary,M0,M6,103,-0.001906599468265461,-0.0728880461286204,0.06124178394753027,0.025928902885040652,0.596364766355935
rating_complete_secondary,M0,M7,103,-0.21713343876737867,-0.6101370248449709,0.024222875176564643,0.2185362767193344,1.0
rating_complete_secondary,M0,M8,103,0.10176051430183138,0.06381975012402663,0.14207915572356805,4.2678583254555687e-07,1.5364289971640047e-05
rating_complete_secondary,M1,M2,103,-0.0063265297124345116,-0.018024191807710227,0.0035073101809427565,0.907688834317416,1.0
rating_complete_secondary,M1,M3,103,-0.07277022466004758,-0.21106957298431878,0.043042229639816146,0.2160835810207553,1.0
rating_complete_secondary,M1,M4,103,0.03801646735039282,-0.051693087188257235,0.11219812938510096,0.004339598957442221,0.11282957289349775
rating_complete_secondary,M1,M5,103,-0.002493351887711614,-0.06396423273730091,0.04801854395754608,0.02868446999405555,0.6310583398692221
rating_complete_secondary,M1,M6,103,-0.027119425774041264,-0.09682134625800966,0.030413391939177397,0.21730744010275482,1.0
rating_complete_secondary,M1,M7,103,-0.24234626507315452,-0.6410895687867069,-0.005673338971230449,0.6905710963176459,1.0
rating_complete_secondary,M1,M8,103,0.07654768799605555,0.03759845654347703,0.11590718568267044,0.0006822861316210676,0.01978629781701096
rating_complete_secondary,M2,M3,103,-0.06644369494761308,-0.2126586620011841,0.04835655687541767,0.2100387019493284,1.0
rating_complete_secondary,M2,M4,103,0.04434299706282732,-0.04477889359407374,0.11802699672810438,0.0033752755152063963,0.0911324389105727
