model,parameter,n_subjects,iterations,pearson,pearson_sd,spearman,rmse,bias,boundary_rate
M1,kappa,111,50,0.9075277451442783,0.01932867309119991,0.7162878244455894,0.1827391142049186,0.05948017490782934,0.3565765765765766
M2,alpha,111,50,0.2974953815798644,0.09469887408305881,0.2654404005790644,0.4716662245600132,-0.05556455657862418,0.438018018018018
M2,kappa,111,50,0.9133740001107055,0.023419444371072354,0.7347354839178477,0.19370996468293422,0.07193989534103454,0.15513513513513513
M3,alpha,103,50,0.7347968636184722,0.14145842777357345,0.7111890355527793,0.13473851448984664,0.0028397989459563117,0.2937864077669903
M3,kappa,103,50,0.8266659736847126,0.061597482512259126,0.9037305719364123,2.927021011942689,0.607498451601179,0.06038834951456311
M3,phi,103,50,0.6139406791519566,0.07720617210201655,0.7777537413724401,1.0990773995847547,0.05223595362970203,0.0912621359223301
M4,alpha,103,50,0.6260550293862324,0.14677647586317924,0.6160274035034498,0.1565098065709795,0.007729994681468442,0.27883495145631065
M4,kappa,103,50,0.827405039412431,0.04836621917250554,0.8269472805408978,3.6934172508758305,0.6348253598426332,0.10718446601941749
M4,theta,103,50,0.7371480206047158,0.05678132174638642,0.8654034537789415,1.2991393195738112,-0.22428548430976175,0.19223300970873786
M5,alpha,111,50,0.5978223513775704,0.10315120107457615,0.5428313695953232,0.19089688251132805,0.021963634304365088,0.2857657657657658
M5,kappa,111,50,0.8724957152218826,0.06596060559982779,0.8598773582674216,1.2875296052477105,0.24952479692876964,0.011891891891891892
M5,theta,111,50,0.7537083681100168,0.04526747201505431,0.7565098512492179,1.4565129227427696,-0.3773760775773576,0.4111711711711712
M6,alpha,111,50,0.5605577601037762,0.09423390555639673,0.5714478101556653,0.21432914827225624,0.02359088918326762,0.32090090090090084
M6,kappa,111,50,0.7845216754526563,0.07140757737517772,0.8266504613125696,2.6141308784205837,0.4778227327120829,0.0445045045045045
M6,theta,111,50,0.7495059324370081,0.04301480718293172,0.8264543053316146,1.509720016091726,-0.3952030632648785,0.28378378378378377
M7,alpha,111,50,0.6183208109433247,0.10816241545167174,0.5717302991274633,0.16329756553699584,0.016596357747556485,0.2812612612612612
M7,kappa,111,50,0.7889643106175258,0.0481736302964751,0.8478562796503816,2.686004015790441,0.6409229152655077,0.041981981981981976
M7,theta,111,50,0.7699423154765624,0.04435927213826778,0.7945978412139749,1.4116545590042977,-0.3863168272421107,0.34090090090090086
M7,theta_stranger,111,50,0.8124673259174124,0.03755670979914941,0.8225028924174315,1.099783478567961,-0.1789304008359052,0.2681081081081081
M8,alpha,111,50,0.7137546466843002,0.061959550088783746,0.7235115908670586,0.2861584087090357,-0.02386285212592351,0.2859459459459459
M8,alpha_negative,111,50,0.5254708081487521,0.09303476643168171,0.5964469378066568,0.27822329166056226,0.01436497110667595,0.3668468468468468
M8,kappa,111,50,0.7781118225149316,0.04158069738025507,0.7860702000702,0.46475112039855426,0.16355765417209486,0.0023423423423423423
