model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,alpha,kappa,theta,participant_id,theta_stranger,phi
M4_theta10,42,3,-15.016604100034984,36.033208200069964,36.66478714743838,41.24621705492007,0.3811317764576135,0.4841814222353965,True,101,101,67,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.010830394799532062,17.45356209009602,0.9709533938657704,sub-10317,,
M5_theta10,42,3,-14.756680188042203,35.51336037608441,36.144939323452824,40.72636923093451,0.39006013214429064,0.4931097779220738,True,101,101,101,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.34546213567794654,0.8030381100164288,10.0,sub-10317,,
M6_theta10,42,3,-25.176742828392214,56.35348565678443,56.985064604152846,61.56649451163453,0.03213221078749733,0.13518185656528048,True,101,101,44,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1.1335727662335218,0.7334081295505631,sub-10317,,
M7_theta10,42,4,-14.756175768066901,37.51235153613381,38.59343261721489,44.46303000926728,0.3557275769849556,0.4931271046886665,True,101,101,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.34300606713699017,0.8058110091610706,10.0,sub-10317,0.01058679994263549,
M3_phi10,42,3,-15.812610002714871,37.62522000542974,38.25679895279816,42.83822886027985,0.35378906768821783,0.4568387134660009,True,101,101,16,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.012512235455870655,7.539601618524408,,sub-10317,,1.3237458309793855
M3_logitprior,42,3,-18.857645882135888,43.715291764271775,44.34687071164019,48.928300619121885,0.24919244476989244,0.3522420905476755,True,101,101,80,alpha;phi,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1.1014320159244737,,sub-10317,,10.0
M5_theta10,41,3,-22.144312361030437,50.288624722060874,50.93727337070952,55.42934092217379,0.11522988415069083,0.22079293592305405,True,101,101,101,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.5561593761690864,0.19832392020576584,10.0,sub-10369,,
M6_theta10,41,3,-26.72749082225511,59.45498164451022,60.103630293158865,64.59569784462315,-0.046041550910722505,0.05952150086164065,True,101,101,95,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.5131649818121612,0.03313265398299428,10.0,sub-10369,,
M7_theta10,41,4,-22.142091614240226,52.28418322848045,53.395294339591565,59.13847149529768,0.08012034316269923,0.22087107885918345,True,101,101,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.5553164723605237,0.1983478327122287,10.0,sub-10369,0.06706288216069606,
M4_theta10,83,3,-52.950040173853374,111.90008034770675,112.20387781606118,119.15660217109654,0.027483789200523606,0.07962939308807648,True,101,101,58,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.07515519514114892,0.545951210597413,1.356113141855684,sub-10402,,
M5_theta10,83,3,-54.834033638691764,115.66806727738353,115.97186474573796,122.92458910077332,-0.0052635364475434,0.046882067440009445,True,101,101,60,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.16617153751895114,0.041527282964779894,9.510841043928036,sub-10402,,
M6_theta10,83,3,-52.819632314497696,111.63926462899539,111.94306209734982,118.89578645238518,0.02975052139311857,0.08189612528067147,True,101,100,56,alpha;theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0,0.024789473234050827,10.0,sub-10402,,
M7_theta10,83,4,-52.8196323144977,113.6392646289954,114.15208514181592,123.3146270601818,0.012368653430600816,0.08189612528067136,True,101,101,61,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.024789473320863085,10.0,sub-10402,10.0,
M3_phi10,83,3,-54.02406327414467,114.04812654828935,114.35192401664378,121.30464837167914,0.00881526148256641,0.060960865370119355,True,101,101,4,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0026648551035163464,0.3333010246056762,,sub-10402,,1.8916721398107743
M3_logitprior,83,3,-57.04285636209893,120.08571272419786,120.3895101925523,127.34223454758765,-0.043657001378415376,0.008488602509137522,True,101,101,39,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.07408841119598138,,sub-10402,,5.716206955486157
M4_theta10,84,3,-54.98296584273289,115.96593168546578,116.26593168546577,123.25838208199572,0.004145984793513189,0.05567080768240473,True,101,100,91,alpha;theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.025886484986278515,10.0,sub-10418,,
M5_theta10,84,3,-39.97091480423989,85.94182960847978,86.24182960847978,93.23428000500972,0.2619770751126306,0.3135018980015222,True,101,101,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.2893433374190851,10.0,sub-10418,,
M6_theta10,84,3,-53.206263874126535,112.41252774825307,112.71252774825307,119.70497814478301,0.03466073621310896,0.08618555910200054,True,101,101,79,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.009553994920626639,0.038543594568473984,10.0,sub-10418,,
M7_theta10,84,4,-39.82380451442765,87.6476090288553,88.15393814277935,97.37087622422855,0.24732874469223645,0.3160285085440918,True,101,101,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.31792028584727167,10.0,sub-10418,0.2846792898682343,
M3_phi10,84,3,-53.721804412824184,113.44360882564837,113.74360882564837,120.73605922217831,0.025806357896962246,0.07733118078585377,True,101,101,92,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.030761650488998624,0.4893548382815096,,sub-10418,,7.142470620808632
M3_logitprior,84,3,-53.725285274070714,113.45057054814143,113.75057054814143,120.74302094467137,0.02574657431055283,0.07727139719944442,True,101,101,93,phi,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.030737191700316507,0.4893436377873803,,sub-10418,,10.0
M4_theta10,41,3,-25.548128022768935,57.09625604553787,57.744904694186516,62.23697224565079,-0.004542505490536433,0.10102054628182677,True,101,101,39,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.017565526451418907,3.1097530576574965,0.5224023439937945,sub-10462,,
M5_theta10,41,3,-24.78647116742218,55.57294233484436,56.22159098349301,60.71365853495729,0.022258435194045134,0.12782148696640827,True,101,101,35,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.014746480762022507,0.9196538162681236,0.656601664908938,sub-10462,,
M6_theta10,41,3,-25.30704818543239,56.61409637086478,57.262745019513424,61.754812570977705,0.003940535626140464,0.10950358739850363,True,101,101,27,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.04859172340996507,1.520982983173858,0.5755334828681969,sub-10462,,
M7_theta10,41,4,-24.258190444927525,56.51638088985505,57.627492000966164,63.37066915667228,0.005659726356272362,0.14641046205275665,True,101,101,23,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0538685533180802,1.53871684690945,0.747119147968228,sub-10462,0.4052432601321505,
M3_phi10,41,3,-25.559105577402352,57.118211154804705,57.76685980345335,62.25892735491763,-0.004928780213236881,0.1006342715591263,True,101,101,89,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.2076795775397997,,sub-10462,,6.613413933531857
M3_logitprior,41,3,-25.629743824083604,57.25948764816721,57.908136296815854,62.40020384828013,-0.007414376510410872,0.09814867526195226,True,101,101,13,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.03845764654392618,1.3460748878262923,,sub-10462,,0.8470970264447198
M5_theta10,82,3,-42.852005196043564,91.70401039208713,92.01170269977943,98.92416813387989,0.19328706693723127,0.24606859282341287,True,101,101,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.13082397006296917,0.17045188341697393,10.0,sub-10478,,
M6_theta10,82,3,-50.05103167298312,106.10206334596624,106.40975565365855,113.322221087759,0.0666285328212673,0.11941005870744892,True,101,101,81,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.04611633600819591,10.0,sub-10478,,
M7_theta10,82,4,-42.429175231918286,92.85835046383657,93.3778309833171,102.48522745289358,0.1831324285408146,0.25350779638905674,True,101,101,101,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.11249759987440347,0.17445149658034345,10.0,sub-10478,0.6999547944889905,
M4_theta10,42,3,-0.0,6.0,6.631578947368421,11.213008854850106,0.8969503542222169,1.0,True,101,101,101,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,10.2263920781554,8.31014574452265,sub-10486,,
M5_theta10,42,3,-23.038103984671828,52.076207969343656,52.707786916712074,57.28921682419376,0.10559420255149515,0.2086438483292783,True,101,101,98,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.13125695068368531,10.0,sub-10486,,
M6_theta10,42,3,-12.65199696244499,31.30399392488998,31.9355728722584,36.51700277974008,0.46235575243503557,0.5654053982128187,True,101,101,98,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.2360508889682465,10.0,sub-10486,,
M7_theta10,42,4,-12.651996962444992,33.30399392488998,34.38507500597106,40.25467239802346,0.4280058705091079,0.5654053982128187,True,101,101,101,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.2360508879595229,10.0,sub-10486,10.0,
M3_phi10,42,3,-2.473383631240722e-08,6.000000049467673,6.631578996836094,11.213008904317778,0.8969503533726125,0.9999999991503956,True,101,101,95,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,20.0,,sub-10486,,2.3801381373496
M3_logitprior,42,3,-7.297074944290216e-08,6.000000145941499,6.63157909330992,11.213009000791605,0.8969503517156803,0.9999999974934634,True,101,101,96,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,20.0,,sub-10486,,8.52260766586582
M4_theta10,81,3,-50.78415742118488,107.56831484236976,107.88000315405807,114.75166230638708,0.042047689013150966,0.09548083867570523,True,101,101,100,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.008591007919101761,4.273457088643859,0.7001245516730518,sub-10529,,
M5_theta10,81,3,-52.00733694477965,110.0146738895593,110.32636220124762,117.19802135357662,0.020261577497013884,0.07369472715956804,True,101,101,98,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.029895990954819093,0.0556705924892799,10.0,sub-10529,,
M6_theta10,81,3,-52.19835094229179,110.39670188458358,110.70839019627189,117.5800493486009,0.016859417658110963,0.07029256732066513,True,101,101,93,theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.045307737756565616,0.03320365170385175,10.0,sub-10529,,
M7_theta10,81,4,-51.10337874958599,110.20675749917199,110.73307328864567,119.78455411786175,0.018550972120320884,0.08979517167039319,True,101,101,96,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.052540445801845435,0.057041659129318266,10.0,sub-10529,3.40851840669492,
M3_phi10,81,3,-51.80159776385561,109.60319552771122,109.91488383939954,116.78654299172854,0.02392600831226909,0.07735915797482329,True,101,101,1,alpha,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.5257993769309505,,sub-10529,,1.0339740539778306
M3_logitprior,81,3,-51.93498209920684,109.86996419841368,110.181652510102,117.053311662431,0.02155029326111488,0.0749834429236691,True,101,101,68,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.7435867523647403,,sub-10529,,2.1401030579080342
M4_theta10,82,3,-50.21230228022741,106.42460456045482,106.73229686814713,113.64476230224759,0.06379116324428571,0.11657268913046726,True,101,101,91,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.2691124168607219,0.05122248011877606,10.0,sub-10541,,
M5_theta10,82,3,-54.547566142135246,115.09513228427049,115.4028245919628,122.31529002606325,-0.012482784005952919,0.04029874188022864,True,101,101,87,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.10904273240518288,0.03364610186054242,10.0,sub-10541,,
M6_theta10,82,3,-54.93489479880452,115.86978959760904,116.17748190530135,123.0899473394018,-0.019297383178769355,0.03348414270741229,True,101,101,80,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.26388298715592573,0.0218591043192041,10.0,sub-10541,,
M7_theta10,82,4,-54.408910524595164,116.81782104919033,117.33730156867085,126.44469803824734,-0.027637140945861352,0.042738226902380716,True,101,101,95,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1299176673550691,0.03409103973184621,10.0,sub-10541,2.591052301178867,
M3_phi10,82,3,-49.86758981852852,105.73517963705704,106.04287194474935,112.9553373788498,0.06985597981776882,0.12263750570395038,True,101,101,4,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.4244555123333887,,sub-10541,,1.6403279886209443
M3_logitprior,82,3,-52.040550397349826,110.08110079469965,110.38879310239196,117.30125853649241,0.03162525480419924,0.08440678069038088,True,101,101,84,alpha;phi,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.38803545544362933,,sub-10541,,10.0
M4_theta10,41,3,-18.15596045589818,42.31192091179636,42.96056956044501,47.45263711190928,0.25557075036665067,0.3611338021390139,True,101,101,101,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.44799469124259556,0.7493765704364974,1.4773534864757245,sub-10555,,
M5_theta10,41,3,-20.928116531541097,47.85623306308219,48.50488171173084,52.99694926319512,0.15802499858859595,0.2635880503609591,True,101,101,101,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.8427253178796019,0.3455790308655672,8.849879329114458,sub-10555,,
M6_theta10,41,3,-22.865585325205238,51.731170650410476,52.37981929905912,56.871886850523396,0.08984995906429402,0.19541301083665719,True,101,101,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.6103420210062108,0.3699643890017565,1.4100532243935762,sub-10555,,
M7_theta10,41,4,-20.70802507066686,49.41605014133372,50.527161252444834,56.27033840815095,0.1305818234241156,0.27133255912059984,True,101,101,101,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.8409456488137035,0.3267184463434663,8.949060710730704,sub-10555,0.47749487144443437,
M3_phi10,41,3,-25.254471673486798,56.508943346973595,57.15759199562224,61.649659547086515,0.005790581310314726,0.11135363308267787,True,101,101,12,phi,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.7597502183278527,0.2754322279394375,,sub-10555,,0.0
M3_logitprior,41,3,-25.35259007414503,56.70518014829006,57.35382879693871,61.84589634840299,0.002338022040812545,0.10790107381317571,True,101,101,39,alpha;phi,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.39438389376218447,,sub-10555,,10.0
M4_theta10,78,3,-18.218851552255227,42.437703104510454,42.76202742883478,49.50782958457923,0.607534206310286,0.6630224771137075,True,101,101,99,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.019764017734380662,17.42993034560547,0.770530974018612,sub-10559,,
M5_theta10,78,3,-22.20861656161152,50.41723312322304,50.741557447547365,57.48735960329182,0.5337391525498931,0.5892274233533148,True,101,101,98,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.07161568891688753,2.8305015692436335,0.4011878464932434,sub-10559,,
M6_theta10,78,3,-23.301764458967344,52.60352891793469,52.92785324225901,59.67365539800346,0.5135201903643362,0.5690084611677578,True,101,101,98,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0297639318044195,3.312338188908978,0.257872218385347,sub-10559,,
M7_theta10,78,4,-20.978460015800515,49.95692003160103,50.50486523708048,59.38375533835939,0.5379961487969402,0.6119805098681691,True,101,101,91,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.046547361903767,4.4797120625784,0.485008233685331,sub-10559,0.20884082471377266,
M3_phi10,78,3,-14.612597951649752,35.22519590329951,35.54952022762383,42.29532238336828,0.6742357984356895,0.7297240692391113,True,101,101,19,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1026060821889281,5.087016674973282,,sub-10559,,1.137618392889703
M3_logitprior,78,3,-16.060424521053072,38.120849042106144,38.44517336643047,45.190975522174924,0.647456667515876,0.7029449383192978,True,101,101,101,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1156177921064125,3.832036657105895,,sub-10559,,3.37396108063506
M4_theta10,83,3,-53.94608556197537,113.89217112395075,114.19596859230518,121.14869294734054,0.010170659779512389,0.06231626366706533,True,101,101,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,2.113442309265409,0.4522966073611747,sub-10572,,
M5_theta10,83,3,-53.94608556197535,113.8921711239507,114.19596859230514,121.14869294734049,0.01017065977951276,0.06231626366706566,True,101,101,101,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.5839978525190117,0.32736517391450093,sub-10572,,
M6_theta10,83,3,-54.175352732982134,114.35070546596427,114.6545029343187,121.60722728935406,0.006185568084932921,0.05833117197248583,True,101,101,101,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.6408833941643836,0.2136485473152487,sub-10572,,
M7_theta10,83,4,-53.918169819885414,115.83633963977083,116.34916015259134,125.51170207095723,-0.006725980439921873,0.06280149141014868,True,101,101,87,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.6408833960190999,0.3426884467387617,sub-10572,0.0871556346911382,
M3_phi10,83,3,-48.37890978267477,102.75781956534954,103.06161703370397,110.01434138873933,0.10693857409944171,0.1590841779869946,True,101,101,2,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1430465953427118,1.0432858937309777,,sub-10572,,1.1498262629424163
M3_logitprior,83,3,-48.411040089279886,102.82208017855977,103.1258776469142,110.07860200194956,0.10638008935243633,0.15852569323998922,True,101,101,85,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.15292638486019422,0.9901893035486137,,sub-10572,,6.502382254686898
M5_theta10,79,3,-42.14396032535754,90.28792065071508,90.60792065071507,97.39626420811615,0.17558268750023492,0.23036857512892972,True,101,101,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0246244257971519,0.6654171568944445,1.6642223729125758,sub-10581,,
M6_theta10,79,3,-46.028898425861534,98.05779685172307,98.37779685172306,105.16614040912413,0.10463609342735262,0.15942198105604743,True,101,101,96,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.04049786939069944,1.2526267169595595,0.6433951628309194,sub-10581,,
M7_theta10,79,4,-40.62336605607327,89.24673211214655,89.7872726526871,98.72452352201464,0.18508976054595172,0.2581376107175448,True,101,101,99,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1.2455213438412416,1.190230599364199,sub-10581,0.38018559527123935,
M4_theta10,83,3,-52.865594009865326,111.73118801973065,112.03498548808508,118.98770984312044,0.028951621272904963,0.08109722516045781,True,101,101,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.06956493872066016,0.5828580813766407,0.14357221199714265,sub-10584,,
M5_theta10,83,3,-52.89281299562915,111.7856259912583,112.08942345961273,119.04214781464809,0.02847850445628453,0.08062410834383738,True,101,101,101,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.08723133350043774,0.4729356577824966,0.0,sub-10584,,
M6_theta10,83,3,-52.892812995629164,111.78562599125833,112.08942345961276,119.04214781464812,0.028478504456284283,0.08062410834383715,True,101,101,98,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.08723133348616001,0.47293565777483537,0.0,sub-10584,,
M7_theta10,83,4,-51.98230301892114,111.96460603784227,112.47742655066278,121.63996846902867,0.02692300068746059,0.09645047253753114,True,101,101,98,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.045336817466398054,0.6432776890160211,0.0,sub-10584,0.4049279357328306,
M3_phi10,83,3,-51.031100334305606,108.06220066861121,108.36599813696564,115.318722492001,0.06083854811955768,0.11298415200711054,True,101,101,19,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.289712721892952,0.5440127859859092,,sub-10584,,1.1111097636093115
