run,model,parameter,quantity,term,probability_positive,mean,median,ci_low,ci_high
H5_full_age_prior1.5,H5,alpha,latent_slope,age_z,0.3265625,-0.11577468192788276,-0.10493558929999999,-0.6310000029875,0.34037053220249985
H5_full_age_prior1.5,H5,kappa,latent_slope,age_z,0.1528125,-0.13361084580340918,-0.1338676981,-0.3908957374675,0.12441651833499995
H5_full_age_prior1.5,H5,theta,latent_slope,age_z,0.7531875,0.38578732319127246,0.39033417930000003,-0.72528474022,1.4846459120749997
H5_full_age_prior1.5,H5,alpha,latent_age_variance_fraction,age,,0.03747823898623642,0.0171944640072018,3.96766610474773e-05,0.18372063569420036
H5_full_age_prior1.5,H5,kappa,latent_age_variance_fraction,age,,0.017547566545046904,0.010004318667731148,2.693754615987174e-05,0.0744991261408245
H5_full_age_prior1.5,H5,theta,latent_age_variance_fraction,age,,0.01083435789844186,0.005355290341735385,1.1728932251982701e-05,0.051750004180359375
H5_full_age_prior1.5,H5,alpha,natural_change_25_to_75,age,0.3265625,-0.013953210489897611,-0.01580747252557591,-0.08305001477011546,0.06696205660152484
H5_full_age_prior1.5,H5,kappa,natural_change_25_to_75,age,0.1528125,-0.07667092420704091,-0.078441132880159,-0.2262022099817518,0.0825247561799658
H5_full_age_prior1.5,H5,theta,natural_change_25_to_75,age,0.7531875,1.1298203911325535,1.1434572226097206,-2.12086172952309,4.346644506370408
H5_full_age_prior1.5,H5,friend_value_probability_effect,natural_change_25_to_75,age,0.2048125,-0.05367780966010149,-0.052523967832744434,-0.18481518545739536,0.07011427624644993
