model,parameter,n_simulated_fits,recovered_correlation,error_correlation,median_within_participant_correlation,n_informative_participants
M4_theta10,theta,5150,-0.2051320667576535,-0.30938603636338285,-0.38092678005146,103
M4_theta5,theta,5150,-0.2020852187218305,-0.32391364410726897,-0.39649141500484714,103
M5_theta10,theta,5550,-0.14479419397294827,-0.0174851854256449,-0.6078529294779256,106
M5_theta5,theta,5550,-0.17973298928579276,-0.02347278913487101,-0.5859844632394611,107
M6_theta10,theta,5550,-0.2785015434271093,-7.343406940364338e-05,-0.5125775968199295,111
M6_theta5,theta,5550,-0.29287563513965054,-0.0032662047970556086,-0.5466407121654201,111
M7_theta10,theta,5550,-0.14329897063579677,0.020962652446686682,-0.5005521055050826,108
M7_theta10,theta_stranger,5550,-0.22644517898352826,0.026083848825953597,-0.19441897980375045,110
M7_theta5,theta,5550,-0.14487757916632896,0.017637854028426096,-0.531684798363478,107
M7_theta5,theta_stranger,5550,-0.2305416674365187,0.029609973570001016,-0.1819930815664947,111
