model,draw,high_probability,extreme_trial_fraction,nearly_deterministic_participant_fraction
HPreference,0,0.4766107918141979,0.09667670527185639,0.0
HPreference,1,0.5179112365306102,0.10873635178476208,0.0
HPreference,2,0.23755310386212292,0.23534957003897816,0.04504504504504504
HPreference,3,0.4958705899510319,0.05852853171065263,0.0
HPreference,4,0.32901007546727656,0.3841514561209185,0.018018018018018018
HPreference,5,0.36789770300989527,0.05153476126098987,0.0
HPreference,6,0.41617900327132323,0.09274035913474817,0.0
HPreference,7,0.45678819723861114,0.1269329917123695,0.0
HPreference,8,0.449303519172145,0.002829139319838145,0.0
HPreference,9,0.24726352045843647,0.23492774356981402,0.0
HPreference,10,0.3717026339968282,0.14574091662672037,0.0
HPreference,11,0.28712198550225043,0.1725544185767192,0.009009009009009009
HPreference,12,0.26369980469113347,0.2847040511179031,0.06306306306306306
HPreference,13,0.46992707740622996,0.003004295172969871,0.0
HPreference,14,0.5475815072241615,0.133479224483799,0.0
HPreference,15,0.5500795638100778,0.41965907399377295,0.0
HPreference,16,0.7079788108694424,0.40626011817431185,0.04504504504504504
HPreference,17,0.25853334610089446,0.3136085721105465,0.0
HPreference,18,0.581482314060996,0.18112330119565082,0.0
HPreference,19,0.5422415586740867,0.06573354070805286,0.0
HPreference,20,0.3913159936370554,0.02165960359792599,0.0
HPreference,21,0.44511513664788044,0.31743702494195086,0.0
HPreference,22,0.4826423628066424,0.00301863510796805,0.0
HPreference,23,0.35385701988915247,0.030982788719576687,0.0
HPreference,24,0.37545918712476756,0.04397985635653277,0.0
HPreference,25,0.5733636212034804,0.12687615888878498,0.0
HPreference,26,0.2797668328290569,0.16835580744158396,0.0
HPreference,27,0.5672158943523723,0.1372624296241365,0.0
HPreference,28,0.5750267270042715,0.09576396293427161,0.0
HPreference,29,0.28129099412809844,0.08350896056073212,0.0
HPreference,30,0.3188059787657664,0.18554146518920103,0.0
HPreference,31,0.3730511197665047,0.17406116064053465,0.0
HPreference,32,0.524477767227279,0.12061098891155096,0.0
HPreference,33,0.5038693556242733,0.014280350437989121,0.0
HPreference,34,0.3924390566159201,0.0398691070053409,0.0
HPreference,35,0.38648131357434107,0.34107795074815545,0.0
HPreference,36,0.3260612954631805,0.3113172963103068,0.036036036036036036
HPreference,37,0.37797481359642265,0.0028777601136769095,0.0
HPreference,38,0.45432640289816983,0.09174126673134254,0.009009009009009009
HPreference,39,0.4377558362870824,0.04692359162144186,0.0
HPreference,40,0.4056566729625456,0.02916515282199067,0.0
HPreference,41,0.34135582705030504,0.06178957836419594,0.0
HPreference,42,0.3724575443674078,0.21882477453919164,0.0
HPreference,43,0.3922347361695364,0.08160491668675621,0.0
HPreference,44,0.4354882739547218,0.006931411450317198,0.0
HPreference,45,0.3876923126234472,0.008146972467669891,0.0
HPreference,46,0.5677346783272138,0.0019396743529045096,0.0
HPreference,47,0.32078761543335454,0.1535188265401054,0.0
HPreference,48,0.5113936588491285,0.049794271964080844,0.0
HPreference,49,0.7006452450004328,0.16126179624132558,0.0
HPreference,50,0.41917735270942896,0.046941245131277544,0.0
HPreference,51,0.29553875220210557,0.09192249834456342,0.0
HPreference,52,0.46513887383724134,0.05722551191358348,0.0
HPreference,53,0.5450276404446248,0.09097662160316677,0.0
HPreference,54,0.2960815494196228,0.15122509318745703,0.0
HPreference,55,0.26637002470118515,0.4399715053341115,0.0
HPreference,56,0.40825357952199026,0.07409930715151598,0.009009009009009009
HPreference,57,0.44820670841207444,0.0008631695378683331,0.0
HPreference,58,0.4062373771838619,0.251692131642534,0.0
HPreference,59,0.4443932622877017,0.06330860645709874,0.0
HPreference,60,0.38524948465086506,0.11335417908409169,0.0
HPreference,61,0.558251472480856,0.07556987098863886,0.0
HPreference,62,0.45726993616206263,0.009221421404170371,0.0
HPreference,63,0.2708262108877475,0.15489642696904649,0.0
HPreference,64,0.5166517668763181,0.0670557871527613,0.0
HPreference,65,0.4715422175322736,0.0,0.0
HPreference,66,0.4642718111996504,0.11683234006205336,0.0
HPreference,67,0.4766385772191317,0.0005362505362505362,0.0
HPreference,68,0.4463690270452621,0.1923029589168075,0.0
HPreference,69,0.42429039595855345,0.0,0.0
HPreference,70,0.3902004420681022,0.44298006500716924,0.0
HPreference,71,0.46957610188531484,0.0,0.0
HPreference,72,0.34807326106882147,0.07141049624301915,0.0
HPreference,73,0.17742124846232418,0.20619994665592664,0.0
HPreference,74,0.39248941330163933,0.30330127916072736,0.009009009009009009
HPreference,75,0.4297043280008376,0.03759617974132428,0.0
HPreference,76,0.44831966837179726,0.06325738165981037,0.0
HPreference,77,0.43553894485670047,0.017955293010584777,0.0
HPreference,78,0.31598706655567255,0.049381170456783294,0.0
HPreference,79,0.47901139615800825,0.14477015248555902,0.0
HPreference,80,0.2975179281198872,0.17964778016583444,0.0
HPreference,81,0.35336843726226086,0.0649303918353181,0.0
HPreference,82,0.481538953407947,0.19240051271057362,0.02702702702702703
HPreference,83,0.4816444036332736,0.01310882857165549,0.0
HPreference,84,0.3545007973114317,0.2434812287167214,0.009009009009009009
HPreference,85,0.45791987531113926,0.13316544627128768,0.0
HPreference,86,0.30505919867717973,0.10691380116178849,0.0
HPreference,87,0.40641433105392866,0.03571749393887385,0.0
HPreference,88,0.6066325513127856,0.05191272681898351,0.0
HPreference,89,0.4367213808091617,0.031860534196385945,0.0
HPreference,90,0.48155869894418113,0.25551145744559745,0.0
HPreference,91,0.38189199938047247,0.0017290179646923694,0.0
HPreference,92,0.42363626257805903,0.2119054400330817,0.04504504504504504
HPreference,93,0.3771343211934099,0.21808329761577935,0.0
HPreference,94,0.36503705812166104,0.22481749490593622,0.0
