run,model,participant_id,parameter,age,mean,median,ci_low,ci_high
H7_full_age,H7,sub-10317,alpha,63,0.06394650491601139,0.044145624169999995,0.003507763329475,0.23285744458749985
H7_full_age,H7,sub-10317,kappa,63,0.8815194040605766,0.83365155965,0.30326794009499997,1.7404058924499999
H7_full_age,H7,sub-10317,theta,63,4.162092947523228,3.9836019195,1.819870395275,7.525754402199999
H7_full_age,H7,sub-10317,theta_stranger,63,0.2383978146261324,0.18535325409999998,0.0037478511608750003,0.7603453485699996
H7_full_age,H7,sub-10369,alpha,32,0.15990912300768634,0.12705823595,0.011959060104,0.4796770135049992
H7_full_age,H7,sub-10369,kappa,32,0.2632145775608923,0.22921726085,0.046444951283000004,0.6774075332024999
H7_full_age,H7,sub-10369,theta,32,4.387932389948971,4.009416761500001,1.3910498394000002,9.471412472474995
H7_full_age,H7,sub-10369,theta_stranger,32,0.9872190671006197,0.4680942712,0.006840035334775001,5.1708998973749996
H7_full_age,H7,sub-10402,alpha,36,0.13737592192665182,0.10496412429999999,0.0116587783935,0.4748005298774988
H7_full_age,H7,sub-10402,kappa,36,0.11402814901002645,0.08873601374000001,0.02270385110225,0.34958856019
H7_full_age,H7,sub-10402,theta,36,5.439945795596288,5.0200616920000005,1.228043472025,11.953419357749977
H7_full_age,H7,sub-10402,theta_stranger,36,2.886980448919733,2.219818419,0.03346658685175,9.257908482274983
H7_full_age,H7,sub-10418,alpha,68,0.03183055101014833,0.024449019954999998,0.002562707583425,0.10399385732999997
H7_full_age,H7,sub-10418,kappa,68,0.38915378787536564,0.37124303665,0.1564169574325,0.7226127809624999
H7_full_age,H7,sub-10418,theta,68,5.749988371806625,5.591520936,3.0324309449999998,9.371037289825
H7_full_age,H7,sub-10418,theta_stranger,68,0.49963018390740094,0.42119054265,0.0204281057945,1.4921127561999998
H7_full_age,H7,sub-10462,alpha,62,0.09231642854143363,0.057838734084999996,0.005376464266775001,0.40282595614749983
H7_full_age,H7,sub-10462,kappa,62,0.5460782825841702,0.49648604515,0.041639034721,1.3596719702999998
