model,parameter,iteration,n,pearson,spearman,rmse,bias,boundary_rate
M1,kappa,0,111,0.8667965403214801,0.7359172102569125,0.31554986623583264,0.06978796081446831,0.3333333333333333
M1,kappa,1,111,0.9215174947467973,0.7186918348972321,0.16603438733527096,0.05868486734276622,0.36036036036036034
M1,kappa,2,111,0.90982772416498,0.6874507982834758,0.16458600854886263,0.04306297902801566,0.3153153153153153
M1,kappa,3,111,0.9149072774257986,0.7423949251481026,0.19286150990817555,0.08309731591597039,0.35135135135135137
M1,kappa,4,111,0.8772939267892534,0.7216788407862079,0.20224929794621774,0.07625767455098807,0.2882882882882883
M1,kappa,5,111,0.9019632899230889,0.7264303344826741,0.17699827555511632,0.04087738066596835,0.4144144144144144
M1,kappa,6,111,0.9046660675632989,0.7741282096234441,0.20299474036840248,0.051496018101704864,0.4144144144144144
M1,kappa,7,111,0.8827009006852451,0.733503603542568,0.19999025618933666,0.07730551736706433,0.26126126126126126
M1,kappa,8,111,0.9327134132535756,0.7566806574422004,0.153919092300052,0.049196523916630285,0.35135135135135137
M1,kappa,9,111,0.9053332755673595,0.6731772082145012,0.1936310272326456,0.058391819440856536,0.40540540540540543
M1,kappa,10,111,0.8875230847034072,0.7574991950742144,0.18268160092096838,0.05365705251587542,0.3783783783783784
M1,kappa,11,111,0.913358570151882,0.7266969120557173,0.2007802351408514,0.06751439964150452,0.38738738738738737
M1,kappa,12,111,0.8841270090713611,0.6394369436971219,0.1991606451594007,0.06805756498402489,0.3333333333333333
M1,kappa,13,111,0.928669510035378,0.7782993184993958,0.17390869803313586,0.08160296327704199,0.3783783783783784
M1,kappa,14,111,0.9040020946015354,0.7532533167693367,0.1805179597861064,0.05429149300636204,0.35135135135135137
M1,kappa,15,111,0.9290514617228719,0.7552375245251214,0.18167204193301087,0.06555297000975009,0.3783783783783784
M1,kappa,16,111,0.9385882645566275,0.6576279905535705,0.14037610931083253,0.04085338856996307,0.4144144144144144
M1,kappa,17,111,0.9314881294718349,0.7187971988130779,0.15064340310992252,0.035058844435967886,0.3783783783783784
M1,kappa,18,111,0.8683984498466432,0.6671014293488299,0.23729603575819438,0.0973786623090153,0.2972972972972973
M1,kappa,19,111,0.9077804802574527,0.701246102765005,0.17070310796719773,0.06161917973455843,0.2972972972972973
M1,kappa,20,111,0.87869337899991,0.7227857146510618,0.21445439444458295,0.07981618679967907,0.34234234234234234
M1,kappa,21,111,0.8937528831644374,0.7346176621443986,0.2337156878680268,0.06412852500812503,0.36936936936936937
M1,kappa,22,111,0.8872760066943074,0.7012508368279808,0.1861109499662224,0.0555208307153839,0.36936936936936937
M1,kappa,23,111,0.9187498294528581,0.7615016281731021,0.17332770800948796,0.07143078320846548,0.3963963963963964
M1,kappa,24,111,0.910157931999977,0.7028726918046613,0.1815734685916668,0.06895599641936183,0.36936936936936937
M1,kappa,25,111,0.8848825199965069,0.7204079325836237,0.21005400815968725,0.07120808501302846,0.3963963963963964
M1,kappa,26,111,0.909422898052809,0.7529373200195107,0.16291817604898803,0.04313323182161701,0.34234234234234234
M1,kappa,27,111,0.915146716215542,0.7302969305238749,0.15888422235103483,0.04742062467446815,0.3153153153153153
M1,kappa,28,111,0.8885987314572381,0.6813133839299357,0.18072660903834917,0.042564684325491785,0.36936936936936937
M1,kappa,29,111,0.8923488005257388,0.6918828108544918,0.19213821942870274,0.042678243670665646,0.43243243243243246
M1,kappa,30,111,0.9327765164080707,0.7395999764126769,0.15357414470246247,0.055822322968035396,0.3333333333333333
M1,kappa,31,111,0.9281071399607306,0.7667261952638313,0.15918021720528241,0.06032742467755049,0.34234234234234234
M1,kappa,32,111,0.9361274979660081,0.7033329617405618,0.1700416249235767,0.06838495431138522,0.3783783783783784
M1,kappa,33,111,0.9206326635782554,0.7216738131903826,0.15105386015074274,0.03492546232810332,0.36936936936936937
M1,kappa,34,111,0.9220928837984387,0.7149659074508615,0.15152070061823183,0.02433843220946954,0.35135135135135137
M1,kappa,35,111,0.8866397000579831,0.7009512585201865,0.18276789706551355,0.04673467222377227,0.36936936936936937
M1,kappa,36,111,0.9093857437258263,0.7326804142488864,0.18023979390201494,0.06513043667485384,0.34234234234234234
M1,kappa,37,111,0.9203521051195118,0.753222439826338,0.17543053202810238,0.07221805710298271,0.35135135135135137
M1,kappa,38,111,0.9404491020454444,0.7151603950244533,0.167677536270755,0.07994350829883966,0.36036036036036034
