sample,metric,model,n,mean,median,mean_delta,best_share
primary,AIC,M0,111,103.0478808432452,115.06243197295092,26.041958002053253,0.12612612612612611
primary,AIC,M1,111,101.50671293562674,114.2903532539236,24.500790094434766,0.04504504504504504
primary,AIC,M2,111,102.20928215523462,116.28992327889851,25.203359314042697,0.018018018018018018
primary,AIC,M5,111,87.35631350825416,98.28333550065108,10.350390667062218,0.3333333333333333
primary,AIC,M6,111,88.19325072550495,93.33582586094636,11.18732788431302,0.06306306306306306
primary,AIC,M7,111,81.70985860151058,80.8143105682533,4.703935760318648,0.15315315315315314
primary,AIC,M8,111,90.02310840874085,99.41085530305531,13.017185567548918,0.26126126126126126
primary,AICc,M0,111,103.0478808432452,115.06243197295092,25.71425513336764,0.12612612612612611
primary,AICc,M1,111,101.56679578040263,114.340986165316,24.23317007052508,0.04504504504504504
primary,AICc,M2,111,102.39262764006348,116.44376943274467,25.05900193018595,0.02702702702702703
primary,AICc,M5,111,87.72944713732474,98.5910278083434,10.395821427447201,0.3333333333333333
primary,AICc,M6,111,88.56638435457555,93.63582586094635,11.232758644698007,0.07207207207207207
primary,AICc,M7,111,82.34292925565548,81.32063968217736,5.0093035457779065,0.12612612612612611
primary,AICc,M8,111,90.39624203781149,99.71465277140976,13.0626163279339,0.2702702702702703
primary,BIC,M0,111,103.0478808432452,115.06243197295092,20.491012184674272,0.2702702702702703
primary,BIC,M1,111,103.78190936562146,116.68480240859606,21.225040707050546,0.09009009009009009
primary,BIC,M2,111,106.75967501522416,121.0788215882434,24.202806356653237,0.009009009009009009
primary,BIC,M5,111,94.18190279823843,105.5068971688458,11.62503413966753,0.2702702702702703
primary,BIC,M6,111,95.01884001548926,100.6282762574763,12.46197135691834,0.07207207207207207
primary,BIC,M7,111,90.81064432148966,90.53757776362656,8.253775662918727,0.06306306306306306
primary,BIC,M8,111,96.84869769872516,106.66737712644512,14.291829040154228,0.22522522522522523
rating_complete_secondary,AIC,M0,103,104.98151472558396,115.06243197295092,32.102567411559285,0.08737864077669903
rating_complete_secondary,AIC,M1,103,103.23769167334619,114.68340707582168,30.358744359321502,0.038834951456310676
rating_complete_secondary,AIC,M2,103,103.88373824621968,116.29018984470262,31.00479093219503,0.009708737864077669
rating_complete_secondary,AIC,M3,103,78.34599907743366,86.25232585936142,5.467051763408991,0.343042071197411
rating_complete_secondary,AIC,M4,103,77.73910500379006,85.22194854215846,4.860157689765391,0.23624595469255663
rating_complete_secondary,AIC,M5,103,88.94204658605369,99.24050577762728,16.063099272029017,0.14886731391585759
rating_complete_secondary,AIC,M6,103,89.1203730457736,94.07761935349428,16.24142573174895,0.009708737864077669
rating_complete_secondary,AIC,M7,103,82.76570717197193,86.87856571655269,9.886759857947247,0.0970873786407767
rating_complete_secondary,AIC,M8,103,90.86454144724094,99.441141632482,17.985594133216303,0.02912621359223301
rating_complete_secondary,AICc,M0,103,104.98151472558396,115.06243197295092,31.780009957882033,0.08737864077669903
rating_complete_secondary,AICc,M1,103,103.29602250700978,114.73278979187106,30.09451773930788,0.038834951456310676
rating_complete_secondary,AICc,M2,103,104.0616228997125,116.44403599854878,30.860118132010605,0.019417475728155338
rating_complete_secondary,AICc,M3,103,78.70777595763214,86.55612332771585,5.5062711899302315,0.343042071197411
rating_complete_secondary,AICc,M4,103,78.10088188398854,85.52574601051289,4.899377116286631,0.23624595469255663
rating_complete_secondary,AICc,M5,103,89.30382346625214,99.54050577762727,16.10231869855026,0.14886731391585759
rating_complete_secondary,AICc,M6,103,89.4821499259721,94.37761935349428,16.280645158270193,0.019417475728155338
rating_complete_secondary,AICc,M7,103,83.37907854001942,87.3913862293732,10.177573772317528,0.07766990291262135
rating_complete_secondary,AICc,M8,103,91.22631832743944,99.741141632482,18.024813559737545,0.02912621359223301
rating_complete_secondary,BIC,M0,103,104.98151472558396,115.06243197295092,26.134242897121407,0.1941747572815534
rating_complete_secondary,BIC,M1,103,105.5362203821496,117.10224768361827,26.688948553687073,0.06796116504854369
rating_complete_secondary,BIC,M2,103,108.48079566382658,121.0790881540475,29.633523835364045,0.0
rating_complete_secondary,BIC,M3,103,85.24158520384398,93.5088476827512,6.394313375381459,0.29449838187702265
rating_complete_secondary,BIC,M4,103,84.6346911302004,92.47847036554823,5.7874193017378595,0.1877022653721683
rating_complete_secondary,BIC,M5,103,95.83763271246401,106.53295617415722,16.990360884001486,0.15857605177993525
rating_complete_secondary,BIC,M6,103,96.01595917218395,101.3700697500242,17.16868734372142,0.019417475728155338
rating_complete_secondary,BIC,M7,103,91.9598220071857,96.55392814773909,13.112550178723165,0.04854368932038835
rating_complete_secondary,BIC,M8,103,97.76012757365132,106.73359202901194,18.91285574518877,0.02912621359223301
