contrast,n,difference,ci_low,ci_high,p,p_holm
friend - stranger,111,0.2491205491205491,0.2006802338052338,0.3018653474903475,1.0984169406151701e-14,3.29525082184551e-14
friend - computer,111,0.2928928928928929,0.23395810989560986,0.35149524524524534,8.099548702098024e-14,1.6199097404196047e-13
stranger - computer,111,0.04377234377234377,0.007153805591305594,0.083932057057057,0.07611079730217961,0.07611079730217961
