run,model,participant_id,n,posterior_draws,log_loss,brier,accuracy
HPreference_train_noage,HPreference,sub-10317,15,16000,0.4000149991987081,0.1299445359045291,0.8
HPreference_train_noage,HPreference,sub-10369,15,16000,0.6346746979785264,0.22275343739929407,0.6
HPreference_train_noage,HPreference,sub-10402,42,16000,0.6328347847767573,0.22124036416789072,0.6428571428571429
HPreference_train_noage,HPreference,sub-10418,42,16000,0.6087475085312247,0.22449856313848288,0.5714285714285714
HPreference_train_noage,HPreference,sub-10462,14,16000,0.6479245194553566,0.2278282862403673,0.6428571428571429
HPreference_train_noage,HPreference,sub-10478,41,16000,0.5289517637705522,0.1810271659946866,0.7073170731707317
HPreference_train_noage,HPreference,sub-10486,15,16000,0.42880817702113594,0.15083717065331587,0.6
HPreference_train_noage,HPreference,sub-10529,40,16000,0.6364091981477606,0.2229323805512938,0.6
HPreference_train_noage,HPreference,sub-10541,42,16000,0.655463507393533,0.2318270650690866,0.5714285714285714
HPreference_train_noage,HPreference,sub-10555,14,16000,0.6606966139247435,0.2346686400409111,0.5714285714285714
HPreference_train_noage,HPreference,sub-10559,40,16000,0.4392475179950385,0.13960048887259774,0.75
HPreference_train_noage,HPreference,sub-10572,42,16000,0.74733689535836,0.2737965984598537,0.5238095238095238
HPreference_train_noage,HPreference,sub-10581,41,16000,0.5728274584877019,0.18929233064623363,0.7073170731707317
HPreference_train_noage,HPreference,sub-10584,41,16000,0.694911873170186,0.2511480209215634,0.4634146341463415
HPreference_train_noage,HPreference,sub-10585,42,16000,0.6470362005088439,0.22798069394266846,0.6428571428571429
HPreference_train_noage,HPreference,sub-10589,42,16000,0.6368156049844441,0.20949588465065472,0.6428571428571429
HPreference_train_noage,HPreference,sub-10590,42,16000,0.531739727496181,0.17082772637913546,0.7142857142857143
HPreference_train_noage,HPreference,sub-10596,41,16000,0.38991112870223116,0.12175387844502746,0.8292682926829268
HPreference_train_noage,HPreference,sub-10603,42,16000,0.7361216663858156,0.2561504219031126,0.7380952380952381
HPreference_train_noage,HPreference,sub-10606,41,16000,0.3786562483436182,0.12682714035219197,0.6829268292682927
HPreference_train_noage,HPreference,sub-10608,15,16000,0.204201692133685,0.0577676801400802,0.9333333333333333
HPreference_train_noage,HPreference,sub-10617,15,16000,0.729280062875968,0.2581418546454142,0.6
HPreference_train_noage,HPreference,sub-10636,42,16000,0.461376877901766,0.16280818260052748,0.6190476190476191
HPreference_train_noage,HPreference,sub-10638,41,16000,0.39388144477799386,0.1373743167077512,0.6585365853658537
HPreference_train_noage,HPreference,sub-10640,41,16000,0.753714306288624,0.26291691610510454,0.6097560975609756
HPreference_train_noage,HPreference,sub-10641,15,16000,0.6730435520862538,0.24737892090867167,0.5333333333333333
HPreference_train_noage,HPreference,sub-10642,42,16000,0.21474679318375484,0.0571718393844554,0.9523809523809523
HPreference_train_noage,HPreference,sub-10644,41,16000,0.27053059436097926,0.07701779996982996,0.926829268292683
HPreference_train_noage,HPreference,sub-10647,42,16000,0.4681171951850375,0.15906018635847985,0.7142857142857143
HPreference_train_noage,HPreference,sub-10649,39,16000,0.49025489493979524,0.15798735367250566,0.6410256410256411
HPreference_train_noage,HPreference,sub-10652,42,16000,0.6637082059968284,0.23255948290223094,0.5714285714285714
HPreference_train_noage,HPreference,sub-10656,42,16000,0.4855323971073915,0.1564390897645165,0.7857142857142857
HPreference_train_noage,HPreference,sub-10661,42,16000,0.48861996904087085,0.16367726183651787,0.6666666666666666
HPreference_train_noage,HPreference,sub-10663,38,16000,0.596899936324699,0.20519348602111293,0.6842105263157895
HPreference_train_noage,HPreference,sub-10668,13,16000,0.6332628297791222,0.223995378603724,0.6153846153846154
HPreference_train_noage,HPreference,sub-10673,42,16000,0.7355740048901359,0.26943131498325945,0.47619047619047616
HPreference_train_noage,HPreference,sub-10674,42,16000,0.3747915884996025,0.13139661713854375,0.6666666666666666
HPreference_train_noage,HPreference,sub-10677,42,16000,0.6234400617686582,0.21605526649154325,0.7380952380952381
HPreference_train_noage,HPreference,sub-10685,42,16000,0.6016224597485713,0.18128753273152723,0.7857142857142857
HPreference_train_noage,HPreference,sub-10690,15,16000,0.74526229090455,0.27141602341573196,0.3333333333333333
HPreference_train_noage,HPreference,sub-10691,42,16000,0.570927631886992,0.18616484579780349,0.6190476190476191
HPreference_train_noage,HPreference,sub-10700,42,16000,0.4621181762411216,0.14403452063972655,0.8333333333333334
HPreference_train_noage,HPreference,sub-10701,42,16000,0.8465022963386637,0.3109486597629151,0.40476190476190477
HPreference_train_noage,HPreference,sub-10713,42,16000,0.5738486906848942,0.19687686487917364,0.6428571428571429
HPreference_train_noage,HPreference,sub-10716,42,16000,0.7548848717419242,0.2766433350209044,0.5476190476190477
HPreference_train_noage,HPreference,sub-10718,42,16000,0.4472393529907371,0.1493057431853082,0.6428571428571429
HPreference_train_noage,HPreference,sub-10720,42,16000,0.5911346097994941,0.20050858686756534,0.7380952380952381
HPreference_train_noage,HPreference,sub-10723,42,16000,0.6865475616660468,0.24664262901421583,0.5
HPreference_train_noage,HPreference,sub-10741,41,16000,0.6562127766565656,0.23157092038433444,0.6097560975609756
HPreference_train_noage,HPreference,sub-10748,42,16000,0.5954326388769117,0.20572690563749388,0.6428571428571429
HPreference_train_noage,HPreference,sub-10767,42,16000,0.2666794476398494,0.08460654736735217,0.8809523809523809
HPreference_train_noage,HPreference,sub-10770,42,16000,0.6896607772259297,0.24744638483496903,0.5476190476190477
HPreference_train_noage,HPreference,sub-10781,42,16000,0.31790143285667594,0.09307713645366265,0.9761904761904762
HPreference_train_noage,HPreference,sub-10783,42,16000,0.5242920258027196,0.1803937230907537,0.7619047619047619
HPreference_train_noage,HPreference,sub-10785,42,16000,0.7300980776142192,0.26799738081232316,0.42857142857142855
HPreference_train_noage,HPreference,sub-10794,42,16000,0.6782316388712923,0.24257744773390366,0.5476190476190477
HPreference_train_noage,HPreference,sub-10800,38,16000,0.6646066294912301,0.236080128637493,0.5526315789473685
HPreference_train_noage,HPreference,sub-10801,42,16000,0.47236288154667877,0.15991779205283943,0.7142857142857143
HPreference_train_noage,HPreference,sub-10802,42,16000,0.6413080785555887,0.22470348860078904,0.6666666666666666
HPreference_train_noage,HPreference,sub-10803,15,16000,0.9311540374109463,0.35682777131993987,0.26666666666666666
HPreference_train_noage,HPreference,sub-10804,39,16000,0.7596720800056966,0.25947633646216184,0.6153846153846154
HPreference_train_noage,HPreference,sub-10806,41,16000,0.8481017320891506,0.2139337580188797,0.6341463414634146
HPreference_train_noage,HPreference,sub-10807,41,16000,0.4159495699910481,0.13360753668841316,0.7317073170731707
HPreference_train_noage,HPreference,sub-10809,42,16000,0.5663010943196506,0.19025637291723368,0.7619047619047619
HPreference_train_noage,HPreference,sub-10810,42,16000,0.4198964132803453,0.14093795500127004,0.6904761904761905
HPreference_train_noage,HPreference,sub-10812,42,16000,0.570217958637945,0.19891110091072456,0.6190476190476191
HPreference_train_noage,HPreference,sub-10817,42,16000,0.5327038384807098,0.18050500877837597,0.6666666666666666
HPreference_train_noage,HPreference,sub-10827,27,16000,0.73059915613151,0.24819487411211102,0.5555555555555556
HPreference_train_noage,HPreference,sub-10831,42,16000,0.8247386020639663,0.28211603929246404,0.5714285714285714
HPreference_train_noage,HPreference,sub-10834,42,16000,0.40224396376966304,0.13242984302314653,0.6904761904761905
HPreference_train_noage,HPreference,sub-10836,15,16000,0.7008082300245597,0.2533194629873266,0.6666666666666666
HPreference_train_noage,HPreference,sub-10838,37,16000,0.6782891965836418,0.24261950802645993,0.5405405405405406
HPreference_train_noage,HPreference,sub-10843,42,16000,0.6921178751117438,0.2495854188500505,0.4523809523809524
HPreference_train_noage,HPreference,sub-10850,42,16000,0.5114536805157746,0.16649793300837784,0.7142857142857143
HPreference_train_noage,HPreference,sub-10854,42,16000,0.6351553669198318,0.21906794223929893,0.6190476190476191
HPreference_train_noage,HPreference,sub-10857,42,16000,0.3597183055533016,0.11899091888103679,0.7857142857142857
HPreference_train_noage,HPreference,sub-10858,42,16000,0.3392917548951057,0.0952293051353425,0.9047619047619048
HPreference_train_noage,HPreference,sub-10860,41,16000,0.5454754597475694,0.19333002112302258,0.5853658536585366
HPreference_train_noage,HPreference,sub-10862,41,16000,0.5543378919201818,0.19778775765944276,0.6341463414634146
HPreference_train_noage,HPreference,sub-10863,42,16000,0.405440825223736,0.14864856898780723,0.6666666666666666
HPreference_train_noage,HPreference,sub-10866,42,16000,0.6849413387410727,0.24530318573711657,0.5476190476190477
HPreference_train_noage,HPreference,sub-10875,42,16000,0.42228260969582526,0.14786723892962628,0.6666666666666666
HPreference_train_noage,HPreference,sub-10881,15,16000,0.5997822415626253,0.20432860030100797,0.8
HPreference_train_noage,HPreference,sub-10886,15,16000,0.894876500990186,0.3372758186916159,0.4
HPreference_train_noage,HPreference,sub-10887,42,16000,0.6066442550513927,0.21184906248484375,0.5952380952380952
HPreference_train_noage,HPreference,sub-10896,40,16000,0.5671566617517829,0.19819215389159112,0.575
HPreference_train_noage,HPreference,sub-10897,14,16000,0.39931019236945503,0.1064718031957943,0.9285714285714286
HPreference_train_noage,HPreference,sub-10898,39,16000,0.6686043386819213,0.23707429104428399,0.6153846153846154
HPreference_train_noage,HPreference,sub-10908,42,16000,0.6494494919440776,0.22895062958281928,0.5952380952380952
HPreference_train_noage,HPreference,sub-10918,42,16000,0.5417764958366382,0.17866149798677392,0.7619047619047619
