model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,participant_id,heldout_n,heldout_log_loss,heldout_accuracy,heldout_brier,split,kappa,alpha,theta,theta_stranger,alpha_negative,phi
M0,27,0,-18.714973875118524,37.42994775023705,37.42994775023705,37.42994775023705,0.0,0.0,True,1,1,1,,exact,sub-10317,15,0.6931471805599453,0.4666666666666667,0.25,chronological_65_percent,,,,,,
M1,27,1,-18.714996375659155,39.42999275131831,39.589992751318306,40.72582961732264,-0.05343435193730921,-1.2022747550854973e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,15,0.6931460139122371,0.5333333333333333,0.24999941667614586,chronological_65_percent,1e-05,,,,,
M2,27,2,-17.939789053647836,39.87957810729567,40.37957810729567,42.47125183930433,-0.06544573274332476,0.04142056658178361,True,100,100,57,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,15,0.6744480550502465,0.6,0.24159770685162718,chronological_65_percent,0.11740639486691802,1.0,,,,
M5,27,3,-10.737118210440158,27.474236420880317,28.517714681749883,31.361747018893304,0.2659825067293523,0.4262819557170149,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,15,0.31931706822871647,0.8666666666666667,0.10608202736160845,chronological_65_percent,0.8155745877796023,0.2473470096777204,5.0,,,
M6,27,3,-15.74954028591235,37.4990805718247,38.54255883269426,41.386591169837686,-0.0018469922012438068,0.15845245678641884,True,100,100,56,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,15,0.9255695158470311,0.6,0.28799275934810464,chronological_65_percent,0.09748222445009622,1.0,5.0,,,
M7,27,4,-9.79157910759205,27.5831582151841,29.401340033365916,32.766505679201416,0.26307248946107836,0.4768050881112952,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,15,0.4645983071411653,0.8,0.15811913749390233,chronological_65_percent,1.2589428489396113,0.2604808980336024,5.0,0.4502349483341703,,
M8,27,3,-17.939789053647836,41.87957810729567,42.923056368165234,45.76708870530866,-0.11887888240587896,0.04142056658178361,True,100,100,19,alpha;alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,15,0.6744480550494621,0.6,0.24159770685090629,chronological_65_percent,0.1174063948467081,1.0,,,1.0,
M3,27,3,-11.188301187816945,28.37660237563389,29.420080636503457,32.264112973646874,0.24187437917398166,0.40217382816164426,True,100,100,11,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10317,15,0.31016836369710676,0.8666666666666667,0.10347393477535513,chronological_65_percent,6.707511052323326,0.011664634745392696,,,,1.3184215176866256
M4,27,3,-10.556731248434327,27.113462496868653,28.15694075773822,31.00097309488164,0.27562115026738343,0.435920599255046,True,100,100,38,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10317,15,0.2988134154189307,0.8666666666666667,0.09885296012756739,chronological_65_percent,14.86035115550038,0.011509598038735242,0.9680451582396065,,,
M0,26,0,-18.021826694558577,36.04365338911715,36.04365338911715,36.04365338911715,0.0,0.0,True,1,1,1,,exact,sub-10369,15,0.6931471805599453,0.6666666666666666,0.25,chronological_65_percent,,,,,,
M1,26,1,-18.021854195049205,38.04370839009841,38.21037505676507,39.30180492811989,-0.05548979675809286,-1.5259546712886873e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10369,15,0.693149013912237,0.3333333333333333,0.25000091667614577,chronological_65_percent,1e-05,,,,,
M2,26,2,-18.021854195049205,40.04370839009841,40.56544752053319,42.559901466141376,-0.11097806756151453,-1.5259546712886873e-06,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10369,15,0.693149013912237,0.3333333333333333,0.25000091667614577,chronological_65_percent,1e-05,0.0,,,,
