run,bin,n,mean_prediction,observed
H2_train_age,"(-0.001, 0.1]",6,0.08981401728727119,0.0
H2_train_age,"(0.1, 0.2]",30,0.16154461024851322,0.03333333333333333
H2_train_age,"(0.2, 0.3]",59,0.254571649026411,0.06779661016949153
H2_train_age,"(0.3, 0.4]",132,0.3529590626035243,0.2196969696969697
H2_train_age,"(0.4, 0.5]",3173,0.48446090122751007,0.6110936022691459
H2_train_age,"(0.5, 0.6]",610,0.5066220112654549,0.6540983606557377
H2_train_age,"(0.6, 0.7]",4,0.643138830274326,0.5
H2_train_age,"(0.7, 0.8]",3,0.713084227884024,0.0
H2_train_noage,"(-0.001, 0.1]",2,0.08171437049180394,0.0
H2_train_noage,"(0.1, 0.2]",32,0.15983774479910687,0.03125
H2_train_noage,"(0.2, 0.3]",62,0.25869911337904977,0.06451612903225806
H2_train_noage,"(0.3, 0.4]",137,0.3572528848468028,0.2116788321167883
H2_train_noage,"(0.4, 0.5]",3354,0.48543845736229735,0.6135957066189625
H2_train_noage,"(0.5, 0.6]",421,0.5057746881071592,0.66270783847981
H2_train_noage,"(0.6, 0.7]",5,0.6406354058074968,0.6
H2_train_noage,"(0.7, 0.8]",4,0.7373178029748018,0.0
H5_train_age,"(-0.001, 0.1]",110,0.05313658866799489,0.08181818181818182
H5_train_age,"(0.1, 0.2]",148,0.15665938451950723,0.05405405405405406
H5_train_age,"(0.2, 0.3]",194,0.2517070700328813,0.2268041237113402
H5_train_age,"(0.3, 0.4]",435,0.36032289452288907,0.37471264367816093
H5_train_age,"(0.4, 0.5]",1805,0.4604869874918697,0.6249307479224376
H5_train_age,"(0.5, 0.6]",204,0.5470602163608725,0.6274509803921569
H5_train_age,"(0.6, 0.7]",203,0.6503244128177764,0.6354679802955665
H5_train_age,"(0.7, 0.8]",252,0.7458469553142021,0.7023809523809523
H5_train_age,"(0.8, 0.9]",252,0.8528976481299126,0.8174603174603174
H5_train_age,"(0.9, 1.0]",414,0.9605530341082639,0.9227053140096618
