specification,kind,term,estimate,se,ci_low,ci_high,p,n_subjects,n_trials,p_holm,odds_ratio,or_ci_low,or_ci_high
linear,coefficient,Intercept,0.5490846219654546,0.14467381039879956,0.2655291640776311,0.832640079853278,0.0001474481489986381,111,8251,,1.7316671620660478,1.304120887150481,2.2993812841461425
linear,coefficient,C(partner)[T.stranger],0.3715149767044225,0.12217574132273319,0.13205492392738344,0.6109750294814615,0.002359313754503467,111,8251,,1.4499295611052774,1.141170995138886,1.842226748771408
linear,coefficient,C(partner)[T.friend],1.9069777287253,0.1821047341976858,1.5500590082835963,2.263896449167004,1.1631785815229351e-25,111,8251,,6.7327099429667925,4.711748206562209,9.620502027886841
linear,coefficient,C(offer_pair)[T.0-4],-0.18733231549433751,0.08237817274399428,-0.3487905671847854,-0.025874063803889596,0.022962811305879717,111,8251,,0.8291681451742728,0.7055408782101533,0.9744578013904368
linear,coefficient,C(offer_pair)[T.0-8],-0.547521912878375,0.11057669519476947,-0.7642482529895864,-0.33079557276716365,7.363880511699749e-07,111,8251,,0.5783813152397301,0.4656838758843071,0.7183520047439829
linear,coefficient,C(offer_pair)[T.2-4],-0.8958791426809057,0.12405001352017486,-1.1390127014621552,-0.6527455838996562,5.12590250763011e-13,111,8251,,0.4082485321196196,0.320134934593368,0.5206144221327252
linear,coefficient,C(offer_pair)[T.2-8],-1.3069544829593018,0.14080515479057368,-1.5829275151864137,-1.03098145073219,1.663151726204262e-20,111,8251,,0.2706430505495876,0.2053729847550264,0.3566567477127438
linear,coefficient,C(offer_pair)[T.4-8],-1.5320576777720138,0.14276930432008664,-1.8118803723372223,-1.2522349832068054,7.280249457403061e-27,111,8251,,0.216090564782366,0.1633466952338866,0.28586517848495124
linear,coefficient,age_z,-0.000943945010899082,0.13858541855266993,-0.2725663741565411,0.270678484134743,0.9945654215665776,111,8251,,0.9990565003650449,0.7614228886959247,1.3108535424133398
linear,coefficient,C(partner)[T.stranger]:age_z,0.03398037008620332,0.10104218785533163,-0.1640586790293771,0.23201941920178376,0.7366455281735014,111,8251,,1.0345642981208012,0.848692219983349,1.261144219004606
linear,coefficient,C(partner)[T.friend]:age_z,0.05187598203427639,0.15141995535962238,-0.2449016770112462,0.348653641079799,0.7319018600971603,111,8251,,1.0532451130970004,0.7827814998748661,1.4171582599231682
linear,coefficient,trial_scaled,0.31434467529165605,0.16089049173528713,-0.0009948939644459642,0.6296842445477581,0.05072720348556442,111,8251,,1.3693616403386817,0.9990056007784684,1.8770178070772032
linear,coefficient,C(partner)[T.stranger]:trial_scaled,-0.38189625581515163,0.1685489501406692,-0.7122461277229005,-0.05154638390740274,0.023464342045462657,111,8251,,0.6825658617712729,0.49054114106577096,0.9497595953793686
linear,coefficient,C(partner)[T.friend]:trial_scaled,-1.0305803511239164,0.21784496147702492,-1.4575486298324007,-0.6036120724154321,2.2363976446422265e-06,111,8251,,0.3567998312880042,0.23280627015492075,0.5468328646064063
linear,age_interaction_contrast,friend - computer,0.05187598203427639,0.15141995535962238,-0.2449071304705835,0.3486590945391363,0.7319018600971603,111,8251,1.0,1.0532451130970004,0.7827772310194266,1.4171659883591865
linear,age_interaction_contrast,stranger - computer,0.03398037008620332,0.10104218785533163,-0.16406231811024669,0.2320230582826533,0.7366455281735014,111,8251,1.0,1.0345642981208012,0.8486891315293467,1.2611488084187579
linear,age_interaction_contrast,friend - stranger,0.01789561194807307,0.1246274123907416,-0.22637411633778046,0.26216534023392657,0.885821945102462,111,8251,1.0,1.0180566978873438,0.7974197181094598,1.2997414242157137
age_time,coefficient,Intercept,0.5556034019075693,0.14512324588677966,0.2711670666499306,0.840039737165208,0.00012893004151854818,111,8251,,1.7429923924659638,1.311494159018427,2.3164590244671754
age_time,coefficient,C(partner)[T.stranger],0.3694348573215051,0.12238904371266993,0.1295567395423737,0.6093129751006365,0.002540052297766521,111,8251,,1.4469166691951603,1.1383236975961484,1.8391674108304188
age_time,coefficient,C(partner)[T.friend],1.9113808193619524,0.182484985319583,1.5537168204162493,2.2690448183076555,1.1351555190849152e-25,111,8251,,6.7624200351907815,4.729014455414173,9.670159641824263
age_time,coefficient,C(offer_pair)[T.0-4],-0.1872223621183875,0.08254733350499685,-0.34901216280799785,-0.025432561428777173,0.023325507933342496,111,8251,,0.8292593200234644,0.7053845507609234,0.9748881218109514
age_time,coefficient,C(offer_pair)[T.0-8],-0.5479217878172151,0.11080989783613185,-0.7651051967065964,-0.33073837892783386,7.626090893028796e-07,111,8251,,0.578150081282086,0.4652849819519905,0.7183930912280602
age_time,coefficient,C(offer_pair)[T.2-4],-0.8961025788205982,0.12431950969803073,-1.1397643404044164,-0.6524408172367799,5.675430942762149e-13,111,8251,,0.4081573248334491,0.31989439911898854,0.5207731122333018
age_time,coefficient,C(offer_pair)[T.2-8],-1.3073495523017848,0.1410535073930498,-1.5838093466852168,-1.030889757918353,1.8884327051417008e-20,111,8251,,0.27053614889573285,0.20519196021636715,0.35668945207287
age_time,coefficient,C(offer_pair)[T.4-8],-1.5324550878114402,0.14298268434758207,-1.81269599954556,-1.2522141760773204,8.40070427653668e-27,111,8251,,0.21600470528433943,0.16321351954310312,0.28587112658061636
age_time,coefficient,age_z,0.06180140305905443,0.13442453742728003,-0.20166584893687098,0.3252686550549798,0.6456971606817155,111,8251,,1.0637510660414342,0.8173680067033241,1.3844025227610928
age_time,coefficient,C(partner)[T.stranger]:age_z,0.03182162888147456,0.1011849732007312,-0.16649727436860917,0.23014053213155827,0.7531491605410701,111,8251,,1.032333350427244,0.8466251245203105,1.2587768961004566
age_time,coefficient,C(partner)[T.friend]:age_z,0.0560884273660487,0.15186812540158903,-0.24156762882067834,0.3537444835527757,0.7118868088290986,111,8251,,1.0576912084491343,0.7853956866088279,1.4243911846026882
age_time,coefficient,trial_scaled,0.309439537468781,0.1609522700287051,-0.0060211150174465655,0.6249001899550086,0.05453600222723389,111,8251,,1.3626611795399386,0.993996975568869,1.8680594970246218
age_time,coefficient,C(partner)[T.stranger]:trial_scaled,-0.37850177115392236,0.16868546880666005,-0.7091192147302308,-0.04788432757761396,0.024843243827279836,111,8251,,0.684886758014134,0.4920774211885878,0.953244044748277
age_time,coefficient,C(partner)[T.friend]:trial_scaled,-1.0371030796168224,0.21731488934533533,-1.4630324360379867,-0.611173723195658,1.8208718486181807e-06,111,8251,,0.35448009658662527,0.23153309978630715,0.5427134996768807
age_time,coefficient,age_z:trial_scaled,-0.1143944510138291,0.10691991182957257,-0.3239536274299894,0.09516472540233122,0.28466079761372387,111,8251,,0.8919060732319101,0.7232837821299986,1.0998400117935836
age_time,age_interaction_contrast,friend - computer,0.0560884273660487,0.15186812540158903,-0.24157309842106583,0.3537499531531632,0.7118868088290986,111,8251,1.0,1.0576912084491343,0.7853913908200242,1.42439897547457
age_time,age_interaction_contrast,stranger - computer,0.03182162888147456,0.1011849732007312,-0.16650091859195862,0.23014417635490772,0.7531491605410701,111,8251,1.0,1.032333350427244,0.8466220392348852,1.2587814833729718
age_time,age_interaction_contrast,friend - stranger,0.024266798484574144,0.12499608936332038,-0.2207255366675338,0.2692591336366821,0.8460659005304867,111,8251,1.0,1.0245636334536665,0.8019367523214315,1.3089943015543788
quadratic,coefficient,Intercept,0.7202994938143974,0.21794270488064196,0.2931396415550973,1.1474593460736975,0.0009497818158642524,111,8251,,2.0550485928295474,1.3406299850172236,3.150179218792011
quadratic,coefficient,C(partner)[T.stranger],0.27897132976685873,0.1791945366922479,-0.0722435083762884,0.6301861679100058,0.11951628734469884,111,8251,,1.3217694478880684,0.9303043313299746,1.8779601626412832
quadratic,coefficient,C(partner)[T.friend],1.9295962882997937,0.27344986957589595,1.3936443923538624,2.465548184245725,1.707608419885459e-12,111,8251,,6.886729427049525,4.029508436054922,11.769932475392256
quadratic,coefficient,C(offer_pair)[T.0-4],-0.18822140039361995,0.08253926037491265,-0.3499953780390227,-0.02644742274821718,0.022584786123667384,111,8251,,0.8284312719174148,0.7046913467670922,0.9738992474353945
quadratic,coefficient,C(offer_pair)[T.0-8],-0.5488934859754725,0.11100237189891667,-0.7664541370958702,-0.33133283485507486,7.619051078388589e-07,111,8251,,0.5775885667683989,0.46465776338265274,0.7179661651038454
quadratic,coefficient,C(offer_pair)[T.2-4],-0.8982933394118052,0.12456924082195915,-1.1424445650043418,-0.6541421138192687,5.546213398999686e-13,111,8251,,0.40726412859798405,0.31903815825258286,0.519887875955454
