condition,replicate,method,participant_id,parameter,true,recovered
zero,2,hierarchical,sub-10317,alpha,0.3102471578000132,0.31661808258135116
zero,2,hierarchical,sub-10369,alpha,0.33635372777428296,0.36138558336455373
zero,2,hierarchical,sub-10402,alpha,0.3488481699299266,0.307549313074685
zero,2,hierarchical,sub-10418,alpha,0.12054656772855582,0.23115165982130886
zero,2,hierarchical,sub-10462,alpha,0.645235731827635,0.4192827492309475
zero,2,hierarchical,sub-10478,alpha,0.220058223080692,0.495730868900225
zero,2,hierarchical,sub-10486,alpha,0.33464938285523993,0.36123244536134497
zero,2,hierarchical,sub-10529,alpha,0.1766186636398595,0.28023565963754876
zero,2,hierarchical,sub-10541,alpha,0.27916184415033674,0.24064056853647126
zero,2,hierarchical,sub-10555,alpha,0.19992119268611455,0.3537663143659038
zero,2,hierarchical,sub-10559,alpha,0.27947308412780986,0.3178116674261725
zero,2,hierarchical,sub-10572,alpha,0.0938866544330399,0.13219541708216775
zero,2,hierarchical,sub-10581,alpha,0.5356940378446928,0.42857326550467495
zero,2,hierarchical,sub-10584,alpha,0.48514260556317834,0.30279919106495873
zero,2,hierarchical,sub-10585,alpha,0.2131860796592932,0.21880943763136698
zero,2,hierarchical,sub-10589,alpha,0.651078889311115,0.68712662342595
zero,2,hierarchical,sub-10590,alpha,0.4190347488902412,0.5070034883514375
zero,2,hierarchical,sub-10596,alpha,0.2151355573911605,0.38904196232967375
zero,2,hierarchical,sub-10603,alpha,0.2836843352581281,0.2953916196028288
zero,2,hierarchical,sub-10606,alpha,0.460116568158926,0.41910742615216245
zero,2,hierarchical,sub-10608,alpha,0.22818216570686173,0.3208049721081738
zero,2,hierarchical,sub-10617,alpha,0.3754221844708523,0.2829759422592738
zero,2,hierarchical,sub-10636,alpha,0.2593560101908168,0.28394940606996
zero,2,hierarchical,sub-10638,alpha,0.1978786831055818,0.17590597664071403
zero,2,hierarchical,sub-10640,alpha,0.103145201624108,0.11875249242340237
zero,2,hierarchical,sub-10641,alpha,0.11853701542061196,0.18505757032417036
zero,2,hierarchical,sub-10642,alpha,0.12197651418856323,0.17073533028409538
zero,2,hierarchical,sub-10644,alpha,0.35644756628784785,0.30407469425067624
zero,2,hierarchical,sub-10647,alpha,0.2793820667689161,0.26205911720417374
zero,2,hierarchical,sub-10649,alpha,0.2592595774210446,0.31417872351654624
zero,2,hierarchical,sub-10652,alpha,0.09787874149504713,0.20253378841011488
zero,2,hierarchical,sub-10656,alpha,0.15052672033615097,0.29301108497191625
zero,2,hierarchical,sub-10661,alpha,0.3732381763613429,0.5127833825349999
zero,2,hierarchical,sub-10663,alpha,0.20036536973746794,0.215486801568896
zero,2,hierarchical,sub-10668,alpha,0.21855070285420347,0.3161941211197462
zero,2,hierarchical,sub-10673,alpha,0.2687008802342845,0.310305551054245
zero,2,hierarchical,sub-10674,alpha,0.13122110024962083,0.1620494938710886
zero,2,hierarchical,sub-10677,alpha,0.40505601102765465,0.29003224445986425
zero,2,hierarchical,sub-10685,alpha,0.13031796271765989,0.2099823774228356
zero,2,hierarchical,sub-10690,alpha,0.15821473137577546,0.2739042775285725
zero,2,hierarchical,sub-10691,alpha,0.2054055996490233,0.2694375273780462
zero,2,hierarchical,sub-10700,alpha,0.5266983396086891,0.597451807690025
zero,2,hierarchical,sub-10701,alpha,0.13486897792601368,0.32528363437851626
zero,2,hierarchical,sub-10713,alpha,0.34014462418424873,0.33549157439537375
zero,2,hierarchical,sub-10716,alpha,0.29365541320843447,0.271586791338345
zero,2,hierarchical,sub-10718,alpha,0.1605882367745753,0.2047591834312625
zero,2,hierarchical,sub-10720,alpha,0.3371624631512996,0.2900417201394541
zero,2,hierarchical,sub-10723,alpha,0.19200500991065722,0.37669156098648626
zero,2,hierarchical,sub-10741,alpha,0.2666807676331515,0.2580661862462275
zero,2,hierarchical,sub-10748,alpha,0.17510444126621855,0.2589309595011588
zero,2,hierarchical,sub-10767,alpha,0.46953351265365983,0.241721868632055
zero,2,hierarchical,sub-10770,alpha,0.24277003345233683,0.20810306884533925
zero,2,hierarchical,sub-10781,alpha,0.3555633805821774,0.3293621339677
zero,2,hierarchical,sub-10783,alpha,0.44277715146712426,0.43144628127098245
zero,2,hierarchical,sub-10785,alpha,0.24906149443292339,0.2080322560877325
zero,2,hierarchical,sub-10794,alpha,0.3333528661196391,0.3091613401037879
zero,2,hierarchical,sub-10800,alpha,0.13504136790116208,0.30537386088005375
zero,2,hierarchical,sub-10801,alpha,0.7571648076617917,0.630486672586225
zero,2,hierarchical,sub-10802,alpha,0.29501978884185504,0.28962220778257375
zero,2,hierarchical,sub-10803,alpha,0.3707285239297108,0.44018157255634627
zero,2,hierarchical,sub-10804,alpha,0.2245376364714672,0.3360887853303888
zero,2,hierarchical,sub-10806,alpha,0.0875432513393396,0.22818525898321748
zero,2,hierarchical,sub-10807,alpha,0.4200702448271655,0.26066926495883624
zero,2,hierarchical,sub-10809,alpha,0.24471604151662268,0.13374805859114314
zero,2,hierarchical,sub-10810,alpha,0.18608768414638902,0.21980996264523464
zero,2,hierarchical,sub-10812,alpha,0.47404683918640866,0.4804275116308575
zero,2,hierarchical,sub-10817,alpha,0.09827409162330347,0.1420689836350875
zero,2,hierarchical,sub-10827,alpha,0.3643049900933749,0.34521687939374623
zero,2,hierarchical,sub-10831,alpha,0.16702317204500003,0.18206752894148753
zero,2,hierarchical,sub-10834,alpha,0.23655089304309296,0.27245596725571125
zero,2,hierarchical,sub-10836,alpha,0.41230966000753866,0.2534935815870988
zero,2,hierarchical,sub-10838,alpha,0.22897161560119017,0.210254512400555
zero,2,hierarchical,sub-10843,alpha,0.15464006789640836,0.307018765676985
