participant_id,partner,trait,rating,normalized
sub-10317,friend,2,5.0,1.0
sub-10317,stranger,2,0.0,0.5
sub-10317,computer,2,0.0,0.5
sub-10317,friend,1,5.0,1.0
sub-10317,stranger,1,2.0,0.7
sub-10317,computer,1,0.0,0.5
sub-10317,friend,0,4.0,0.9
sub-10317,stranger,0,2.0,0.7
sub-10317,computer,0,0.0,0.5
sub-10402,friend,2,4.0,0.9
sub-10402,stranger,2,0.0,0.5
sub-10402,computer,2,-2.0,0.3
sub-10402,friend,1,4.0,0.9
sub-10402,stranger,1,2.0,0.7
sub-10402,computer,1,0.0,0.5
sub-10402,friend,0,3.0,0.8
sub-10402,stranger,0,2.0,0.7
sub-10402,computer,0,0.0,0.5
sub-10418,friend,2,4.0,0.9
sub-10418,stranger,2,4.0,0.9
sub-10418,computer,2,5.0,1.0
sub-10418,friend,1,5.0,1.0
sub-10418,stranger,1,4.0,0.9
sub-10418,computer,1,4.0,0.9
sub-10418,friend,0,5.0,1.0
sub-10418,stranger,0,4.0,0.9
sub-10418,computer,0,5.0,1.0
sub-10462,friend,2,5.0,1.0
sub-10462,stranger,2,5.0,1.0
sub-10462,computer,2,0.0,0.5
sub-10462,friend,1,5.0,1.0
sub-10462,stranger,1,5.0,1.0
sub-10462,computer,1,0.0,0.5
sub-10462,friend,0,5.0,1.0
sub-10462,stranger,0,3.0,0.8
sub-10462,computer,0,0.0,0.5
sub-10486,friend,2,5.0,1.0
sub-10486,stranger,2,5.0,1.0
sub-10486,computer,2,2.0,0.7
sub-10486,friend,1,4.0,0.9
sub-10486,stranger,1,5.0,1.0
sub-10486,computer,1,0.0,0.5
sub-10486,friend,0,2.0,0.7
sub-10486,stranger,0,4.0,0.9
sub-10486,computer,0,1.0,0.6
sub-10529,friend,2,4.0,0.9
sub-10529,stranger,2,2.0,0.7
sub-10529,computer,2,3.0,0.8
sub-10529,friend,1,5.0,1.0
sub-10529,stranger,1,3.0,0.8
sub-10529,computer,1,0.0,0.5
sub-10529,friend,0,4.0,0.9
sub-10529,stranger,0,4.0,0.9
sub-10529,computer,0,0.0,0.5
sub-10541,friend,2,4.0,0.9
sub-10541,stranger,2,0.0,0.5
sub-10541,computer,2,1.0,0.6
sub-10541,friend,1,5.0,1.0
sub-10541,stranger,1,0.0,0.5
sub-10541,computer,1,0.0,0.5
sub-10541,friend,0,4.0,0.9
sub-10541,stranger,0,1.0,0.6
sub-10541,computer,0,0.0,0.5
sub-10555,friend,2,5.0,1.0
sub-10555,stranger,2,0.0,0.5
sub-10555,computer,2,2.0,0.7
sub-10555,friend,1,5.0,1.0
sub-10555,stranger,1,1.0,0.6
sub-10555,computer,1,2.0,0.7
sub-10555,friend,0,5.0,1.0
sub-10555,stranger,0,2.0,0.7
sub-10555,computer,0,3.0,0.8
sub-10559,friend,2,2.0,0.7
sub-10559,stranger,2,0.0,0.5
sub-10559,computer,2,0.0,0.5
sub-10559,friend,1,1.0,0.6
sub-10559,stranger,1,0.0,0.5
sub-10559,computer,1,0.0,0.5
sub-10559,friend,0,5.0,1.0
sub-10559,stranger,0,0.0,0.5
sub-10559,computer,0,0.0,0.5
sub-10572,friend,2,5.0,1.0
sub-10572,stranger,2,3.0,0.8
sub-10572,computer,2,3.0,0.8
sub-10572,friend,1,5.0,1.0
sub-10572,stranger,1,5.0,1.0
sub-10572,computer,1,0.0,0.5
sub-10572,friend,0,5.0,1.0
sub-10572,stranger,0,5.0,1.0
sub-10572,computer,0,0.0,0.5
sub-10584,friend,2,4.0,0.9
sub-10584,stranger,2,4.0,0.9
sub-10584,computer,2,0.0,0.5
sub-10584,friend,1,4.0,0.9
sub-10584,stranger,1,4.0,0.9
sub-10584,computer,1,0.0,0.5
sub-10584,friend,0,3.0,0.8
sub-10584,stranger,0,5.0,1.0
sub-10584,computer,0,0.0,0.5
sub-10585,friend,2,5.0,1.0
sub-10585,stranger,2,5.0,1.0
sub-10585,computer,2,3.0,0.8
sub-10585,friend,1,5.0,1.0
sub-10585,stranger,1,5.0,1.0
sub-10585,computer,1,3.0,0.8
sub-10585,friend,0,5.0,1.0
sub-10585,stranger,0,5.0,1.0
