parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
"beta[3,1]",0.200197,0.00511532,0.309582,0.306827,-0.314054,0.205465,0.700939,3666.4,4462.27,2.66785,1.00135,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"beta[4,1]",0.0822337,0.00469375,0.3366,0.333015,-0.470593,0.0819101,0.633312,5145.92,6142.66,3.74443,1.00004,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[1,1]",0.0638373,0.000759257,0.0615397,0.0429607,0.00540019,0.0442287,0.189139,5125.05,5380.77,3.72924,1.00105,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[1,2]",0.877015,0.00354704,0.362702,0.346489,0.363292,0.835993,1.53116,10073.2,5276.22,7.32979,1.00044,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[1,3]",4.12012,0.0169921,1.4643,1.44392,2.0455,3.94085,6.77106,8182.71,5809.49,5.95414,1.00069,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[1,4]",0.238133,0.00266402,0.226246,0.1961,0.00959054,0.18649,0.629747,7926.01,5597.47,5.76736,0.999911,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[2,1]",0.160505,0.00167923,0.126195,0.110386,0.0190661,0.127877,0.412959,5332.25,5739.7,3.88001,1.00018,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[2,2]",0.264644,0.00168995,0.165154,0.147138,0.0615924,0.230483,0.580347,7087.51,4957.48,5.15722,1.00018,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[2,3]",4.36995,0.0271504,2.09582,1.90431,1.67186,4.00062,8.29449,7735.58,4680.01,5.62879,1.00063,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[2,4]",0.978601,0.0202102,1.404,0.580178,0.0144256,0.467718,3.84965,8638.21,4525.14,6.28559,1.00062,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[3,1]",0.135717,0.00176525,0.117555,0.0840506,0.0176471,0.104944,0.365528,4176.67,4537.55,3.03915,1.00113,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[3,2]",0.11346,0.000949587,0.0848663,0.0604929,0.0284104,0.0883133,0.281865,6619.99,5934.45,4.81703,1.0004,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[3,3]",5.49359,0.0391636,2.9038,2.946,1.62602,5.0338,10.8375,6720.11,4554.85,4.88989,1.00001,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[3,4]",2.90718,0.0320469,2.54885,2.24278,0.0972652,2.23177,8.04837,8631.66,4956.91,6.28083,0.999828,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
