participant_id,partner,offer_pair,high_probability,investment,rt,n
sub-10317,computer,0-2,0.5,1.0,2.1006116,2
sub-10317,computer,0-4,0.5,2.0,2.24813695,2
sub-10317,computer,0-8,0.0,0.0,1.9272642,2
sub-10317,computer,2-4,0.0,2.0,2.20215075,2
sub-10317,computer,2-8,0.25,3.5,2.2288667,4
sub-10317,computer,4-8,0.0,4.0,2.0165712,2
sub-10317,friend,0-2,1.0,2.0,1.9809685999999997,2
sub-10317,friend,0-4,1.0,4.0,1.9544609499999999,2
sub-10317,friend,0-8,1.0,8.0,1.9517498,2
sub-10317,friend,2-4,1.0,4.0,2.02720555,2
sub-10317,friend,2-8,1.0,8.0,1.5791783499999998,4
sub-10317,friend,4-8,1.0,8.0,1.7293191,2
sub-10317,stranger,0-2,0.5,1.0,2.4732114000000003,2
sub-10317,stranger,0-4,1.0,4.0,2.081447,2
sub-10317,stranger,0-8,0.0,0.0,2.2248597,2
sub-10317,stranger,2-4,0.0,2.0,1.69505455,2
sub-10317,stranger,2-8,0.5,5.0,2.1144036,4
sub-10317,stranger,4-8,0.0,4.0,1.79840525,2
sub-10369,computer,0-2,1.0,2.0,1.7884359,2
sub-10369,computer,0-4,0.5,2.0,1.6186938,2
sub-10369,computer,0-8,0.5,4.0,1.361237,2
sub-10369,computer,2-4,0.5,3.0,1.90774855,2
sub-10369,computer,2-8,0.75,6.5,1.56340795,4
sub-10369,computer,4-8,0.0,4.0,2.1110306,2
sub-10369,friend,0-2,1.0,2.0,1.4804174,2
sub-10369,friend,0-4,1.0,4.0,1.78007,2
sub-10369,friend,0-8,1.0,8.0,2.2621219999999997,2
sub-10369,friend,2-4,1.0,4.0,1.4688268,2
sub-10369,friend,2-8,0.75,6.5,1.59872565,4
sub-10369,friend,4-8,0.5,6.0,1.8756447,2
sub-10369,stranger,0-2,0.5,1.0,2.3756033,2
sub-10369,stranger,0-4,1.0,4.0,1.7856249499999999,2
sub-10369,stranger,0-8,1.0,8.0,1.6774036,1
sub-10369,stranger,2-4,0.0,2.0,2.74837975,2
sub-10369,stranger,2-8,0.25,3.5,2.50247515,4
sub-10369,stranger,4-8,0.0,4.0,1.80003895,2
sub-10402,computer,0-2,1.0,2.0,2.0980568,4
sub-10402,computer,0-4,1.0,4.0,1.8691016999999999,4
sub-10402,computer,0-8,0.75,6.0,1.9784635000000002,4
sub-10402,computer,2-4,0.5,3.0,2.2627604999999997,4
sub-10402,computer,2-8,0.125,2.75,2.2706193,8
sub-10402,computer,4-8,0.0,4.0,1.8853026499999999,4
sub-10402,friend,0-2,1.0,2.0,1.84549005,4
sub-10402,friend,0-4,1.0,4.0,1.7961162,4
sub-10402,friend,0-8,1.0,8.0,2.15605045,4
sub-10402,friend,2-4,0.5,3.0,1.9064694500000001,4
sub-10402,friend,2-8,0.5714285714285714,5.428571428571429,2.1408117,7
sub-10402,friend,4-8,0.25,5.0,1.8493888,4
sub-10402,stranger,0-2,1.0,2.0,1.80044185,4
sub-10402,stranger,0-4,1.0,4.0,1.77470345,4
sub-10402,stranger,0-8,1.0,8.0,2.0359951499999998,4
sub-10402,stranger,2-4,0.5,3.0,2.3605373,4
sub-10402,stranger,2-8,0.5,5.0,2.18598945,8
sub-10402,stranger,4-8,0.0,4.0,1.9336834999999999,4
sub-10418,computer,0-2,0.75,1.5,2.06132035,4
sub-10418,computer,0-4,1.0,4.0,2.1587818,4
sub-10418,computer,0-8,0.75,6.0,2.4780459500000003,4
sub-10418,computer,2-4,0.75,3.5,2.25149415,4
sub-10418,computer,2-8,0.125,2.75,2.1508203999999997,8
sub-10418,computer,4-8,0.5,6.0,2.27497715,4
sub-10418,friend,0-2,1.0,2.0,2.17197085,4
sub-10418,friend,0-4,1.0,4.0,2.1302375,4
sub-10418,friend,0-8,1.0,8.0,1.9758387000000002,4
sub-10418,friend,2-4,1.0,4.0,2.2691490500000002,4
sub-10418,friend,2-8,1.0,8.0,1.8898014,8
sub-10418,friend,4-8,1.0,8.0,1.90269755,4
sub-10418,stranger,0-2,1.0,2.0,2.25601495,4
sub-10418,stranger,0-4,1.0,4.0,2.1602946000000003,4
sub-10418,stranger,0-8,0.5,4.0,2.2067151000000003,4
sub-10418,stranger,2-4,1.0,4.0,2.20889355,4
sub-10418,stranger,2-8,0.125,2.75,1.9194195500000002,8
sub-10418,stranger,4-8,0.25,5.0,2.0600680999999996,4
sub-10462,computer,0-2,0.5,1.0,2.0795545,2
sub-10462,computer,0-4,0.5,2.0,2.59093345,2
sub-10462,computer,0-8,0.0,0.0,1.83416365,2
sub-10462,computer,2-4,0.0,2.0,2.1287382,2
sub-10462,computer,2-8,0.3333333333333333,4.0,2.398849,3
sub-10462,computer,4-8,0.0,4.0,2.2525114999999998,2
sub-10462,friend,0-2,1.0,2.0,1.95093575,2
sub-10462,friend,0-4,0.5,2.0,1.6098826000000002,2
sub-10462,friend,0-8,0.5,4.0,2.3028661,2
sub-10462,friend,2-4,1.0,4.0,1.95586335,2
sub-10462,friend,2-8,0.5,5.0,1.5074931,4
sub-10462,friend,4-8,0.5,6.0,2.7490036499999997,2
sub-10462,stranger,0-2,1.0,2.0,1.8938484,2
sub-10462,stranger,0-4,0.5,2.0,1.93349705,2
sub-10462,stranger,0-8,0.5,4.0,1.91756,2
sub-10462,stranger,2-4,0.0,2.0,2.03007665,2
sub-10462,stranger,2-8,0.0,2.0,2.0897081,4
sub-10462,stranger,4-8,0.0,4.0,1.76149515,2
sub-10478,computer,0-2,0.75,1.5,1.66656275,4
sub-10478,computer,0-4,0.5,2.0,1.4892449,4
sub-10478,computer,0-8,0.75,6.0,2.428265,4
sub-10478,computer,2-4,0.5,3.0,1.926763,4
sub-10478,computer,2-8,0.5714285714285714,5.428571428571429,2.0609677,7
sub-10478,computer,4-8,0.0,4.0,1.8287863,4
sub-10478,friend,0-2,1.0,2.0,1.9399452,4
sub-10478,friend,0-4,1.0,4.0,1.4183661,4
sub-10478,friend,0-8,1.0,8.0,1.31341925,4
sub-10478,friend,2-4,1.0,4.0,1.5504934499999998,4
sub-10478,friend,2-8,1.0,8.0,1.60571975,8
sub-10478,friend,4-8,0.75,7.0,1.8375178,4
sub-10478,stranger,0-2,0.6666666666666666,1.3333333333333333,1.4180751,3
sub-10478,stranger,0-4,0.75,3.0,2.0864819,4
sub-10478,stranger,0-8,0.75,6.0,2.04573,4
sub-10478,stranger,2-4,1.0,4.0,1.7262107,4
sub-10478,stranger,2-8,0.375,4.25,1.7198575,8
sub-10478,stranger,4-8,0.25,5.0,1.661292,4
sub-10486,computer,0-2,1.0,2.0,1.51754435,2
sub-10486,computer,0-4,1.0,4.0,1.6011202,2
sub-10486,computer,0-8,1.0,8.0,1.6141267,2
sub-10486,computer,2-4,1.0,4.0,1.5509143,2
sub-10486,computer,2-8,1.0,8.0,1.4969582,4
sub-10486,computer,4-8,1.0,8.0,1.685376,2
sub-10486,friend,0-2,1.0,2.0,1.5200798500000001,2
sub-10486,friend,0-4,1.0,4.0,1.5300368999999998,2
sub-10486,friend,0-8,1.0,8.0,1.53647825,2
sub-10486,friend,2-4,1.0,4.0,1.7084595,2
sub-10486,friend,2-8,1.0,8.0,1.5265319,4
sub-10486,friend,4-8,1.0,8.0,1.7108256499999999,2
sub-10486,stranger,0-2,1.0,2.0,1.6677154,2
sub-10486,stranger,0-4,1.0,4.0,1.6276115500000001,2
sub-10486,stranger,0-8,1.0,8.0,1.5503985999999998,2
sub-10486,stranger,2-4,1.0,4.0,1.7550674000000002,2
sub-10486,stranger,2-8,1.0,8.0,1.6478058,4
sub-10486,stranger,4-8,1.0,8.0,1.6017682,2
sub-10529,computer,0-2,0.75,1.5,1.4312350999999999,4
sub-10529,computer,0-4,0.75,3.0,1.4098572,4
sub-10529,computer,0-8,1.0,8.0,1.7608837,4
sub-10529,computer,2-4,0.5,3.0,1.7188199499999999,4
sub-10529,computer,2-8,0.375,4.25,1.44343435,8
sub-10529,computer,4-8,0.0,4.0,1.89301905,4
sub-10529,friend,0-2,1.0,2.0,1.6595966,4
sub-10529,friend,0-4,1.0,4.0,1.6932775,4
sub-10529,friend,0-8,1.0,8.0,1.9284658,3
sub-10529,friend,2-4,0.75,3.5,1.6801430499999999,4
