condition,replicate,method,level,parameter,n,rmse,bias,pearson,spearman,ceiling_rate,interval_coverage,true,probability_positive,mean,median,ci_low,ci_high
zero,1,hierarchical,participant,alpha,111.0,0.1016595537024565,0.005700706821083683,0.5546861205870072,0.5198666198666199,,0.954954954954955,,,,,,
zero,1,MLE_theta10,participant,alpha,111.0,0.2356620999119739,0.05106174896879028,0.41239959993334374,0.4517305341313239,,,,,,,,
zero,1,hierarchical,participant,kappa,111.0,0.15409939752234833,-0.029236669330505515,0.8427605863065895,0.7141540891540892,,0.963963963963964,,,,,,
zero,1,MLE_theta10,participant,kappa,111.0,0.23072983588936608,0.05374067233230616,0.784248168225525,0.6916900666900666,,,,,,,,
zero,1,hierarchical,participant,theta,111.0,0.5374655594010799,0.06611699039407877,0.6319562743250541,0.6526676026676026,0.0,0.9819819819819819,,,,,,
zero,1,MLE_theta10,participant,theta,111.0,2.598312636204548,0.7860041066415632,0.3938401790853799,0.5280188943090093,0.06306306306306306,,,,,,,
zero,1,hierarchical,participant,friend_value_probability_effect,111.0,0.08228245246712897,-0.01313344165457597,0.7392435658172726,0.7580817830817831,,0.9459459459459459,,,,,,
zero,1,MLE_theta10,participant,friend_value_probability_effect,111.0,0.10916182518353917,0.01998992778944967,0.7737855531003757,0.7814488182679041,,,,,,,,
zero,1,hierarchical,population,mu_alpha,,,0.0789696388895249,,,,1.0,-1.0,0.0,-0.9210303611104751,-0.9196003106499999,-1.22407804385,-0.6356054757449999
zero,1,hierarchical,population,mu_kappa,,,-0.06800608314512524,,,,1.0,-1.2,0.0,-1.2680060831451252,-1.267020847,-1.482044878375,-1.06489732525
zero,1,hierarchical,population,mu_theta,,,0.062253938816912546,,,,1.0,1.0,1.0,1.0622539388169125,1.0561000745000002,0.700010766315,1.4651812457
zero,1,hierarchical,population,tau_alpha,,,-0.03659648008418759,,,,1.0,0.65,1.0,0.6134035199158124,0.6059784618499999,0.396088718,0.856416630875
zero,1,hierarchical,population,tau_kappa,,,0.06894879200640003,,,,1.0,0.65,1.0,0.7189487920064,0.7138717991000001,0.5534040654075,0.916612855855
zero,1,hierarchical,population,tau_theta,,,0.10945655301285018,,,,1.0,1.0,1.0,1.1094565530128502,1.0985121704999998,0.7743257829675,1.5050131531249997
zero,1,hierarchical,population,beta_alpha,,,-0.04400223601084937,,,,1.0,0.0,0.348,-0.04400223601084937,-0.043303904074999996,-0.27086379383,0.1850204585624999
zero,1,hierarchical,population,beta_kappa,,,-0.0587347094960475,,,,1.0,0.0,0.256,-0.0587347094960475,-0.058615071229999996,-0.2413510767675,0.12194733365249984
zero,1,hierarchical,population,beta_theta,,,-0.008365296388864959,,,,1.0,0.0,0.4785,-0.008365296388864959,-0.008240382852,-0.3127635700075,0.29978731895249994
zero,1,hierarchical,population,friend_probability_change_25_to_75,,,-0.035434034137906356,,,,1.0,0.0,,-0.035434034137906356,-0.037229442233754614,-0.1260833641562227,0.06447288911738659
