model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,participant_id,kappa,alpha,theta,theta_stranger,alpha_negative,phi
M0,42,0,-29.112181583517703,58.224363167035406,58.224363167035406,58.224363167035406,0.0,0.0,True,1,1,1,,exact,sub-10317,,,,,,
M1,42,1,-29.112186584342698,60.224373168685396,60.3243731686854,61.962042786968766,-0.03435005370367581,-1.7177774802590307e-07,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,1e-05,,,,,
M2,42,2,-28.055403588047493,60.11080717609499,60.41849948378729,63.586146412661726,-0.03239956448553514,0.03630019936632023,True,100,100,50,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,0.11360950066914378,1.0,,,,
M5,42,3,-15.490213213491392,36.98042642698279,37.612005374351206,42.19343528183289,0.3648633593313424,0.4679130051091256,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,0.8687603401148629,0.2264304277668997,5.0,,,
M6,42,3,-25.176742828392214,56.35348565678443,56.985064604152846,61.56649451163453,0.03213221078749733,0.13518185656528048,True,100,100,75,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,1.1335727662335218,0.0,0.7334081295505631,,,
M7,42,4,-15.24237659484558,38.48475318969116,39.56583427077224,45.435431662824634,0.33902663599281957,0.47642616369653046,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,1.0180380160668647,0.19005090389722223,5.0,0.21534872603344196,,
M8,42,3,-28.055403588047497,62.110807176094994,62.74238612346341,67.3238160309451,-0.06674944641146296,0.03630019936632012,True,100,100,87,alpha;alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10317,0.1136095003731931,1.0,,,1.0,
M3,42,3,-15.812610002714854,37.62522000542971,38.25679895279813,42.83822886027981,0.35378906768821833,0.45683871346600147,True,100,100,19,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10317,7.5396016185244745,0.01251223527545476,,,,1.32374583093517
M4,42,3,-15.016604100035005,36.03320820007001,36.664787147438425,41.246217054920116,0.38113177645761276,0.48418142223539573,True,100,100,72,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10317,17.45356038478514,0.010830395070925798,0.9709533917556996,,,
M0,41,0,-28.419034402957756,56.83806880591551,56.83806880591551,56.83806880591551,0.0,0.0,True,1,1,1,,exact,sub-10369,,,,,,
