parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-0.981785,0.00209079,0.116216,0.114509,-1.17559,-0.980944,-0.791561,3120.5,4890.73,19.6705,1.00148,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
mu[2],-1.23234,0.00154256,0.0854363,0.085488,-1.37687,-1.22935,-1.09829,3102.86,4172.03,19.5594,1.0012,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
mu[3],1.01639,0.0032759,0.184569,0.183054,0.722653,1.00858,1.3311,3232.27,4340.17,20.3751,1.00066,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
tau[1],0.460795,0.00273194,0.129046,0.127602,0.260336,0.45572,0.677321,2180.17,2329.48,13.7431,1.00227,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
tau[2],0.462252,0.00225218,0.0829787,0.0837639,0.330964,0.459585,0.602351,1376.41,3325.0,8.67644,1.00352,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
tau[3],1.17762,0.00444048,0.200169,0.196805,0.863707,1.1676,1.52009,2009.94,4038.02,12.67,1.00119,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"beta[1,1]",0.0396776,0.00130388,0.102496,0.101402,-0.123381,0.0391864,0.21084,6213.12,5924.87,39.1654,1.00043,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"beta[2,1]",-0.0667065,0.00116508,0.0769827,0.0739308,-0.195868,-0.065906,0.0566823,4418.16,5038.68,27.8506,1.00023,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"beta[3,1]",-0.165278,0.00227717,0.161636,0.160309,-0.432634,-0.166763,0.0969314,5054.07,6100.27,31.8591,1.00036,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"natural[1,1]",0.301281,0.00108158,0.097833,0.0898429,0.157389,0.2913,0.475456,8838.52,5894.09,55.715,1.00031,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"natural[1,2]",0.280186,0.00105122,0.108242,0.100489,0.130405,0.265275,0.478536,10073.2,5404.04,63.498,1.00038,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"natural[1,3]",1.41113,0.00694168,0.69658,0.653127,0.454236,1.31573,2.67727,11597.3,5224.21,73.1057,1.00074,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"natural[2,1]",0.335778,0.00114983,0.0935164,0.089416,0.196568,0.327356,0.501488,6703.74,5465.46,42.2581,1.00021,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"natural[2,2]",0.369517,0.00122608,0.130746,0.126817,0.180097,0.356225,0.599616,9744.27,4657.12,61.4246,1.00039,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"natural[2,3]",0.927426,0.00593282,0.536407,0.484289,0.246798,0.837544,1.95679,10608.5,5253.62,66.8727,1.00058,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"natural[3,1]",0.23414,0.00133783,0.0650028,0.0673722,0.131994,0.232305,0.342972,2403.84,5182.36,15.153,1.00191,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"natural[3,2]",0.618514,0.00552046,0.252993,0.224703,0.299653,0.568853,1.1045,2086.96,5591.85,13.1555,1.00254,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"natural[3,3]",1.33425,0.00596027,0.451,0.402306,0.735399,1.26208,2.15799,6281.66,5943.85,39.5975,1.00132,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"natural[4,1]",0.43268,0.00131886,0.10401,0.105062,0.274141,0.427722,0.611217,6230.02,6042.34,39.2719,1.00073,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
"natural[4,2]",0.497008,0.00135265,0.14258,0.136581,0.282032,0.486146,0.747941,10462.4,5680.54,65.9512,1.00037,H5_recovery_negative_1,111,0,diag_e,4,2000,2000,0.95,0,0.7009770817810824,True
