parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-4.02404,0.0062005,0.295525,0.290806,-4.52661,-4.00518,-3.56508,2329.95,3403.52,1.20346,1.00188,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
mu[2],0.131134,0.00309705,0.1591,0.15825,-0.133532,0.133997,0.392568,2665.28,3906.65,1.37666,1.00035,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
mu[3],1.00416,0.00428125,0.20352,0.198089,0.682055,0.996013,1.35016,2258.27,3603.64,1.16643,1.00072,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
tau[1],1.6335,0.00401024,0.225308,0.219485,1.28609,1.61935,2.02693,3083.31,3063.43,1.59258,1.00156,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
tau[2],1.31437,0.00260175,0.125597,0.126272,1.11627,1.30662,1.5301,2344.01,4188.08,1.21072,1.00093,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
tau[3],1.55338,0.00390834,0.19081,0.188672,1.26915,1.53898,1.88865,2370.64,4423.0,1.22448,1.0008,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
"beta[1,1]",0.150249,0.003579,0.213058,0.210254,-0.196865,0.152707,0.499991,3584.37,5071.56,1.85138,1.0015,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
"beta[2,1]",-0.177409,0.00265369,0.138771,0.139495,-0.4026,-0.179787,0.0515686,2737.78,4321.55,1.41411,1.00186,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
"beta[3,1]",-0.0462373,0.00350409,0.162687,0.160936,-0.305182,-0.0505497,0.227753,2145.11,3572.06,1.10798,1.0022,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
"natural[1,1]",0.0131163,0.00015562,0.0127536,0.00960408,0.000876345,0.00932448,0.0369141,5543.8,5382.25,2.86346,1.00046,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
"natural[1,2]",7.00814,0.0670518,5.11022,2.78611,2.58856,5.78333,15.1148,7031.23,6324.0,3.63174,1.0005,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
"natural[1,3]",0.909155,0.00100158,0.0808252,0.0686203,0.780524,0.914973,1.01271,7446.83,5903.26,3.84641,1.00064,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
"natural[2,1]",0.0667232,0.000876251,0.0703759,0.043858,0.00516262,0.0476851,0.186542,5416.99,4329.76,2.79796,1.00049,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
"natural[2,2]",0.432936,0.00332329,0.275747,0.256294,0.103235,0.367692,0.973464,5732.2,5252.84,2.96077,1.00034,H4_full_age_attempt95,103,1,diag_e,4,2000,2000,0.95,0,0.6283594157299565,False
