parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-1.37369,0.0196833,0.564455,0.484057,-2.25109,-1.39834,-0.378671,828.298,2369.66,3.80191,1.00329,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
mu[2],-3.95633,0.00424019,0.366197,0.356493,-4.59045,-3.93741,-3.38546,7581.56,6339.72,34.7995,1.00016,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
tau[1],0.529644,0.00619397,0.370654,0.378105,0.0451425,0.46643,1.22187,3086.72,4037.12,14.1681,1.00105,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
tau[2],1.99856,0.00375727,0.266138,0.263053,1.58265,1.98358,2.45893,5019.1,5904.89,23.0378,0.999881,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[1,1]",0.239021,0.00411212,0.154326,0.101032,0.0675591,0.198699,0.56945,1283.84,4362.8,5.89284,1.00188,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[1,2]",0.0303245,0.000484445,0.0465222,0.0154795,0.000463148,0.0120265,0.125249,14776.5,5680.47,67.8242,0.999849,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[2,1]",0.236938,0.00413199,0.153607,0.0992449,0.0662342,0.196843,0.56622,1320.15,3723.03,6.0595,1.00163,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[2,2]",0.0264629,0.000439675,0.0410103,0.0138315,0.000508807,0.0110632,0.103086,14243.6,5736.46,65.3784,1.00075,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[3,1]",0.235385,0.00419433,0.149714,0.100033,0.0673229,0.196941,0.553809,1302.92,2933.37,5.98042,1.00213,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[3,2]",0.0285055,0.000480046,0.0451108,0.0144362,0.000489081,0.0113846,0.115261,14061.6,6253.92,64.5431,0.999795,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[4,1]",0.239575,0.00453975,0.158843,0.104837,0.0622857,0.19763,0.572903,1154.88,3517.49,5.30092,1.0023,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[4,2]",0.0173085,0.0002838,0.0261217,0.00935225,0.000408357,0.00765026,0.0660435,15511.8,5993.07,71.1995,0.999966,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[5,1]",0.227155,0.00352654,0.145061,0.0943753,0.0627416,0.192927,0.528056,1820.78,4321.05,8.3574,1.0017,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[5,2]",0.0739155,0.0011178,0.109671,0.0369629,0.000657388,0.0271937,0.306393,12026.4,6224.93,55.2012,1.00045,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[6,1]",0.235219,0.00383152,0.148648,0.0989835,0.0667568,0.198585,0.54343,1336.42,3851.85,6.1342,1.00116,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[6,2]",0.0308239,0.000557594,0.0502877,0.0156673,0.000484122,0.0122924,0.126452,16009.8,5673.34,73.4853,1.00016,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[7,1]",0.241353,0.00459112,0.159451,0.106118,0.0620546,0.199367,0.584447,1123.97,3850.27,5.15907,1.00215,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[7,2]",0.0140556,0.000204162,0.0194774,0.00832724,0.000392547,0.00704746,0.0514108,14966.9,6244.66,68.6984,0.999846,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[8,1]",0.239415,0.00430219,0.155493,0.102912,0.0661761,0.198622,0.568778,1169.29,4185.73,5.36705,1.00258,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[8,2]",0.0219722,0.000328826,0.0332212,0.0117051,0.000441627,0.00945044,0.0886923,15436.7,6142.12,70.8547,1.00002,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[9,1]",0.237267,0.00433977,0.150267,0.101245,0.0649069,0.199458,0.550658,1140.9,3823.67,5.23677,1.00311,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[9,2]",0.0233902,0.000380179,0.0355188,0.0125922,0.000462121,0.0100661,0.0918664,13663.6,5751.3,62.7164,1.00045,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[10,1]",0.239117,0.00391829,0.152049,0.101547,0.0673583,0.200656,0.567022,1373.22,3949.72,6.30312,1.00122,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[10,2]",0.0416516,0.000721929,0.0690638,0.018753,0.000552162,0.0143757,0.179775,13945.5,6550.19,64.0102,1.00005,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[11,1]",0.155498,0.000730405,0.0631665,0.0617024,0.0550332,0.153832,0.261349,7388.36,7273.28,33.9127,0.999932,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[11,2]",1.03251,0.00418522,0.380312,0.370577,0.462182,1.00502,1.69678,7932.94,5513.78,36.4123,0.999957,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[12,1]",0.230447,0.00369786,0.147513,0.0973212,0.0649128,0.194838,0.540172,1539.61,4231.48,7.06685,1.00243,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[12,2]",0.0469368,0.000800704,0.0762617,0.0214671,0.00053483,0.0163845,0.209694,14929.4,6481.15,68.5261,0.999845,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[13,1]",0.225491,0.00341924,0.141363,0.0903259,0.066152,0.191194,0.518989,1685.75,4120.79,7.73763,1.00166,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
"natural[13,2]",0.0759536,0.00130492,0.123873,0.0319874,0.000688229,0.0236259,0.343765,12973.7,6480.04,59.5497,1.00018,H2_train_noage,111,0,diag_e,4,2000,2000,0.95,0,0.8100735117967343,True
