run,parameter,mean,sd,ci_low,ci_high,divergences,accepted
H4_full_age,mu.1,-4.017450460406125,0.2906370779268384,-4.6278121427,-3.499890657425,1,False
H4_full_age,mu.2,0.12649410858229695,0.15986722893740943,-0.19581770870499998,0.43061882283999997,1,False
H4_full_age,mu.3,1.0108293615248873,0.20301393429434902,0.6276686787925,1.4379020951499994,1,False
H4_full_age,tau.1,1.625395172944075,0.2240851771443697,1.2310249232,2.1068554802999997,1,False
H4_full_age,tau.2,1.3134533635018875,0.12419571916505052,1.092220568875,1.579443147325,1,False
H4_full_age,tau.3,1.554838385328625,0.18682676153542052,1.22524960445,1.9491466821999996,1,False
H4_full_age,beta.1.1,0.15657154303881698,0.21414735666926066,-0.26784760602999996,0.5754499604300001,1,False
H4_full_age,beta.2.1,-0.1780538667778867,0.13897571961931807,-0.45128303799999997,0.09498239488724995,1,False
H4_full_age,beta.3.1,-0.050892348319038265,0.16310414230084191,-0.37098733695499997,0.2773758487249998,1,False
H4_full_age,Omega.1.1,1.0,0.0,1.0,1.0,1,False
H4_full_age,Omega.2.1,-0.5372259244232201,0.12144968544926867,-0.7417207052925,-0.2742780707175003,1,False
H4_full_age,Omega.3.1,0.3362472683271641,0.14430847755295592,0.04813206754575,0.605011769255,1,False
H4_full_age,Omega.1.2,-0.5372259244232201,0.12144968544926867,-0.7417207052925,-0.2742780707175003,1,False
H4_full_age,Omega.2.2,1.0,0.0,1.0,1.0,1,False
H4_full_age,Omega.3.2,-0.4305067932634472,0.10603342460696447,-0.6237330230925,-0.20629958351250008,1,False
H4_full_age,Omega.1.3,0.3362472683271641,0.14430847755295592,0.04813206754575,0.605011769255,1,False
H4_full_age,Omega.2.3,-0.4305067932634472,0.10603342460696447,-0.6237330230925,-0.20629958351250008,1,False
H4_full_age,Omega.3.3,1.0,0.0,1.0,1.0,1,False
