parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-2.10408,0.0121851,0.389419,0.383021,-2.76402,-2.08905,-1.49265,1037.72,2665.97,0.0772626,1.00124,HPreference_full_age,111,0,diag_e,4,2000,2000,0.99,3635,0.6307397624612028,False
mu[2],-1.3646,0.00272355,0.146933,0.150076,-1.60756,-1.36348,-1.12611,2948.22,4543.17,0.219506,1.00109,HPreference_full_age,111,0,diag_e,4,2000,2000,0.99,3635,0.6307397624612028,False
mu[3],2.3924,0.00543694,0.290861,0.291715,1.94696,2.37597,2.89972,2904.93,4339.32,0.216283,1.00097,HPreference_full_age,111,0,diag_e,4,2000,2000,0.99,3635,0.6307397624612028,False
mu[4],0.784756,0.00300324,0.165976,0.162729,0.526973,0.777185,1.06881,3100.48,4453.66,0.230843,1.00052,HPreference_full_age,111,0,diag_e,4,2000,2000,0.99,3635,0.6307397624612028,False
tau[1],1.59453,0.00526771,0.313125,0.299772,1.1177,1.57213,2.14038,3461.5,4664.43,0.257722,1.00028,HPreference_full_age,111,0,diag_e,4,2000,2000,0.99,3635,0.6307397624612028,False
tau[2],1.26512,0.00268478,0.12093,0.119845,1.07868,1.25798,1.47615,2019.18,3664.45,0.150336,1.00249,HPreference_full_age,111,0,diag_e,4,2000,2000,0.99,3635,0.6307397624612028,False
tau[3],2.00299,0.00459699,0.254843,0.246043,1.60893,1.98792,2.44704,3056.33,4711.64,0.227555,1.00082,HPreference_full_age,111,0,diag_e,4,2000,2000,0.99,3635,0.6307397624612028,False
tau[4],1.41932,0.00308684,0.180729,0.175132,1.14101,1.40655,1.74158,3395.13,4721.58,0.252781,1.00152,HPreference_full_age,111,0,diag_e,4,2000,2000,0.99,3635,0.6307397624612028,False
"beta[1,1]",0.256859,0.00378414,0.251092,0.241378,-0.165783,0.262376,0.662568,4425.93,5268.09,0.329527,1.00038,HPreference_full_age,111,0,diag_e,4,2000,2000,0.99,3635,0.6307397624612028,False
"beta[2,1]",-0.204149,0.00209423,0.128209,0.125967,-0.412886,-0.204232,0.00868573,3763.95,4889.93,0.280241,1.00016,HPreference_full_age,111,0,diag_e,4,2000,2000,0.99,3635,0.6307397624612028,False
"beta[3,1]",0.180737,0.00374422,0.209826,0.207609,-0.157039,0.178915,0.52558,3075.62,4119.53,0.228992,1.00068,HPreference_full_age,111,0,diag_e,4,2000,2000,0.99,3635,0.6307397624612028,False
