run,model,participant_id,n,posterior_draws,log_loss,brier,accuracy
H2_train_age,H2,sub-10317,15,32000,0.6869988793887423,0.24692884600757015,0.6
H2_train_age,H2,sub-10369,15,32000,0.6935120277789646,0.25018241649461476,0.4666666666666667
H2_train_age,H2,sub-10402,42,32000,0.6938385888842168,0.25034536566561644,0.47619047619047616
H2_train_age,H2,sub-10418,42,32000,0.6968293060729165,0.251840795635545,0.3333333333333333
H2_train_age,H2,sub-10462,14,32000,0.6898250634896977,0.24833698331756351,0.5714285714285714
H2_train_age,H2,sub-10478,41,32000,0.7030058057299606,0.25492721512816924,0.3170731707317073
H2_train_age,H2,sub-10486,15,32000,0.6981815614674765,0.2525170698579864,0.06666666666666667
H2_train_age,H2,sub-10529,40,32000,0.694121471005274,0.25048699338669805,0.475
H2_train_age,H2,sub-10541,42,32000,0.6947639535683724,0.2508075891554,0.47619047619047616
H2_train_age,H2,sub-10555,14,32000,0.6863076994587404,0.24658342451690932,0.5
H2_train_age,H2,sub-10559,40,32000,0.36495016214731496,0.100373165651173,0.95
H2_train_age,H2,sub-10572,42,32000,0.6870125872777348,0.24693536475031014,0.4523809523809524
H2_train_age,H2,sub-10581,41,32000,0.7001322303043865,0.25348894779819375,0.3902439024390244
H2_train_age,H2,sub-10584,41,32000,0.6706641597166305,0.23879714494037416,0.6585365853658537
H2_train_age,H2,sub-10585,42,32000,0.6956935608118074,0.25127263948603346,0.47619047619047616
H2_train_age,H2,sub-10589,42,32000,0.693491009274324,0.250171865742137,0.4523809523809524
H2_train_age,H2,sub-10590,42,32000,0.6869108188107395,0.24688304328621033,0.6190476190476191
H2_train_age,H2,sub-10596,41,32000,0.7058113044319355,0.2563287553576569,0.2682926829268293
H2_train_age,H2,sub-10603,42,32000,0.6880811305246552,0.24746746260879254,0.5714285714285714
H2_train_age,H2,sub-10606,41,32000,0.6995280050992237,0.2531901539124295,0.14634146341463414
H2_train_age,H2,sub-10608,15,32000,0.6761822466928282,0.24153071675996887,0.6
H2_train_age,H2,sub-10617,15,32000,0.690646945114446,0.24875023458567436,0.7333333333333333
H2_train_age,H2,sub-10636,42,32000,0.697877319698218,0.25236494660940867,0.21428571428571427
H2_train_age,H2,sub-10638,41,32000,0.6957326226140644,0.25129262531428714,0.3902439024390244
H2_train_age,H2,sub-10640,41,32000,0.6140054732682731,0.211151990534177,0.6585365853658537
H2_train_age,H2,sub-10641,15,32000,0.6993325936133135,0.25308608700520135,0.4666666666666667
H2_train_age,H2,sub-10642,42,32000,0.7034135356229442,0.25496197399498494,0.5476190476190477
H2_train_age,H2,sub-10644,41,32000,0.6824063415052443,0.24464466016451317,0.5609756097560976
H2_train_age,H2,sub-10647,42,32000,0.48443553693876784,0.1601132724404716,0.7380952380952381
H2_train_age,H2,sub-10649,39,32000,0.6967987186996202,0.2518256855774555,0.2564102564102564
H2_train_age,H2,sub-10652,42,32000,0.6940510978397487,0.2504507934970818,0.5476190476190477
H2_train_age,H2,sub-10656,42,32000,0.4853147366834434,0.15428776492354415,0.7857142857142857
H2_train_age,H2,sub-10661,42,32000,0.7035034883785067,0.25517730773994485,0.16666666666666666
