parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,max_depth_hits,min_bfmi,passed
mu[1],-0.567857,0.00886548,0.365621,0.355824,-1.13813,-0.579128,0.0668889,1727.83,2909.65,5.94366,1.0004,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
mu[2],-1.0797,0.002625,0.125794,0.123621,-1.29322,-1.07506,-0.881047,2305.01,4029.1,7.92913,1.00253,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
mu[3],-3.31631,0.00861938,0.461364,0.45169,-4.09886,-3.29914,-2.57589,2866.0,4476.05,9.8589,1.00119,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
tau[1],2.32878,0.00498197,0.344879,0.338802,1.8075,2.30537,2.93159,4914.64,5764.65,16.9061,1.00081,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
tau[2],0.869245,0.00218606,0.103801,0.101892,0.711771,0.863806,1.052,2268.36,4101.82,7.80305,1.00121,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
tau[3],2.31206,0.0045806,0.380146,0.375887,1.72813,2.28608,2.97833,6873.99,6073.81,23.6462,1.00116,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"beta[1,1]",0.181635,0.00393313,0.268266,0.273564,-0.258299,0.179777,0.625846,4681.23,5395.13,16.1032,1.00175,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"beta[2,1]",-0.0676973,0.00176841,0.102023,0.101283,-0.235355,-0.0674586,0.0998757,3331.8,4487.95,11.4612,1.00125,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"beta[3,1]",-0.186436,0.00450405,0.298415,0.298535,-0.689194,-0.181779,0.296126,4435.93,5576.32,15.2594,1.00025,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[1,1]",0.350688,0.00382589,0.292236,0.294193,0.013174,0.266873,0.920136,6229.84,5862.3,21.4303,1.00036,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[1,2]",0.175463,0.00125153,0.111459,0.092308,0.046341,0.151566,0.388252,7944.27,5956.36,27.3279,1.00069,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[1,3]",0.152674,0.0024349,0.204169,0.0871174,0.00250428,0.0680461,0.643754,8238.39,6012.68,28.3397,0.999981,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[2,1]",0.4573,0.00350676,0.283679,0.337233,0.0439066,0.420331,0.944603,6738.49,4829.5,23.1801,1.0004,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[2,2]",0.217201,0.00128373,0.126068,0.115255,0.0575115,0.195571,0.451875,8641.45,5921.62,29.7261,1.00008,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[2,3]",0.0845391,0.00207705,0.149093,0.0395888,0.00128965,0.0314937,0.37199,7609.53,5378.75,26.1764,1.0004,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[3,1]",0.48915,0.00328849,0.249006,0.284674,0.138104,0.454067,0.931072,5966.91,5023.2,20.5259,1.00082,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[3,2]",0.268056,0.00154333,0.13479,0.11272,0.0921509,0.246079,0.526496,6772.44,4579.17,23.2968,1.00003,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[3,3]",0.0538964,0.00118462,0.0758011,0.0393643,0.00156017,0.0337431,0.154946,6809.53,5758.21,23.4244,1.00024,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[4,1]",0.697837,0.00362497,0.269187,0.24861,0.164489,0.786524,0.988687,5505.43,5521.8,18.9384,0.999946,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[4,2]",0.177517,0.000793507,0.0776891,0.0777163,0.0619134,0.171804,0.315477,8369.99,4353.91,28.7923,1.00092,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[4,3]",0.0263652,0.000802526,0.0622171,0.0123256,0.000406841,0.00999432,0.0958432,8428.55,5707.11,28.9938,0.999939,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[5,1]",0.106808,0.00220411,0.15578,0.0593844,0.00276536,0.0503567,0.430351,7466.91,5075.27,25.6858,1.00066,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[5,2]",0.215255,0.00163029,0.136827,0.105565,0.0601008,0.184734,0.476577,6661.67,5522.45,22.9158,1.001,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[5,3]",0.345021,0.00340286,0.298302,0.321179,0.00761873,0.26207,0.906672,7606.71,5929.64,26.1667,1.00051,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[6,1]",0.589445,0.00325174,0.255423,0.335417,0.189804,0.592062,0.971162,5782.29,4781.6,19.8908,1.00082,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[6,2]",0.351412,0.00141207,0.129132,0.115693,0.168989,0.337272,0.582494,8046.24,5171.35,27.6787,1.00027,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[6,3]",0.0204686,0.000327609,0.0288032,0.0131601,0.000577012,0.0109978,0.0700784,9592.1,5553.58,32.9963,1.00052,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[7,1]",0.893798,0.000942554,0.0996125,0.0827159,0.687247,0.924565,0.995378,10036.5,5936.45,34.525,1.00003,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[7,2]",1.00153,0.00266343,0.275788,0.26813,0.588021,0.977784,1.49153,10694.4,5595.21,36.7882,1.00029,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[7,3]",0.00513884,8.14604e-05,0.00774345,0.00285334,9.56045e-05,0.00228432,0.020308,11833.9,6184.53,40.7081,1.00023,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[8,1]",0.548811,0.00325173,0.258556,0.324229,0.166333,0.525285,0.96738,6679.85,5717.28,22.9784,1.00132,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[8,2]",0.309916,0.00140845,0.128381,0.120481,0.126076,0.295027,0.544072,7571.61,4360.81,26.0459,1.00001,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[8,3]",0.0243896,0.000533499,0.0411547,0.0141999,0.000556441,0.011687,0.0871768,9210.68,6464.61,31.6843,1.00029,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
