run,model,age,parameter,mean,median,ci_low,ci_high
H2_full_age,H2,21.0,alpha,0.20442062507788525,0.17806722892462573,0.04797102012039813,0.5038224140608507
H2_full_age,H2,21.0,kappa,0.029530516054862063,0.026998842397343722,0.00990288128362561,0.06370260196795391
H2_full_age,H2,21.983333333333334,alpha,0.2045890642544586,0.1784629725313251,0.04875231733803204,0.5018496285284852
H2_full_age,H2,21.983333333333334,kappa,0.02897065256352937,0.02661803686846602,0.009958572711518317,0.06155013846086123
H2_full_age,H2,22.966666666666665,alpha,0.20477808432285877,0.1789043761554475,0.04928766083953978,0.5000546139803668
H2_full_age,H2,22.966666666666665,kappa,0.028428197537837725,0.02623326129336162,0.009993401596266507,0.059523201915786535
H2_full_age,H2,23.95,alpha,0.20498787384340164,0.17932353865443756,0.04993341878194728,0.49935645654644273
H2_full_age,H2,23.95,kappa,0.027902563084315025,0.025845389462649603,0.010034001996701764,0.05759976007638203
H2_full_age,H2,24.933333333333334,alpha,0.20521860987616514,0.17988533152711866,0.05050864860938426,0.4972082472620296
H2_full_age,H2,24.933333333333334,kappa,0.027393184635951848,0.025455041909518007,0.0100776985091942,0.05575259558462414
H2_full_age,H2,25.0,alpha,0.2052350153780481,0.179908286160802,0.05058659732755552,0.49708923514514697
H2_full_age,H2,25.0,kappa,0.027359225259665342,0.025432884550390784,0.010084683581375617,0.05557129195807603
H2_full_age,H2,25.916666666666664,alpha,0.20547045755023782,0.1804111807609189,0.05119757084852224,0.49593560970097045
H2_full_age,H2,25.916666666666664,kappa,0.026899519959307568,0.025119069096898143,0.010122042665302594,0.054062534938205814
H2_full_age,H2,26.9,alpha,0.20574356964404608,0.18082018406955994,0.05177791719084963,0.49432310138686864
H2_full_age,H2,26.9,kappa,0.026421048207943804,0.02473743371852785,0.010144395794759752,0.0523812087166059
H2_full_age,H2,27.883333333333333,alpha,0.20603808617821806,0.1811225906271935,0.052238779636633315,0.49335394582713954
H2_full_age,H2,27.883333333333333,kappa,0.025957269019901176,0.02437788739478873,0.010194595921209627,0.05085245511782433
H2_full_age,H2,28.866666666666667,alpha,0.20635413402249014,0.1814093774697897,0.05250537461901998,0.4921644730100182
H2_full_age,H2,28.866666666666667,kappa,0.02550770165705548,0.024028856547476378,0.010223408099353643,0.0493844425156978
H2_full_age,H2,29.85,alpha,0.20669182651820123,0.18192970037616718,0.05306735139120358,0.4915578271121252
H2_full_age,H2,29.85,kappa,0.025071884184302503,0.02366843119182109,0.010233375846148302,0.04788916150457134
H2_full_age,H2,30.833333333333332,alpha,0.20705126311794697,0.18211905600536243,0.0537884829350966,0.49055588774628855
H2_full_age,H2,30.833333333333332,kappa,0.024649372686627907,0.02332977537206224,0.010256304247126554,0.04664647935816353
H2_full_age,H2,31.816666666666666,alpha,0.20743252904397966,0.18264337177787687,0.053999367043108044,0.4907900682193016
H2_full_age,H2,31.816666666666666,kappa,0.02423974052221982,0.022978547701090465,0.010263095266096721,0.0455601532745463
H2_full_age,H2,32.8,alpha,0.20783569496693954,0.1830498767973945,0.05428672605348983,0.49033847188445406
H2_full_age,H2,32.8,kappa,0.02384257760987766,0.022648817399257476,0.010249997612807028,0.044489404046715385
H2_full_age,H2,33.78333333333333,alpha,0.20826081670648938,0.18372981034781127,0.05440447144531056,0.4909143005906474
H2_full_age,H2,33.78333333333333,kappa,0.02345748974906115,0.022319229017558014,0.010207419864859598,0.04337468295151471
H2_full_age,H2,34.766666666666666,alpha,0.2087079349553974,0.18427993605945442,0.054618540631822046,0.4909569820423407
H2_full_age,H2,34.766666666666666,kappa,0.023084097971009326,0.021986196947939966,0.010156395289394687,0.042370256452705535
H2_full_age,H2,35.75,alpha,0.209177075028575,0.18426015386192462,0.0549458228541148,0.4907508766419566
H2_full_age,H2,35.75,kappa,0.022722037919440403,0.021663896687987537,0.010103095770910685,0.04153755524759907
H2_full_age,H2,36.733333333333334,alpha,0.2096682466385252,0.18490985735160695,0.055023471875176054,0.4905182987318319
H2_full_age,H2,36.733333333333334,kappa,0.02237095925942001,0.021348019253263052,0.010036005793048114,0.040610081898692585
H2_full_age,H2,37.71666666666667,alpha,0.2101814436985999,0.1855111611047125,0.055434183600983955,0.4905847873237971
H2_full_age,H2,37.71666666666667,kappa,0.022030525113058155,0.021069437674071732,0.00999854346872995,0.03975331009363126
H2_full_age,H2,38.7,alpha,0.2107166441553972,0.18622446676824445,0.055731598683115224,0.491009413661505
H2_full_age,H2,38.7,kappa,0.02170041152076375,0.020766772659730273,0.009903434109796954,0.03897196956344113
H2_full_age,H2,39.68333333333334,alpha,0.21127380985155753,0.1866105091863966,0.05579740767864026,0.4921211792254713
H2_full_age,H2,39.68333333333334,kappa,0.021380306926850886,0.02046815288333937,0.009814503877863243,0.03826983258814834
H2_full_age,H2,40.0,alpha,0.2114579033267299,0.18691376723524522,0.055876209990012575,0.4925950195215154
H2_full_age,H2,40.0,kappa,0.02127930331660309,0.020359187299103833,0.009791454920189088,0.038079218621343
H2_full_age,H2,40.666666666666664,alpha,0.21185288642013989,0.18728695086393524,0.05573685394843205,0.49459147459382075
H2_full_age,H2,40.666666666666664,kappa,0.02106991168835258,0.02016409780699922,0.009717109154211527,0.037724147838715825
H2_full_age,H2,41.65,alpha,0.2124538032116784,0.18780521332634265,0.056009763139282215,0.49722980747581774
H2_full_age,H2,41.65,kappa,0.02076893760595608,0.01988106784570502,0.009585686951607051,0.0372230383779849
