condition,replicate,method,level,parameter,n,rmse,bias,pearson,spearman,ceiling_rate,interval_coverage,true,probability_positive,mean,median,ci_low,ci_high
negative,2,hierarchical,participant,alpha,111.0,0.10840131529334758,0.014613901210408396,0.5761823435133195,0.5128290628290628,,0.963963963963964,,,,,,
negative,2,MLE_theta10,participant,alpha,111.0,0.2881493973783567,0.0687326817308993,0.2752332723384361,0.3176697178608487,,,,,,,,
negative,2,hierarchical,participant,kappa,111.0,0.15370306124349276,-0.010018272517767194,0.7771127445795516,0.7142330642330642,,0.972972972972973,,,,,,
negative,2,MLE_theta10,participant,kappa,111.0,0.2261944457530852,0.0341489176954578,0.7469180846601733,0.6504826254826255,,,,,,,,
negative,2,hierarchical,participant,theta,111.0,0.5699550652694687,-0.058030952676781475,0.6916650044703789,0.7242190242190242,0.0,0.963963963963964,,,,,,
negative,2,MLE_theta10,participant,theta,111.0,2.995596504944412,1.061333851156335,0.42958263483010595,0.5550937077152599,0.10810810810810811,,,,,,,
negative,2,hierarchical,participant,friend_value_probability_effect,111.0,0.07465752164952724,-0.01378887270856303,0.7707813548091001,0.7520007020007019,,0.9459459459459459,,,,,,
negative,2,MLE_theta10,participant,friend_value_probability_effect,111.0,0.10750723945557032,0.01236076962438261,0.7134834995637691,0.6968803481764073,,,,,,,,
negative,2,hierarchical,population,mu_alpha,,,0.09843237989394993,,,,1.0,-1.0,0.0,-0.9015676201060501,-0.90100802775,-1.169241990875,-0.63099140469
negative,2,hierarchical,population,mu_kappa,,,-0.07201206363781254,,,,1.0,-1.2,0.0,-1.2720120636378125,-1.2670492654999999,-1.4773287724,-1.0863518957250002
negative,2,hierarchical,population,mu_theta,,,-0.07534171820517499,,,,1.0,1.0,1.0,0.924658281794825,0.9201310817999999,0.5830671553825001,1.28845078335
negative,2,hierarchical,population,tau_alpha,,,0.019887497555924893,,,,1.0,0.65,1.0,0.6698874975559249,0.6631269021999999,0.44883469460250003,0.9252326159325
negative,2,hierarchical,population,tau_kappa,,,0.013134875623924902,,,,1.0,0.65,1.0,0.6631348756239249,0.65835580275,0.5078041033525,0.8484604249774998
negative,2,hierarchical,population,tau_theta,,,-0.0015624152448999729,,,,1.0,1.0,1.0,0.9984375847551,0.9880293838,0.6869536295975001,1.374548908
negative,2,hierarchical,population,beta_alpha,,,0.05275033260800168,,,,1.0,0.0,0.68,0.05275033260800168,0.053241022060000004,-0.1766129158975,0.28762848010000003
negative,2,hierarchical,population,beta_kappa,,,-0.10370590689104657,,,,1.0,0.0,0.1165,-0.10370590689104657,-0.10176520145000001,-0.28534214353250004,0.06427373203474986
negative,2,hierarchical,population,beta_theta,,,0.006710848216243515,,,,1.0,-0.35,0.01175,-0.34328915178375646,-0.3414774719,-0.6444404154875,-0.04609949786100007
negative,2,hierarchical,population,friend_probability_change_25_to_75,,,-0.03639069198668962,,,,1.0,-0.11066878286828088,,-0.1470594748549705,-0.14723389857105912,-0.2247171995297707,-0.06815423881374348
