model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,alpha,kappa,theta,participant_id,heldout_n,heldout_log_loss,heldout_accuracy,heldout_brier,split,theta_stranger
M4_theta10,27,3,-10.55673124843431,27.11346249686862,28.156940757738187,31.00097309488161,0.27562115026738426,0.4359205992550469,True,100,100,30,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.011509603269872637,14.8603455132855,0.9680451506481542,sub-10317,15,0.2988134164768082,0.8666666666666667,0.0988529603119649,chronological_65_percent,
M5_theta10,27,3,-9.520294513870827,25.040589027741653,26.08406728861122,28.92809962575464,0.33100122942108384,0.49130067840874647,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.40523004087375436,0.8154970990889434,10.0,sub-10317,15,0.35856510183962625,0.8,0.12586120908285686,chronological_65_percent,
M6_theta10,27,3,-15.725799200898182,37.45159840179636,38.49507666266592,41.339108999809355,-0.0005784312525302773,0.15972101773513225,True,100,100,74,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.0796018060243808,6.685544374316213,sub-10317,15,0.9547765666414487,0.6,0.2909057252629401,chronological_65_percent,
M7_theta10,27,4,-8.53344592622652,25.06689185245304,26.885073670634856,30.250239316470356,0.33029850803640814,0.5440311066866249,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.41080596444722545,1.1857724611934317,10.0,sub-10317,15,0.6487926964875982,0.7333333333333333,0.188127387989922,chronological_65_percent,0.48326087287601804
M5_theta10,26,3,-13.752878615691662,33.50575723138333,34.59666632229242,37.28004684544777,0.07041173463564895,0.2368765470459141,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.41251078347223763,0.23195261384904112,10.0,sub-10369,15,0.6053673695380843,0.7333333333333333,0.21100129963289063,chronological_65_percent,
M6_theta10,26,3,-17.560280383785898,41.120560767571796,42.21146985848089,44.894850381636246,-0.14085440572979038,0.02561040668047465,True,100,100,30,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.015890765747343723,10.0,sub-10369,15,0.6423395328215499,0.6666666666666666,0.22655839244353485,chronological_65_percent,
M7_theta10,26,4,-13.752878615691662,35.50575723138333,37.41051913614523,40.538143383469254,0.014923463832227276,0.2368765470459141,True,100,100,100,theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.41251078476479874,0.23195261161490266,10.0,sub-10369,15,0.6053673677080432,0.7333333333333333,0.21100129937417636,chronological_65_percent,0.0
M4_theta10,41,3,-26.935576685395976,59.87115337079195,60.5198020194406,65.01186957090488,-0.05336361049200121,0.052199441280362024,True,100,100,90,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.10555116579871908,0.09596132526271883,4.2149478804141305,sub-10402,42,0.6397968220365594,0.5952380952380952,0.22517414163664112,run_1_to_2,
M5_theta10,41,3,-28.100305720184338,62.200611440368675,62.84926008901732,67.3413276404816,-0.09434772762538068,0.011215324146982453,True,100,100,91,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.15877590162154584,0.017348440525229318,10.0,sub-10402,42,0.6553054304097724,0.5952380952380952,0.2314558895200925,run_1_to_2,
M6_theta10,41,3,-26.62101261118041,59.24202522236082,59.89067387100947,64.38274142247374,-0.04229482927462017,0.063268222497743,True,100,100,92,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.13936683609145475,0.029567343163800924,10.0,sub-10402,42,0.6452401865544455,0.6428571428571429,0.2266779598962207,run_1_to_2,
M7_theta10,41,4,-26.414503900397154,60.82900780079431,61.94011891190542,67.68329606761154,-0.07021594995612224,0.07053478574036198,True,100,100,89,theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.17225898672147438,0.04005964289590728,4.804986529918073,sub-10402,42,0.6744825124829542,0.6428571428571429,0.23781588456905617,run_1_to_2,10.0
M4_theta10,42,3,-27.150505772013194,60.30101154402639,60.932590491394805,65.5140203988765,-0.035666313275654796,0.06738333250212836,True,100,99,80,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.028683031423088805,10.0,sub-10418,42,0.663513846609296,0.7142857142857143,0.23444514168589534,run_1_to_2,
M5_theta10,42,3,-20.26240978115776,46.52481956231552,47.15639850968394,51.73782841716563,0.2009389707046853,0.30398861648246844,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.26539789591062457,10.0,sub-10418,42,0.469800333079441,0.6190476190476191,0.16709249258726797,run_1_to_2,
M6_theta10,42,3,-23.015533385311677,52.031066770623355,52.66264571799177,57.24407562547346,0.10636949997451374,0.2094191457522968,True,100,100,94,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.01997674058553301,0.38337146511201536,2.158851842820906,sub-10418,42,0.790308626446942,0.5714285714285714,0.27306620164153683,run_1_to_2,
M7_theta10,42,4,-18.526767023699716,45.05353404739943,46.13461512848051,52.0042125205329,0.226208212563033,0.3636077402667438,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.4669065568326144,10.0,sub-10418,42,0.564824358531227,0.5714285714285714,0.21455649035443777,run_1_to_2,1.009865902514972
M4_theta10,27,3,-17.33995500251075,40.6799100050215,41.72338826589106,44.567420603034485,-0.0868278597787748,0.07347158920888774,True,100,100,28,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.04413658808255762,1.905421535487257,0.5960337048138338,sub-10462,14,0.7147645739824791,0.5,0.260250306565988,chronological_65_percent,
