model,n,converged,median_near_best,any_boundary
M0,111,111,1.0,0.0
M1,111,111,100.0,0.6216216216216216
M2,111,111,100.0,0.6486486486486487
M3,103,103,27.0,0.46601941747572817
M4,103,103,96.0,0.5145631067961165
M5,111,111,99.0,0.6756756756756757
M6,111,111,97.0,0.6486486486486487
M7,111,111,99.0,0.7747747747747747
M8,111,111,81.0,0.6396396396396397
