run,model,parameter,quantity,term,probability_positive,mean,median,ci_low,ci_high
H5_full_age_bounded,H5,alpha,latent_slope,age_z,0.35603125,-0.07984408908798402,-0.07230969713499999,-0.5037382642199999,0.30570464545499965
H5_full_age_bounded,H5,kappa,latent_slope,age_z,0.15621875,-0.1279683532794661,-0.1291239998,-0.3771953180225,0.12182964488249988
H5_full_age_bounded,H5,theta,latent_slope,age_z,0.7621875,0.21335712603783827,0.21236216235,-0.3672033655275,0.7957347769049999
H5_full_age_bounded,H5,alpha,latent_age_variance_fraction,age,,0.03568584465302483,0.01617692436743206,3.387433535409634e-05,0.17470370342956645
H5_full_age_bounded,H5,kappa,latent_age_variance_fraction,age,,0.017801806333382957,0.01028169326784284,2.438566718082789e-05,0.07624745663007643
H5_full_age_bounded,H5,theta,latent_age_variance_fraction,age,,0.015539338774405395,0.007708157605379195,1.6855275900593855e-05,0.07185755677578448
H5_full_age_bounded,H5,alpha,natural_change_25_to_75,age,0.35603125,-0.010362185422531103,-0.012231170577701261,-0.07408401429601454,0.06430983176668151
H5_full_age_bounded,H5,kappa,natural_change_25_to_75,age,0.15621875,-0.08268116902423459,-0.08463357616843319,-0.2467194701034734,0.08940674243839324
H5_full_age_bounded,H5,theta,natural_change_25_to_75,age,0.7621875,1.260178866740935,1.3342210308896214,-2.422963646200732,4.528658595101201
H5_full_age_bounded,H5,friend_value_probability_effect,natural_change_25_to_75,age,0.23171875,-0.045657466619470455,-0.04476511303326422,-0.17271526526741862,0.07505478400284066
