model,parameter,n,mean,median,minimum,maximum,lower_bound,upper_bound,lower_n,lower_percent,upper_n,upper_percent,within_1pct_lower_n,within_1pct_lower_percent,within_1pct_upper_n,within_1pct_upper_percent
M1,kappa,111,0.19766007441010922,1e-05,1e-05,2.105346052611056,1e-05,20.0,69,62.16216216216216,0,0.0,78,70.27027027027027,0,0.0
M2,alpha,111,0.4200007060809901,0.3057558036552023,0.0,1.0,0.0,1.0,23,20.72072072072072,27,24.324324324324326,25,22.52252252252252,27,24.324324324324326
M2,kappa,111,0.23170095477074656,0.048643787026212,1e-05,2.1053460523053147,1e-05,20.0,49,44.14414414414414,0,0.0,77,69.36936936936937,0,0.0
M3,alpha,103,0.0767795448426335,0.0149390217473546,0.0,1.0,0.0,1.0,36,34.95145631067961,3,2.912621359223301,46,44.66019417475729,3,2.912621359223301
M3,kappa,103,2.417959797393329,1.0432858937309777,1e-05,20.0,1e-05,20.0,1,0.9708737864077669,4,3.8834951456310676,6,5.825242718446602,4,3.8834951456310676
M3,phi,103,1.6929612490574837,1.3143329705140478,0.0,5.0,0.0,5.0,5,4.854368932038835,6,5.825242718446602,5,4.854368932038835,6,5.825242718446602
M4,alpha,103,0.07831496666886255,0.0113622471329449,0.0,1.0,0.0,1.0,33,32.038834951456316,2,1.9417475728155338,50,48.54368932038835,2,1.9417475728155338
M4,kappa,103,4.183905859762573,1.2729792125799109,0.0129784494544558,20.0,1e-05,20.0,0,0.0,8,7.766990291262135,12,11.650485436893204,9,8.737864077669903
M4,theta,103,1.8985567330077455,0.9158265997262686,0.0,5.0,0.0,5.0,3,2.912621359223301,25,24.271844660194176,4,3.8834951456310676,25,24.271844660194176
M5,alpha,111,0.1344086305661822,0.0739415511253096,0.0,1.0,0.0,1.0,29,26.126126126126124,1,0.9009009009009009,33,29.72972972972973,1,0.9009009009009009
M5,kappa,111,0.7437100836501714,0.3004005843969202,1e-05,8.839367927457113,1e-05,20.0,1,0.9009009009009009,0,0.0,38,34.234234234234236,0,0.0
M5,theta,111,3.2505018764473195,5.0,0.0,5.0,0.0,5.0,3,2.7027027027027026,62,55.85585585585585,3,2.7027027027027026,62,55.85585585585585
M6,alpha,111,0.12373992451633391,0.0404978695892076,0.0,1.0,0.0,1.0,40,36.03603603603604,2,1.8018018018018018,46,41.44144144144144,2,1.8018018018018018
M6,kappa,111,1.3051838825879416,0.3410818355008592,0.0094960367057952,20.0,1e-05,20.0,0,0.0,3,2.7027027027027026,35,31.53153153153153,3,2.7027027027027026
M6,theta,111,2.420174792250902,1.0278984823316335,0.0,5.0,0.0,5.0,6,5.405405405405405,43,38.73873873873874,6,5.405405405405405,43,38.73873873873874
M7,alpha,111,0.11234981373288358,0.0618220282821395,0.0,0.9708823610566104,0.0,1.0,32,28.82882882882883,0,0.0,39,35.13513513513514,0,0.0
M7,kappa,111,1.2900645264566544,0.3921101829183799,0.0358013879280163,20.0,1e-05,20.0,0,0.0,1,0.9009009009009009,22,19.81981981981982,2,1.8018018018018018
M7,theta,111,3.0244447174955105,4.255879419100481,0.0,5.0,0.0,5.0,4,3.6036036036036037,52,46.846846846846844,4,3.6036036036036037,53,47.74774774774775
M7,theta_stranger,111,1.4935858959187085,0.4052432601321505,0.0,5.0,0.0,5.0,24,21.62162162162162,16,14.414414414414415,26,23.423423423423422,16,14.414414414414415
M8,alpha,111,0.4852779166124314,0.3411127501076632,0.0,1.0,0.0,1.0,10,9.00900900900901,31,27.927927927927925,11,9.90990990990991,31,27.927927927927925
M8,alpha_negative,111,0.1709226552746427,0.0354159631358024,0.0,1.0,0.0,1.0,46,41.44144144144144,6,5.405405405405405,48,43.24324324324324,6,5.405405405405405
M8,kappa,111,0.6532137812608569,0.5279994080397112,0.003897526822813,2.1239193490673607,1e-05,20.0,0,0.0,0,0.0,24,21.62162162162162,0,0.0
