parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,max_depth_hits,min_bfmi,passed
mu[1],-1.00283,0.00395651,0.158182,0.159817,-1.26544,-1.0018,-0.748489,1614.58,2770.05,15.1531,1.00598,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
mu[2],-1.28487,0.0021615,0.109243,0.107009,-1.47296,-1.27996,-1.11121,2609.55,3982.96,24.4911,1.00047,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
mu[3],0.877314,0.00356179,0.193533,0.186203,0.566764,0.870875,1.20515,3014.82,4202.37,28.2946,1.00012,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
tau[1],0.785423,0.00259171,0.144641,0.141091,0.560845,0.778726,1.03927,3023.64,3862.72,28.3774,1.00181,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
tau[2],0.701411,0.00202891,0.0940959,0.0926915,0.554775,0.696591,0.860919,2185.47,3473.6,20.511,1.00139,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
tau[3],1.09085,0.0035514,0.188307,0.180545,0.798402,1.08011,1.4233,2828.74,4750.11,26.5482,1.00102,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"beta[1,1]",0.0872886,0.002418,0.133504,0.131506,-0.131491,0.0878766,0.307159,3061.15,5077.58,28.7295,1.0001,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"beta[2,1]",-0.0770653,0.00166543,0.0954645,0.0958369,-0.231028,-0.0773776,0.0806851,3293.47,4551.71,30.9098,1.0004,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"beta[3,1]",-0.205184,0.00254934,0.163511,0.161943,-0.475135,-0.202552,0.0592737,4138.01,4706.11,38.836,1.00004,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"natural[1,1]",0.313608,0.00231708,0.167261,0.165982,0.0885416,0.286294,0.634331,5310.17,6170.6,49.8368,1.00013,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"natural[1,2]",0.186203,0.000990786,0.0928929,0.087833,0.0622983,0.171573,0.361803,7715.46,4671.88,72.411,1.00037,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"natural[1,3]",1.21644,0.00803274,0.691391,0.634859,0.311508,1.09304,2.49729,7665.16,5838.69,71.9389,1.00063,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"natural[2,1]",0.197484,0.00136463,0.10098,0.0929018,0.0640418,0.182154,0.383145,5998.8,5333.33,56.2998,1.00053,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"natural[2,2]",0.198924,0.00108561,0.100151,0.0917741,0.06902,0.181785,0.385925,8027.8,5539.33,75.3423,1.00075,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"natural[2,3]",1.89325,0.00912776,0.809409,0.771128,0.721199,1.80889,3.35546,7978.56,5705.9,74.8802,1.00048,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"natural[3,1]",0.276456,0.000937767,0.0714993,0.0705205,0.167014,0.272107,0.398775,6006.68,5323.74,56.3738,1.00023,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"natural[3,2]",0.874939,0.00352085,0.263219,0.256357,0.471567,0.85583,1.3377,5291.0,4521.07,49.657,0.99981,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"natural[3,3]",0.486749,0.00214281,0.188361,0.176714,0.197278,0.477207,0.812554,7919.39,5539.19,74.3249,1.00019,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"natural[4,1]",0.344756,0.00285763,0.179649,0.185248,0.0966706,0.317603,0.684175,4021.59,5545.68,37.7433,1.00046,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
"natural[4,2]",0.201135,0.000885548,0.0804404,0.078794,0.0847939,0.192001,0.342907,7808.7,5709.16,73.286,1.00031,H5_recovery_zero_0,111,0,0,0.7025563889996439,True
