parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-0.98889,0.00453741,0.141321,0.140784,-1.21847,-0.986743,-0.756612,979.754,1814.27,3.98638,1.0,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
mu[2],-1.14066,0.00239986,0.102381,0.102401,-1.31348,-1.13608,-0.981133,1879.7,3071.55,7.64806,1.00063,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
mu[3],0.77331,0.0021765,0.13797,0.134597,0.552957,0.770894,1.00189,4144.62,4443.04,16.8635,1.00048,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
tau[1],0.606043,0.00257767,0.132845,0.131199,0.399391,0.600054,0.83333,2655.16,4486.52,10.8032,1.00075,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
tau[2],0.692125,0.00223738,0.0885574,0.0886067,0.555325,0.688403,0.84308,1615.76,2886.45,6.57413,1.00088,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
tau[3],0.561567,0.00318416,0.145545,0.142699,0.332387,0.555258,0.804974,2095.67,2713.72,8.52679,1.00133,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
"beta[1,1]",-0.12033,0.00164203,0.104984,0.101569,-0.292679,-0.121076,0.0527459,4215.67,5625.29,17.1526,1.00006,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
"beta[2,1]",0.102399,0.0015007,0.0856151,0.0854474,-0.0382996,0.101102,0.246647,3261.92,4513.44,13.272,1.00057,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
"beta[3,1]",0.219358,0.00140926,0.109917,0.108602,0.0433125,0.218243,0.404082,6134.57,6211.29,24.9601,1.00055,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
"natural[1,1]",0.315584,0.00138232,0.116308,0.108333,0.1476,0.301948,0.527233,6941.21,5361.85,28.2421,1.00056,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
"natural[1,2]",0.303175,0.00132885,0.129568,0.124203,0.117434,0.289972,0.53841,8480.57,5083.12,34.5054,1.00006,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
"natural[1,3]",1.18469,0.00386709,0.37112,0.342194,0.625954,1.15706,1.84184,9811.68,6060.4,39.9214,1.0005,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
"natural[2,1]",0.336571,0.00122356,0.105019,0.0992082,0.17875,0.328255,0.525377,7352.09,5614.28,29.9139,1.0001,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
"natural[2,2]",0.42857,0.00219228,0.208451,0.197163,0.144746,0.401455,0.817561,7941.09,5382.63,32.3104,0.999974,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
"natural[2,3]",0.846591,0.00307128,0.280737,0.272511,0.418125,0.835268,1.3275,8354.5,6326.24,33.9925,1.00041,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
"natural[3,1]",0.181357,0.00191997,0.0925045,0.0789585,0.0660046,0.163647,0.359661,2738.3,3885.05,11.1415,1.00043,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
"natural[3,2]",0.170149,0.0010294,0.0847218,0.0776265,0.0586217,0.156271,0.329107,5798.43,4918.68,23.5924,1.00048,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
"natural[3,3]",1.36743,0.00477779,0.434498,0.410547,0.728296,1.32513,2.14199,8431.06,6318.77,34.304,0.99995,H5_recovery_positive_2,111,0,diag_e,4,2000,2000,0.95,0,0.714772774833645,True
