participant_id,partner,trial_bin,high_probability,investment,rt,n
sub-10317,computer,1,0.5,5.0,1.97712535,2
sub-10317,computer,2,0.2857142857142857,2.5714285714285716,2.049399,7
sub-10317,computer,3,0.0,0.8,2.1518242,5
sub-10317,friend,1,1.0,8.0,1.9517498,4
sub-10317,friend,2,1.0,5.2,1.6782247,5
sub-10317,friend,3,1.0,5.2,2.0628736,5
sub-10317,stranger,1,0.375,3.0,2.1144036,8
sub-10317,stranger,2,0.5,5.0,1.8788352000000001,2
sub-10317,stranger,3,0.25,2.0,2.2666603,4
sub-10369,computer,1,0.5,5.0,1.92859175,2
sub-10369,computer,2,0.42857142857142855,3.4285714285714284,1.7614108,7
sub-10369,computer,3,0.8,4.4,1.4528536,5
sub-10369,friend,1,1.0,8.0,1.7067405999999998,4
sub-10369,friend,2,0.8,4.0,1.4070374,5
sub-10369,friend,3,0.8,4.4,1.6636356,5
sub-10369,stranger,1,0.42857142857142855,3.4285714285714284,2.6444528,7
sub-10369,stranger,2,0.0,2.0,2.01795085,2
sub-10369,stranger,3,0.5,4.0,1.81130675,4
sub-10402,computer,1,0.5,3.6666666666666665,2.49624835,6
sub-10402,computer,2,1.0,3.3333333333333335,1.741652,3
sub-10402,computer,3,0.4,4.8,1.9608446,5
sub-10402,computer,4,0.42857142857142855,3.4285714285714284,1.9621307,7
sub-10402,computer,5,1.0,2.0,2.0950463,1
sub-10402,computer,6,0.3333333333333333,2.6666666666666665,2.143157,6
sub-10402,friend,1,0.5,3.6666666666666665,2.36262515,6
sub-10402,friend,2,0.5,4.0,1.71151875,4
sub-10402,friend,3,1.0,5.333333333333333,1.8952626,3
sub-10402,friend,4,1.0,5.2,1.8445249,5
sub-10402,friend,5,0.6666666666666666,5.333333333333333,1.8315374000000002,6
sub-10402,friend,6,0.6666666666666666,4.666666666666667,2.1370244,3
sub-10402,stranger,1,0.0,3.0,2.5909145000000002,2
sub-10402,stranger,2,0.8333333333333334,4.666666666666667,1.791397,6
sub-10402,stranger,3,0.8333333333333334,5.666666666666667,2.1310371,6
sub-10402,stranger,4,0.0,4.0,1.7853126499999998,2
sub-10402,stranger,5,0.5714285714285714,4.0,2.3190327,7
sub-10402,stranger,6,0.8,4.0,1.9607863,5
sub-10418,computer,1,0.6666666666666666,4.333333333333333,2.07317775,6
sub-10418,computer,2,0.5,1.0,2.51628585,2
sub-10418,computer,3,0.16666666666666666,2.6666666666666665,2.2091337500000003,6
sub-10418,computer,4,0.8,4.4,2.259862,5
sub-10418,computer,5,1.0,6.0,2.07465555,4
sub-10418,computer,6,0.4,3.2,2.3553045,5
sub-10418,friend,1,1.0,6.666666666666667,1.775002,3
sub-10418,friend,2,1.0,5.75,2.2538822,8
sub-10418,friend,3,1.0,6.0,2.0303931,3
sub-10418,friend,4,1.0,4.0,2.03463915,4
sub-10418,friend,5,1.0,7.2,1.9984497,5
sub-10418,friend,6,1.0,6.4,1.876764,5
sub-10418,stranger,1,1.0,6.0,1.9510577,5
sub-10418,stranger,2,0.75,4.5,2.4020709,4
sub-10418,stranger,3,0.4,2.8,1.7260438,5
sub-10418,stranger,4,0.6,2.8,2.090824,5
sub-10418,stranger,5,0.4,3.2,2.0068572,5
sub-10418,stranger,6,0.25,1.5,2.1931203,4
sub-10462,computer,1,0.5,3.5,2.3177142,4
sub-10462,computer,2,0.25,2.0,2.28623405,4
sub-10462,computer,3,0.0,1.6,2.1028802,5
sub-10462,friend,1,0.6666666666666666,5.0,2.23935915,6
sub-10462,friend,2,0.5,3.3333333333333335,1.6726948,6
sub-10462,friend,3,1.0,3.0,1.85926935,2
sub-10462,stranger,1,0.5,3.0,2.24957465,4
sub-10462,stranger,2,0.0,2.0,1.85127585,4
sub-10462,stranger,3,0.3333333333333333,2.6666666666666665,1.9089303,6
sub-10478,computer,1,0.4,2.4,1.9050701,5
sub-10478,computer,2,0.6666666666666666,2.0,1.5657458,3
sub-10478,computer,3,0.6,6.0,2.1701746,5
sub-10478,computer,4,0.5714285714285714,4.857142857142857,2.0609677,7
sub-10478,computer,5,1.0,2.0,1.4241217,1
sub-10478,computer,6,0.3333333333333333,3.3333333333333335,1.7134143499999999,6
sub-10478,friend,1,1.0,6.333333333333333,1.7896372,6
sub-10478,friend,2,0.8,5.2,1.8223869,5
sub-10478,friend,3,1.0,5.333333333333333,1.286255,3
sub-10478,friend,4,1.0,5.2,1.4153255,5
sub-10478,friend,5,1.0,6.333333333333333,1.72909295,6
sub-10478,friend,6,1.0,6.666666666666667,1.386907,3
sub-10478,stranger,1,0.5,4.0,1.8241238,2
sub-10478,stranger,2,0.6666666666666666,4.0,1.8433467499999998,6
sub-10478,stranger,3,0.3333333333333333,3.0,1.7337221,6
sub-10478,stranger,4,0.5,6.0,2.05518865,2
sub-10478,stranger,5,0.5714285714285714,3.4285714285714284,1.4687388,7
