participant_id,run,observed_trials,valid,feedback,expected_trials
sub-10317,1.0,42,42,35,42
sub-10369,1.0,42,41,38,42
sub-10402,1.0,42,41,41,42
sub-10402,2.0,42,42,41,42
sub-10418,1.0,42,42,40,42
sub-10418,2.0,42,42,40,42
sub-10462,1.0,42,41,33,42
sub-10478,1.0,42,41,36,42
sub-10478,2.0,42,41,39,42
sub-10486,1.0,42,42,42,42
sub-10529,1.0,42,41,39,42
sub-10529,2.0,42,40,40,42
sub-10541,1.0,42,40,36,42
sub-10541,2.0,42,42,42,42
sub-10555,1.0,42,41,37,42
sub-10559,1.0,42,38,27,42
sub-10559,2.0,42,40,24,42
sub-10572,1.0,42,41,36,42
sub-10572,2.0,42,42,36,42
sub-10581,1.0,42,38,29,42
sub-10581,2.0,42,41,36,42
sub-10584,1.0,42,42,35,42
sub-10584,2.0,42,41,34,42
sub-10585,1.0,42,42,39,42
sub-10585,2.0,42,42,39,42
sub-10589,1.0,42,42,42,42
sub-10589,2.0,42,42,41,42
sub-10590,1.0,42,42,37,42
sub-10590,2.0,42,42,34,42
sub-10596,1.0,42,41,39,42
sub-10596,2.0,42,41,37,42
sub-10603,1.0,42,42,33,42
sub-10603,2.0,42,42,28,42
sub-10606,1.0,42,40,40,42
sub-10606,2.0,42,41,41,42
sub-10608,1.0,42,42,33,42
sub-10617,1.0,42,42,39,42
sub-10636,1.0,42,40,38,42
sub-10636,2.0,42,42,40,42
sub-10638,1.0,42,42,42,42
sub-10638,2.0,42,41,41,42
sub-10640,1.0,42,42,30,42
sub-10640,2.0,42,41,28,42
sub-10641,1.0,42,42,37,42
sub-10642,1.0,42,42,32,42
sub-10642,2.0,42,42,32,42
sub-10644,1.0,42,41,29,42
sub-10644,2.0,42,41,31,42
sub-10647,1.0,42,41,28,42
sub-10647,2.0,42,42,28,42
sub-10649,1.0,42,38,38,42
sub-10649,2.0,42,39,39,42
sub-10652,1.0,42,42,39,42
sub-10652,2.0,42,42,42,42
sub-10656,1.0,42,42,33,42
sub-10656,2.0,42,42,31,42
sub-10657,1.0,42,41,36,42
sub-10657,1.1,42,42,37,42
sub-10661,1.0,42,42,41,42
sub-10661,2.0,42,42,42,42
sub-10663,1.0,42,38,33,42
sub-10663,2.0,42,38,37,42
sub-10668,1.0,42,37,29,42
sub-10673,1.0,42,42,37,42
sub-10673,2.0,42,42,36,42
sub-10674,1.0,42,42,42,42
sub-10674,2.0,42,42,42,42
sub-10677,1.0,42,40,34,42
sub-10677,2.0,42,42,36,42
sub-10685,1.0,42,41,30,42
sub-10685,2.0,42,42,29,42
sub-10690,1.0,42,41,37,42
sub-10691,1.0,42,42,42,42
sub-10691,2.0,42,42,40,42
sub-10700,1.0,42,42,31,42
sub-10700,2.0,42,42,28,42
sub-10701,1.0,42,41,27,42
sub-10701,2.0,42,42,28,42
sub-10713,1.0,42,39,30,42
sub-10713,2.0,42,42,32,42
sub-10716,1.0,42,42,41,42
sub-10716,2.0,42,42,41,42
sub-10718,1.0,42,42,42,42
sub-10718,2.0,42,42,42,42
sub-10720,1.0,42,42,39,42
sub-10720,2.0,42,42,40,42
sub-10723,1.0,42,41,35,42
sub-10723,2.0,42,42,33,42
sub-10741,1.0,42,42,35,42
sub-10741,2.0,42,41,35,42
sub-10748,1.0,42,42,40,42
sub-10748,2.0,42,42,42,42
sub-10767,1.0,42,42,36,42
sub-10767,2.0,42,42,36,42
sub-10770,1.0,42,41,39,42
sub-10770,2.0,42,42,39,42
sub-10777,1.0,2,2,1,42
sub-10777,1.1,42,42,32,42
sub-10781,1.0,42,41,34,42
sub-10781,2.0,42,42,30,42
sub-10783,1.0,42,39,29,42
sub-10783,2.0,42,42,30,42
sub-10785,1.0,42,41,37,42
sub-10785,2.0,42,42,36,42
sub-10794,1.0,42,41,39,42
sub-10794,2.0,42,42,39,42
sub-10800,1.0,42,42,40,42
sub-10800,2.0,42,38,37,42
sub-10801,1.0,42,42,38,42
sub-10801,2.0,42,42,39,42
sub-10802,1.0,42,42,40,42
sub-10802,2.0,42,42,40,42
sub-10803,1.0,42,42,37,42
sub-10804,1.0,42,42,40,42
sub-10804,2.0,42,39,37,42
sub-10806,1.0,42,41,34,42
sub-10806,2.0,42,41,32,42
sub-10807,1.0,42,40,39,42
sub-10807,2.0,42,41,41,42
sub-10809,1.0,42,41,33,42
sub-10809,2.0,42,42,30,42
sub-10810,1.0,42,42,41,42
sub-10810,2.0,42,42,42,42
sub-10812,1.0,42,42,41,42
sub-10812,2.0,42,42,38,42
sub-10817,1.0,42,42,39,42
sub-10817,2.0,42,42,41,42
sub-10827,1.0,42,29,23,42
sub-10827,2.0,42,27,23,42
sub-10831,1.0,42,42,41,42
sub-10831,2.0,42,42,37,42
sub-10834,1.0,42,42,42,42
sub-10834,2.0,42,42,42,42
sub-10836,2.0,42,41,36,42
sub-10838,1.0,42,38,28,42
sub-10838,2.0,42,37,28,42
sub-10843,1.0,42,42,37,42
sub-10843,2.0,42,42,36,42
sub-10850,1.0,42,42,41,42
sub-10850,2.0,42,42,41,42
sub-10854,1.0,42,42,40,42
sub-10854,2.0,42,42,41,42
sub-10857,1.0,42,42,37,42
sub-10857,2.0,42,42,38,42
sub-10858,1.0,42,41,35,42
sub-10858,2.0,42,42,38,42
sub-10860,1.0,42,41,39,42
sub-10860,2.0,42,41,36,42
sub-10862,1.0,42,41,36,42
sub-10862,2.0,42,41,35,42
sub-10863,1.0,42,41,39,42
