participant_id,iteration,generating,fitted,metric,criterion,selected_weight,converged
sub-10317,0,M0,M0,AICc,58.224363167035406,0.0,True
sub-10317,0,M0,M1,AICc,57.719727561819035,1.0,True
sub-10317,0,M0,M2,AICc,58.60524661276342,0.0,True
sub-10317,0,M0,M5,AICc,60.92913325243955,0.0,True
sub-10317,0,M0,M6,AICc,60.637513163038996,0.0,True
sub-10317,0,M0,M7,AICc,63.03733750449707,0.0,True
sub-10317,0,M0,M8,AICc,59.812201130508015,0.0,True
sub-10317,0,M0,M3,AICc,59.658166326678,0.0,True
sub-10317,0,M0,M4,AICc,60.794757696669635,0.0,True
sub-10317,0,M0,preference,AICc,63.03309313671694,0.0,True
sub-10317,0,M0,M2_power,AICc,60.90833005555844,0.0,True
sub-10317,0,M0,M5_power,AICc,63.3578321892711,0.0,True
sub-10317,0,M0,M0,BIC,58.224363167035406,1.0,True
sub-10317,0,M0,M1,BIC,59.3573971801024,0.0,True
sub-10317,0,M0,M2,BIC,61.772893541637856,0.0,True
sub-10317,0,M0,M5,BIC,65.51056315992123,0.0,True
sub-10317,0,M0,M6,BIC,65.21894307052068,0.0,True
sub-10317,0,M0,M7,BIC,68.90693489654946,0.0,True
sub-10317,0,M0,M8,BIC,64.3936310379897,0.0,True
sub-10317,0,M0,M3,BIC,64.23959623415969,0.0,True
sub-10317,0,M0,M4,BIC,65.37618760415133,0.0,True
sub-10317,0,M0,preference,BIC,68.90269052876934,0.0,True
sub-10317,0,M0,M2_power,BIC,65.48975996304013,0.0,True
sub-10317,0,M0,M5_power,BIC,69.22742958132349,0.0,True
sub-10317,1,M0,M0,AICc,58.224363167035406,1.0,True
sub-10317,1,M0,M1,AICc,60.263733266148165,0.0,True
sub-10317,1,M0,M2,AICc,58.570830963037174,0.0,True
sub-10317,1,M0,M5,AICc,59.84880076640214,0.0,True
sub-10317,1,M0,M6,AICc,59.0952886753035,0.0,True
sub-10317,1,M0,M7,AICc,61.46469887678989,0.0,True
sub-10317,1,M0,M8,AICc,60.22367343998316,0.0,True
sub-10317,1,M0,M3,AICc,59.22792275592263,0.0,True
sub-10317,1,M0,M4,AICc,58.96479193911336,0.0,True
sub-10317,1,M0,preference,AICc,61.61720736192584,0.0,True
sub-10317,1,M0,M2_power,AICc,59.76106664003052,0.0,True
sub-10317,1,M0,M5_power,AICc,61.599694203366425,0.0,True
sub-10317,1,M0,M0,BIC,58.224363167035406,1.0,True
