parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
mu[1],-0.975893,0.00371051,0.151462,0.149104,-1.22855,-0.974208,-0.728807,1680.8,3328.14,11.8511,1.00362,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
mu[2],-1.16576,0.00192825,0.0970479,0.0962889,-1.33003,-1.16233,-1.01526,2538.69,4531.84,17.8999,1.00145,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
mu[3],0.935879,0.00313786,0.175152,0.172356,0.660472,0.930533,1.23499,3182.61,5031.14,22.4401,1.00068,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
tau[1],0.845839,0.00229891,0.132078,0.12834,0.642108,0.838675,1.07264,3259.99,4800.12,22.9857,1.00107,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
tau[2],0.670687,0.0021968,0.0861568,0.0852497,0.534892,0.666818,0.817005,1571.98,3886.66,11.0838,1.003,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
tau[3],1.02103,0.00328257,0.170829,0.167763,0.761609,1.01079,1.31633,2706.46,4303.66,19.0828,1.00017,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"beta[1,1]",-0.116848,0.00216732,0.124838,0.123615,-0.321906,-0.11531,0.0900405,3333.08,5000.48,23.501,1.00086,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"beta[2,1]",0.0790953,0.00157205,0.0854816,0.0835323,-0.0587175,0.0789414,0.220858,2971.31,4610.78,20.9503,1.00023,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"beta[3,1]",0.335267,0.00222166,0.145081,0.141842,0.103562,0.333832,0.579874,4265.1,5554.33,30.0725,1.00063,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[1,1]",0.316618,0.00207925,0.166774,0.168006,0.0882965,0.290271,0.6301,6719.14,5769.5,47.3756,1.00021,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[1,2]",0.260179,0.00160694,0.138905,0.129427,0.0821553,0.235888,0.523659,6531.52,5860.54,46.0528,1.0006,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[1,3]",1.05593,0.00863284,0.63292,0.563779,0.283976,0.920255,2.30929,6529.94,4941.78,46.0416,1.00091,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[2,1]",0.361386,0.00172933,0.149434,0.145441,0.148251,0.343702,0.643612,7783.74,5884.79,54.8819,0.999944,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[2,2]",0.374694,0.00186295,0.185122,0.173209,0.13166,0.34363,0.727061,8948.73,5415.41,63.0961,1.00038,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[2,3]",0.892374,0.00568925,0.510235,0.451508,0.252106,0.800393,1.87572,9691.37,5502.35,68.3323,1.00046,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[3,1]",0.307549,0.00127955,0.116825,0.119072,0.126858,0.300223,0.508181,8171.69,5146.79,57.6173,1.00059,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[3,2]",0.262431,0.00109818,0.106321,0.103268,0.110796,0.250884,0.455339,8437.92,4980.01,59.4944,1.00105,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[3,3]",1.41741,0.00683646,0.597578,0.55285,0.59359,1.34084,2.52365,8804.98,5178.59,62.0825,1.00017,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[4,1]",0.231152,0.00142551,0.127196,0.128088,0.0583688,0.212583,0.466806,8352.7,6212.53,58.8936,1.00029,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[4,2]",0.322025,0.00124857,0.122706,0.114829,0.15048,0.304303,0.549579,9264.11,6235.14,65.3198,1.00004,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[4,3]",2.17366,0.00786384,0.712249,0.676796,1.17409,2.08684,3.47973,9297.37,5805.22,65.5543,0.999889,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[5,1]",0.419283,0.00129648,0.130623,0.130589,0.207049,0.417405,0.638972,10024.5,5338.97,70.6812,0.999902,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
"natural[5,2]",0.477338,0.00187862,0.192727,0.183945,0.206701,0.453176,0.834082,9505.5,5498.01,67.0218,1.00137,H5_recovery_zero_2,111,0,diag_e,4,2000,2000,0.95,0,0.6558242786456988,True
