condition,replicate,method,level,parameter,n,rmse,bias,pearson,spearman,ceiling_rate,interval_coverage,true,probability_positive,mean,median,ci_low,ci_high
negative,4,hierarchical,participant,alpha,111.0,0.0998706124143109,-0.007334172089470336,0.6625971503859058,0.5484380484380483,,0.990990990990991,,,,,,
negative,4,MLE_theta10,participant,alpha,111.0,0.3027736608614184,0.07912837887089766,0.25589765113881136,0.28034359562823835,,,,,,,,
negative,4,hierarchical,participant,kappa,111.0,0.1507288188453207,-0.0046781317813255055,0.849119705706072,0.7597753597753598,,0.9099099099099099,,,,,,
negative,4,MLE_theta10,participant,kappa,111.0,0.2484807481702451,0.05584131019808209,0.7297858472135725,0.6075640575640575,,,,,,,,
negative,4,hierarchical,participant,theta,111.0,0.6206974723129575,-0.0378399997513615,0.6106643984389253,0.6331695331695331,0.0,0.9459459459459459,,,,,,
negative,4,MLE_theta10,participant,theta,111.0,2.5417838936283483,0.8414809322917113,0.44725075929612346,0.5388852569430119,0.07207207207207207,,,,,,,
negative,4,hierarchical,participant,friend_value_probability_effect,111.0,0.08081660089879292,0.008859285066006648,0.8066095642595758,0.6932607932607933,,0.954954954954955,,,,,,
negative,4,MLE_theta10,participant,friend_value_probability_effect,111.0,0.12331184892800254,0.04189552333994193,0.7464091816276244,0.6606550521141653,,,,,,,,
negative,4,hierarchical,population,mu_alpha,,,-0.0533467666833749,,,,1.0,-1.0,0.0,-1.053346766683375,-1.0526166935,-1.361542354575,-0.7456814767575
negative,4,hierarchical,population,mu_kappa,,,0.03931872343291243,,,,1.0,-1.2,0.0,-1.1606812765670875,-1.15584351,-1.3619650841250002,-0.9872105239475
negative,4,hierarchical,population,mu_theta,,,-0.09710796364257501,,,,1.0,1.0,1.0,0.902892036357425,0.8970977335,0.5559441394775,1.2739145917
negative,4,hierarchical,population,tau_alpha,,,0.1672920208846499,,,,1.0,0.65,1.0,0.8172920208846499,0.8103350891500001,0.55165148848,1.1237606499000001
negative,4,hierarchical,population,tau_kappa,,,-0.05036551825245006,,,,1.0,0.65,1.0,0.59963448174755,0.59634144645,0.422602032615,0.79951563842
negative,4,hierarchical,population,tau_theta,,,0.08363135430072499,,,,1.0,1.0,1.0,1.083631354300725,1.0713033645,0.7635405358125,1.4763993427749997
negative,4,hierarchical,population,beta_alpha,,,0.03187455293102919,,,,1.0,0.0,0.599125,0.03187455293102919,0.031387370575000004,-0.2100709826675,0.2719808982625
negative,4,hierarchical,population,beta_kappa,,,0.023942163553717328,,,,1.0,0.0,0.62625,0.023942163553717328,0.025885244965,-0.137397455395,0.18181321366999992
negative,4,hierarchical,population,beta_theta,,,-0.00020130121123740352,,,,1.0,-0.35,0.01125,-0.3502013012112374,-0.34936614215,-0.6597272276225,-0.05526302033775001
negative,4,hierarchical,population,friend_probability_change_25_to_75,,,0.012358717854331097,,,,1.0,-0.11066878286828091,,-0.09831006501394982,-0.10025053735598513,-0.1990558654993216,0.007868972716843758
