participant_id,partner,investment,high_probability,rt,age
sub-10317,computer,2.2857142857142856,0.21428571428571427,2.0923581,63
sub-10317,friend,6.0,1.0,1.8881868499999999,63
sub-10317,stranger,3.0,0.35714285714285715,2.0326937000000003,63
sub-10369,computer,4.0,0.5714285714285714,1.6099594,32
sub-10369,friend,5.285714285714286,0.8571428571428571,1.6583268000000002,32
sub-10369,stranger,3.3846153846153846,0.38461538461538464,2.1067538,32
sub-10402,computer,3.5,0.5,1.9784635000000002,36
sub-10402,friend,4.666666666666667,0.7037037037037037,1.9052644,36
sub-10402,stranger,4.428571428571429,0.6428571428571429,2.0279747500000003,36
sub-10418,computer,3.7857142857142856,0.5714285714285714,2.14861405,68
sub-10418,friend,6.0,1.0,2.0434880499999997,68
sub-10418,stranger,3.5,0.5714285714285714,2.0845255,68
sub-10462,computer,2.3076923076923075,0.23076923076923078,2.2365794,62
sub-10462,friend,4.0,0.6428571428571429,1.81297665,62
sub-10462,stranger,2.5714285714285716,0.2857142857142857,2.01427695,62
sub-10478,computer,3.8518518518518516,0.5185185185185185,1.8978243,28
sub-10478,friend,5.857142857142857,0.9642857142857143,1.48563885,28
sub-10478,stranger,4.074074074074074,0.5925925925925926,1.7925884,28
sub-10486,computer,6.0,1.0,1.5197981999999999,42
sub-10486,friend,6.0,1.0,1.5596781499999999,42
sub-10486,stranger,6.0,1.0,1.6246768999999999,42
sub-10529,computer,4.0,0.5357142857142857,1.67040265,68
sub-10529,friend,5.037037037037037,0.8148148148148148,1.816386,68
sub-10529,stranger,4.3076923076923075,0.6153846153846154,1.8344317,68
sub-10541,computer,5.142857142857143,0.8214285714285714,1.7739082499999999,69
sub-10541,friend,4.814814814814815,0.7407407407407407,2.0027661,69
sub-10541,stranger,4.0,0.5925925925925926,1.8564227,69
sub-10555,computer,5.285714285714286,0.8571428571428571,2.10741305,28
sub-10555,friend,4.428571428571429,0.5714285714285714,2.1131476,28
sub-10555,stranger,3.3846153846153846,0.46153846153846156,2.1756945,28
sub-10559,computer,1.6296296296296295,0.07407407407407407,1.9007442,28
sub-10559,friend,2.08,0.12,1.8428252,28
sub-10559,stranger,1.9230769230769231,0.07692307692307693,2.06180545,28
sub-10572,computer,2.7857142857142856,0.4642857142857143,1.7308352999999999,70
