model,parameter,n,pearson,spearman,rmse,bias,boundary_rate,upper_rate,theta_kappa_correlation
M4_theta10,alpha,103.0,0.6380828349667546,0.5987091741086773,0.165115754605697,0.013885290701339698,0.28194174757281554,0.01902912621359223,-0.20370610387344798
M4_theta10,kappa,103.0,0.8093580783397514,0.8022166638687622,3.8917768209122188,0.7629405694077989,0.10990291262135923,0.10893203883495145,-0.20370610387344798
M4_theta10,theta,103.0,0.65469165315274,0.8556119444650452,2.9763244914813196,-0.5556818515367974,0.15980582524271847,0.11902912621359223,-0.20370610387344798
M4_theta5,alpha,103.0,0.6260550293862324,0.6160274035034498,0.1565098065709795,0.007729994681468411,0.27883495145631065,0.013009708737864077,-0.20127008644417352
M4_theta5,kappa,103.0,0.827405039412431,0.8269472805408978,3.6934172508758305,0.6348253598426332,0.10718446601941749,0.10601941747572816,-0.20127008644417352
M4_theta5,theta,103.0,0.7371480206047158,0.8654034537789415,1.2991393195738112,-0.22428548430976175,0.19223300970873786,0.1528155339805825,-0.20127008644417352
M5_theta10,alpha,111.0,0.574521056223245,0.530687204965853,0.2129101028411618,0.02898128347264843,0.2827027027027027,0.02774774774774775,-0.16000752810832608
M5_theta10,kappa,111.0,0.8323599991876212,0.854136597746869,1.4630928626189494,0.2636463789078764,0.013513513513513513,0.010990990990990991,-0.16000752810832608
M5_theta10,theta,111.0,0.7345967027994393,0.7842988369369783,3.256494404548634,-0.8333477281041608,0.4073873873873874,0.36720720720720723,-0.16000752810832608
M5_theta5,alpha,111.0,0.5978223513775704,0.5428313695953232,0.19089688251132805,0.021963634304365064,0.2857657657657658,0.02540540540540541,-0.1995273695040944
M5_theta5,kappa,111.0,0.8724957152218826,0.8598773582674216,1.2875296052477108,0.24952479692876964,0.011891891891891892,0.009009009009009009,-0.1995273695040944
M5_theta5,theta,111.0,0.7537083681100168,0.7565098512492179,1.4565129227427696,-0.3773760775773576,0.4111711711711712,0.37351351351351353,-0.1995273695040944
M6_theta10,alpha,111.0,0.5782979784605137,0.569387335843471,0.2159679039252181,0.02857149040605185,0.3043243243243243,0.03279279279279279,-0.2807803101310105
M6_theta10,kappa,111.0,0.7952558981231802,0.8437790508032544,2.559619359617661,0.4696216675435166,0.04612612612612613,0.04306306306306306,-0.2807803101310105
M6_theta10,theta,111.0,0.7083247080319591,0.8368276619961531,3.3685950357617354,-0.9067566609542346,0.27153153153153153,0.2183783783783784,-0.2807803101310105
M6_theta5,alpha,111.0,0.5605577601037762,0.5714478101556653,0.21432914827225624,0.023590889183267592,0.32090090090090084,0.03189189189189189,-0.29561048676052354
M6_theta5,kappa,111.0,0.7845216754526563,0.8266504613125696,2.6141308784205837,0.4778227327120829,0.0445045045045045,0.042162162162162155,-0.29561048676052354
M6_theta5,theta,111.0,0.7495059324370081,0.8264543053316146,1.509720016091726,-0.3952030632648785,0.28378378378378377,0.2281081081081081,-0.29561048676052354
M7_theta10,alpha,111.0,0.6622298526108459,0.5779087405493839,0.18173955349829238,0.014758824113285053,0.2708108108108108,0.021621621621621623,-0.14465881656108914
M7_theta10,kappa,111.0,0.7748415575265802,0.8560337821224749,2.711785933332087,0.6265946950780448,0.04036036036036036,0.03963963963963964,-0.14465881656108914
M7_theta10,theta,111.0,0.7418610087772888,0.8100909299978664,3.124473679760625,-0.7165738388215517,0.3403603603603604,0.2990990990990991,-0.14465881656108914
M7_theta10,theta_stranger,111.0,0.7899883713765807,0.8178362576278704,2.257738126012012,-0.43394981801828797,0.27225225225225225,0.0846846846846847,-0.14465881656108914
M7_theta5,alpha,111.0,0.6183208109433247,0.5717302991274633,0.16329756553699584,0.016596357747556457,0.2812612612612612,0.015675675675675675,-0.1452001335640012
M7_theta5,kappa,111.0,0.7889643106175258,0.8478562796503816,2.686004015790441,0.6409229152655077,0.041981981981981976,0.0418018018018018,-0.1452001335640012
M7_theta5,theta,111.0,0.7699423154765624,0.7945978412139749,1.4116545590042977,-0.3863168272421107,0.34090090090090086,0.31027027027027027,-0.1452001335640012
M7_theta5,theta_stranger,111.0,0.8124673259174127,0.8225028924174315,1.099783478567961,-0.17893040083590525,0.2681081081081081,0.08684684684684685,-0.1452001335640012
